timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540372362.4968276,chicken,chicken,2.8199775218963623,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540372366.091771,number7,number7,3.587963342666626,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372369.7513769,wipers,wipers,3.6366662979125977,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372373.4458928,wipers,wipers,3.6805551052093506,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372377.055601,sidestep,sidestep,3.6037230491638184,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540372380.7190576,chicken,chicken,3.645507574081421,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372384.3760862,sidestep,sidestep,3.649038076400757,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372388.0199995,number7,number7,3.623941659927368,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540372391.684124,chicken,chicken,3.655147075653076,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540372395.3377316,chicken,chicken,3.634638786315918,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372398.9985392,sidestep,sidestep,3.646846055984497,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372402.6480966,number7,turnclap,3.6287147998809814,False,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372406.291141,number7,number7,3.6270909309387207,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372409.9487772,sidestep,sidestep,3.650651216506958,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540372413.6123352,wipers,wipers,3.6466119289398193,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372417.2654366,turnclap,turnclap,3.6311705112457275,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372420.9103646,turnclap,turnclap,3.627974033355713,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540372424.5793076,number7,number7,3.6520256996154785,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372430.7979105,wipers,wipers,6.211627960205078,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540372435.0967216,number7,turnclap,4.285881519317627,False,5.112414360046387,0.08689040690660477,0.44421976401959995,0
