timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1542171583.3599396,chicken,cowboy,8.825433254241943,False,5.141739845275879,434.4520568847656,2233.839451746462,2.7903506755828857
1542171586.9283042,number6,numbersix,3.560354232788086,False,5.131964683532715,429.5150935649872,2204.2562912197636,2.940608501434326
1542171590.5719495,number6,numbersix,3.6236963272094727,False,5.131964683532715,434.4520568847656,2229.5926126207632,3.0896620750427246
1542171594.217603,chicken,chicken,3.627703905105591,True,5.131964683532715,429.5150935649872,2204.2562912197636,3.2395565509796143
1542171597.856709,swing,swing,3.6191608905792236,True,5.131964683532715,429.5150935649872,2204.2562912197636,3.389456272125244
1542171601.4977686,number7,number7,3.6133816242218018,True,5.131964683532715,419.6411669254303,2153.5836484177653,3.5387775897979736
1542171605.5248387,cowboy,cowboy,4.0011467933654785,True,5.131964683532715,424.57813024520874,2178.9199698187645,3.705688238143921
1542171609.1635478,wipers,wipers,3.615858554840088,True,5.141739845275879,429.5150935649872,2208.454870730492,3.856379508972168
1542171612.8055415,turnclap,turnclap,3.617065906524658,True,5.131964683532715,429.5150935649872,2204.2562912197636,4.006906986236572
1542171616.4440641,swing,swing,3.615553855895996,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.157970905303955
1542171620.09224,chicken,mermaid,3.6252734661102295,False,5.141739845275879,439.3889904022217,2259.223879526644,4.308289527893066
1542171623.7316604,sidestep,sidestep,3.6264121532440186,True,5.131964683532715,429.5150935649872,2204.2562912197636,4.459022521972656
1542171627.3710063,swing,swing,3.61409854888916,True,5.131964683532715,429.5150935649872,2204.2562912197636,4.609820365905762
1542171631.0147603,swing,swing,3.6228137016296387,True,5.141739845275879,424.57813024520874,2183.0702897145216,4.759418487548828
1542171634.6553166,wipers,wipers,3.612602949142456,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.908190727233887
1542171638.6735446,sidestep,sidestep,4.000271320343018,True,5.131964683532715,424.57813024520874,2178.9199698187645,5.075926780700684
1542171642.3170404,chicken,mermaid,3.617976188659668,False,5.131964683532715,424.57813024520874,2178.9199698187645,5.225931644439697
1542171645.964561,number7,number7,3.6395456790924072,True,5.131964683532715,429.5150935649872,2204.2562912197636,5.37576150894165
1542171649.5992494,salute,salute,3.600228786468506,True,5.131964683532715,419.6411669254303,2153.5836484177653,5.525568962097168
1542171653.2445734,salute,salute,3.6278231143951416,True,5.141739845275879,429.5150935649872,2208.454870730492,5.676105976104736
1542171656.8839943,cowboy,cowboy,3.6168665885925293,True,5.131964683532715,434.4520568847656,2229.5926126207632,5.826068878173828
1542171660.5238643,chicken,chicken,3.6139743328094482,True,5.131964683532715,424.57813024520874,2178.9199698187645,5.97558069229126
1542171664.1663508,turnclap,turnclap,3.624840021133423,True,5.131964683532715,424.57813024520874,2178.9199698187645,6.125612735748291
1542171667.8129642,number6,numbersix,3.6195998191833496,False,5.131964683532715,429.5150935649872,2204.2562912197636,6.274682998657227
1542171671.4521413,turnclap,turnclap,3.610379695892334,True,5.131964683532715,424.57813024520874,2178.9199698187645,6.424347877502441
1542171675.0908515,cowboy,cowboy,3.613783836364746,True,5.131964683532715,429.5150935649872,2204.2562912197636,6.573915958404541
1542171678.7866027,wipers,wipers,3.685269594192505,True,5.131964683532715,444.3259537220001,2280.2651024782963,6.7240118980407715
1542171682.380291,chicken,chicken,3.565763473510742,True,5.131964683532715,424.57813024520874,2178.9199698187645,6.875325679779053
1542171686.018206,wipers,wipers,3.6139864921569824,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.024973392486572
1542171689.660525,salute,salute,3.6192758083343506,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.174334526062012
1542171693.307701,turnclap,turnclap,3.6198151111602783,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.324479579925537
1542171696.945195,mermaid,mermaid,3.614563226699829,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.474429607391357
1542171700.5869446,salute,salute,3.6127889156341553,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.623979091644287
1542171704.6039255,sidestep,sidestep,3.987456798553467,True,5.131964683532715,429.5150935649872,2204.2562912197636,7.790454387664795
1542171708.6207337,mermaid,mermaid,4.002845764160156,True,5.141739845275879,424.57813024520874,2183.0702897145216,7.956246376037598
1542171712.2632325,sidestep,sidestep,3.6195895671844482,True,5.131964683532715,424.57813024520874,2178.9199698187645,8.106417655944824
1542171715.9031713,number7,number7,3.6080288887023926,True,5.131964683532715,424.57813024520874,2178.9199698187645,8.255587577819824
1542171719.5533028,number6,numbersix,3.6216177940368652,False,5.131964683532715,424.57813024520874,2178.9199698187645,8.404180526733398
1542171723.1876822,chicken,chicken,3.6031594276428223,True,5.131964683532715,419.6411669254303,2153.5836484177653,8.552988052368164
1542171726.8324413,number7,number7,3.626729965209961,True,5.131964683532715,424.57813024520874,2178.9199698187645,8.702091217041016
