GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
2,1,0,-8.948242188,-2.737109423,1.028808594,-4,4,1,-8.589355469,2.076757908,3.172558546,11
2,1,0,-8.938672066,-2.722754002,1.038378954,-4,4,1,-8.603711128,2.071972609,3.196484327,11
2,1,0,-8.943457603,-2.713183641,1.047949195,-4,4,1,-8.603711128,2.052832127,3.215625048,11
2,1,0,-8.929101944,-2.69882822,1.052734375,-4,4,1,-8.603711128,2.038476706,3.229980469,11
2,1,0,-8.919531822,-2.713183641,1.062304735,-3,4,1,-8.598925591,2.043261766,3.258691549,11
2,1,1,-8.924316406,-2.737109423,1.081445336,-3,3,1,-8.603711128,2.033691406,3.27304697,11
2,1,1,-8.929101944,-2.756250143,1.095800757,-3,3,1,-8.598925591,2.033691406,3.292187452,11
2,1,1,-8.933886528,-2.765820265,1.076660156,-3,3,1,-8.598925591,2.028906345,3.277832031,11
2,1,1,-8.957812309,-2.799316406,1.105371118,-3,3,1,-8.603711128,2.048046827,3.27304697,11
2,1,1,-8.972167969,-2.813671827,1.100585938,-3,3,1,-8.608496666,2.057617188,3.27304697,11
2,1,1,-8.972167969,-2.813671827,1.105371118,-4,3,1,-8.608496666,2.052832127,3.24433589,11
2,1,1,-8.972167969,-2.847167969,1.105371118,-4,3,0,-8.632422447,2.052832127,3.234765768,11
2,1,1,-8.938672066,-2.851953268,1.119726539,-4,3,0,-8.637207031,2.071972609,3.201269627,11
2,1,0,-8.919531822,-2.837597609,1.095800757,-4,3,0,-8.608496666,2.09589839,3.196484327,11
2,1,0,-8.929101944,-2.832812548,1.071874976,-4,3,0,-8.598925591,2.10546875,3.196484327,11
2,1,0,-8.938672066,-2.837597609,1.057519555,-4,3,0,-8.598925591,2.086328268,3.177343845,11
2,1,0,-8.943457603,-2.828027487,1.038378954,-3,3,1,-8.579785347,2.086328268,3.167773485,11
2,1,0,-8.962597847,-2.823242188,1.004882813,-3,3,1,-8.574999809,2.100683689,3.148632765,11
2,1,0,-8.967383385,-2.86152339,1.004882813,-3,3,1,-8.579785347,2.10546875,3.153418064,11
3,1,0,-8.976953506,-2.89023447,1.047949195,-3,3,1,-8.589355469,2.09589839,3.162988424,11
4,1,0,-8.957812309,-2.88066411,1.052734375,-2,3,1,-8.584570885,2.071972609,3.162988424,11
4,1,0,-8.962597847,-2.856738329,1.047949195,-2,3,1,-8.574999809,2.091113329,3.148632765,11
4,1,0,-8.948242188,-2.851953268,1.081445336,-2,3,2,-8.579785347,2.110254049,3.158203125,11
4,1,0,-8.933886528,-2.837597609,1.081445336,-3,3,2,-8.584570885,2.091113329,3.153418064,11
4,1,0,-8.924316406,-2.828027487,1.076660156,-3,3,2,-8.589355469,2.057617188,3.148632765,11
4,1,0,-8.933886528,-2.799316406,1.076660156,-3,4,2,-8.589355469,2.062402487,3.143847704,11
4,1,0,-8.943457603,-2.789746046,1.062304735,-3,4,2,-8.598925591,2.071972609,3.139062643,11
4,1,0,-8.953027725,-2.780175924,1.047949195,-3,4,2,-8.61328125,2.076757908,3.167773485,11
4,1,0,-8.976953506,-2.770605564,1.052734375,-3,4,2,-8.627636909,2.071972609,3.191699266,11
4,0,0,-8.972167969,-2.770605564,1.047949195,-2,3,2,-8.637207031,2.062402487,3.215625048,11
4,0,0,-8.962597847,-2.756250143,1.043164134,-2,3,2,-8.637207031,2.052832127,3.220410109,11
4,0,0,-8.967383385,-2.751464844,1.038378954,-2,3,2,-8.632422447,2.057617188,3.239550829,11
4,0,0,-8.948242188,-2.737109423,1.043164134,-2,2,2,-8.632422447,2.057617188,3.229980469,11
4,0,0,-8.938672066,-2.727539063,1.019238353,-2,2,2,-8.637207031,2.048046827,3.215625048,11
4,0,0,-8.933886528,-2.732324362,1.014453173,-2,2,1,-8.641992569,2.048046827,3.196484327,11
4,0,0,-8.948242188,-2.751464844,1.000097632,-2,2,1,-8.627636909,2.048046827,3.201269627,11
4,1,0,-8.938672066,-2.765820265,0.995312512,-2,2,1,-8.622851372,2.071972609,3.191699266,11
5,1,0,-8.953027725,-2.775390625,1.019238353,-2,2,1,-8.637207031,2.071972609,3.191699266,11
5,1,0,-8.962597847,-2.756250143,1.009667993,-2,2,1,-8.618066788,2.043261766,3.172558546,11
4,0,0,-8.957812309,-2.751464844,1.000097632,-2,2,1,-8.594141006,2.033691406,3.143847704,11
3,0,0,-8.957812309,-2.756250143,1.000097632,-1,2,1,-8.603711128,2.052832127,3.105566502,11
3,0,0,-8.938672066,-2.756250143,0.995312512,-2,2,1,-8.61328125,2.076757908,3.100781202,11
3,1,0,-8.938672066,-2.746679783,0.985742211,-2,2,1,-8.61328125,2.09589839,3.095996141,11
3,1,0,-8.953027725,-2.741894484,0.976171911,-3,3,0,-8.637207031,2.091113329,3.110351563,11
4,1,0,-8.948242188,-2.765820265,0.980957031,-3,3,0,-8.632422447,2.086328268,3.129492283,11
4,1,0,-8.943457603,-2.770605564,1.004882813,-2,2,1,-8.632422447,2.086328268,3.139062643,11
4,1,0,-8.957812309,-2.761035204,1.009667993,-2,2,1,-8.627636909,2.081542969,3.143847704,11
3,1,0,-8.957812309,-2.765820265,0.995312512,-2,2,1,-8.622851372,2.076757908,3.134277344,11
3,1,0,-8.967383385,-2.780175924,1.024023414,-2,2,1,-8.61328125,2.076757908,3.148632765,11
4,1,0,-8.967383385,-2.770605564,1.019238353,-2,2,1,-8.603711128,2.067187548,3.139062643,11
4,1,0,-8.967383385,-2.751464844,1.019238353,-2,2,1,-8.603711128,2.076757908,3.129492283,11
4,1,0,-8.938672066,-2.761035204,1.028808594,-2,2,1,-8.608496666,2.086328268,3.139062643,11
4,1,0,-8.933886528,-2.770605564,1.033593774,-2,2,1,-8.598925591,2.081542969,3.162988424,11
4,1,0,-8.929101944,-2.770605564,1.043164134,-3,3,1,-8.603711128,2.062402487,3.182128906,11
4,1,0,-8.933886528,-2.751464844,1.043164134,-2,2,1,-8.608496666,2.057617188,3.182128906,11
4,1,0,-8.943457603,-2.746679783,1.024023414,-2,2,1,-8.608496666,2.057617188,3.172558546,11
3,1,0,-8.943457603,-2.761035204,1.024023414,-2,2,1,-8.594141006,2.067187548,3.162988424,11
3,1,0,-8.933886528,-2.775390625,1.028808594,-2,2,1,-8.584570885,2.067187548,3.143847704,11
3,1,0,-8.933886528,-2.765820265,1.038378954,-2,2,1,-8.584570885,2.067187548,3.119921923,11
3,1,0,-8.953027725,-2.732324362,1.057519555,-2,3,1,-8.603711128,2.062402487,3.134277344,11
3,1,0,-8.919531822,-2.708398581,1.062304735,-2,3,0,-8.589355469,2.081542969,3.167773485,11
2,1,0,-8.933886528,-2.674902439,1.086230516,-3,4,0,-8.598925591,2.076757908,3.229980469,11
