GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
24,-2,12,-9.087012291,-2.162890673,1.33984375,16,1,-4,-8.249609947,2.038476706,4.167870998,8
24,-2,12,-9.087012291,-2.134179831,1.358984351,16,1,-4,-8.249609947,2.067187548,4.153515816,8
24,-2,12,-9.072656631,-2.119824171,1.368554711,16,1,-4,-8.249609947,2.09589839,4.139160156,8
23,-1,12,-9.053515434,-2.12460947,1.392480493,16,2,-4,-8.240038872,2.129394531,4.139160156,8
23,-1,13,-9.058300972,-2.138964891,1.416406274,15,2,-4,-8.235254288,2.143749952,4.129590034,8
23,-2,13,-9.04873085,-2.153320313,1.445117235,15,2,-4,-8.240038872,2.143749952,4.143945217,8
24,-2,13,-9.067871094,-2.153320313,1.464257836,15,2,-4,-8.240038872,2.143749952,4.158300877,8
23,-2,13,-9.067871094,-2.148535252,1.469043016,15,2,-4,-8.240038872,2.138964891,4.163085938,8
23,-2,13,-9.067871094,-2.162890673,1.464257836,15,2,-3,-8.240038872,2.143749952,4.163085938,8
23,-2,13,-9.067871094,-2.172461033,1.459472656,15,2,-3,-8.244824409,2.143749952,4.167870998,8
23,-2,13,-9.06308651,-2.182031393,1.440332055,15,2,-3,-8.244824409,2.143749952,4.167870998,8
23,-2,13,-9.04873085,-2.177246094,1.440332055,15,2,-3,-8.249609947,2.153320313,4.167870998,8
23,-2,13,-9.058300972,-2.177246094,1.435546875,15,2,-3,-8.254394531,2.143749952,4.172656536,8
23,-2,13,-9.06308651,-2.182031393,1.411621094,15,2,-3,-8.254394531,2.134179831,4.172656536,8
23,-2,13,-9.072656631,-2.196386814,1.397265673,15,2,-3,-8.263964653,2.12460947,4.172656536,8
23,-2,13,-9.06308651,-2.191601515,1.373339891,15,2,-3,-8.259180069,2.110254049,4.187011719,8
