GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
23,-2,13,-9.020019531,-2.411718845,1.301562548,17,1,-5,-8.393164635,1.516894579,4.110449314,0
23,-2,13,-9.015234947,-2.426074266,1.277636766,17,1,-4,-8.397949219,1.54560554,4.096093655,0
23,-2,13,-9.015234947,-2.430859327,1.268066406,16,1,-3,-8.402734756,1.53125,4.072167873,0
24,-2,13,-9.010449409,-2.430859327,1.258496165,15,1,-3,-8.412304878,1.502539039,4.072167873,0
23,-2,13,-9.005663872,-2.421289206,1.244140625,16,1,-3,-8.421875,1.473828197,4.057812691,0
24,-2,13,-9.010449409,-2.445214987,1.248925805,16,1,-3,-8.421875,1.464257836,4.05302763,0
24,-1,13,-9.015234947,-2.426074266,1.210644603,16,1,-3,-8.402734756,1.464257836,4.048242092,0
24,-1,13,-9.039160728,-2.421289206,1.181933641,16,2,-2,-8.441016197,1.469043016,4.029101849,0
23,-1,13,-9.015234947,-2.430859327,1.205859423,16,2,-2,-8.450586319,1.449902415,4.043457031,0
23,-1,13,-8.986523628,-2.450000048,1.172363281,16,2,-2,-8.436230659,1.430761695,4.048242092,0
23,-1,13,-9.000879288,-2.464355469,1.172363281,16,2,-2,-8.421875,1.416406274,4.048242092,0
23,-1,13,-9.015234947,-2.469140768,1.196289063,16,2,-2,-8.407519341,1.397265673,4.081738472,0
23,-1,13,-9.010449409,-2.48828125,1.201074243,17,2,-2,-8.393164635,1.392480493,4.091308594,0
24,-1,13,-8.99609375,-2.483496189,1.220214844,16,2,-2,-8.397949219,1.397265673,4.076953411,0
23,-1,13,-9.010449409,-2.469140768,1.225000024,16,2,-2,-8.412304878,1.378125072,4.076953411,0
23,-1,13,-9.029589653,-2.47871089,1.234570384,15,2,-2,-8.417090416,1.358984351,4.086523533,0
23,-1,12,-9.04873085,-2.47871089,1.229785204,16,2,-3,-8.436230659,1.34462893,4.096093655,0
23,-1,12,-9.043945313,-2.47871089,1.229785204,16,2,-3,-8.441016197,1.34462893,4.096093655,0
23,-1,12,-9.029589653,-2.464355469,1.225000024,16,2,-4,-8.421875,1.378125072,4.091308594,0
23,-1,12,-9.020019531,-2.469140768,1.244140625,16,2,-4,-8.407519341,1.406835914,4.081738472,0
23,-1,12,-9.024805069,-2.47871089,1.248925805,16,2,-4,-8.388379097,1.416406274,4.076953411,0
23,-1,12,-9.024805069,-2.483496189,1.253710985,15,2,-4,-8.388379097,1.430761695,4.072167873,0
23,-2,11,-9.024805069,-2.464355469,1.258496165,15,2,-4,-8.407519341,1.435546875,4.072167873,0
23,-2,11,-9.034375191,-2.450000048,1.244140625,15,1,-4,-8.431445122,1.435546875,4.05302763,0
23,-2,11,-9.043945313,-2.440429688,1.263281226,15,1,-4,-8.441016197,1.440332055,4.05302763,0
23,-2,11,-9.053515434,-2.416503906,1.234570384,15,1,-4,-8.421875,1.449902415,4.043457031,0
23,-2,11,-9.072656631,-2.406933546,1.196289063,15,1,-4,-8.436230659,1.473828197,4.033886909,0
23,-2,11,-9.024805069,-2.411718845,1.234570384,16,1,-4,-8.450586319,1.488183618,4.062597752,0
23,-2,12,-9.010449409,-2.430859327,1.220214844,16,1,-4,-8.441016197,1.507324219,4.057812691,0
23,-2,12,-9.020019531,-2.416503906,1.220214844,16,1,-4,-8.431445122,1.516894579,4.03867197,0
23,-2,12,-9.015234947,-2.411718845,1.239355445,16,1,-3,-8.417090416,1.488183618,4.05302763,0
24,-2,12,-9.005663872,-2.421289206,1.229785204,16,1,-3,-8.407519341,1.483398438,4.043457031,0
24,-2,12,-9.000879288,-2.426074266,1.215429664,16,1,-2,-8.388379097,1.478613257,4.024316311,0
24,-2,12,-9.020019531,-2.416503906,1.186718822,16,1,-2,-8.402734756,1.492968798,4.033886909,0
23,-2,12,-9.04873085,-2.416503906,1.181933641,16,1,-2,-8.431445122,1.478613257,4.029101849,0
24,-2,12,-9.06308651,-2.430859327,1.177148461,16,1,-2,-8.460156441,1.459472656,4.024316311,0
24,-2,12,-9.058300972,-2.445214987,1.172363281,16,1,-3,-8.469726563,1.454687476,4.043457031,0
24,-2,12,-9.043945313,-2.454785109,1.15800786,16,2,-3,-8.460156441,1.464257836,4.03867197,0
24,-2,12,-9.034375191,-2.450000048,1.177148461,16,2,-3,-8.431445122,1.473828197,4.048242092,0
24,-2,12,-9.024805069,-2.454785109,1.181933641,16,2,-3,-8.421875,1.464257836,4.057812691,0
24,-2,12,-9.020019531,-2.454785109,1.196289063,16,1,-2,-8.417090416,1.454687476,4.067382813,0
24,-2,12,-9.015234947,-2.445214987,1.205859423,16,1,-2,-8.412304878,1.440332055,4.091308594,0
24,-2,12,-9.020019531,-2.440429688,1.201074243,15,1,-3,-8.426660538,1.421191454,4.105664253,0
24,-2,12,-9.034375191,-2.454785109,1.248925805,15,1,-3,-8.455370903,1.421191454,4.115234375,0
24,-2,12,-9.053515434,-2.459570408,1.248925805,15,1,-4,-8.445800781,1.430761695,4.124804974,0
24,-2,12,-9.101366997,-2.469140768,1.239355445,15,1,-4,-8.469726563,1.464257836,4.124804974,0
24,-2,12,-9.072656631,-2.473925829,1.268066406,14,1,-4,-8.498437881,1.473828197,4.153515816,0
24,-2,12,-9.053515434,-2.473925829,1.263281226,14,1,-4,-8.479296684,1.473828197,4.158300877,0
24,-2,12,-9.04873085,-2.464355469,1.291992188,13,1,-4,-8.460156441,1.459472656,4.148730755,0
24,-3,12,-9.039160728,-2.445214987,1.320703149,13,1,-4,-8.441016197,1.445117235,4.177441597,0
25,-3,12,-9.024805069,-2.450000048,1.330273509,14,0,-4,-8.426660538,1.449902415,4.177441597,0
25,-3,12,-9.015234947,-2.430859327,1.325488329,14,0,-3,-8.421875,1.440332055,4.163085938,0
25,-4,12,-9.04873085,-2.416503906,1.311132789,14,0,-3,-8.421875,1.440332055,4.134375095,0
25,-4,12,-9.067871094,-2.426074266,1.306347728,13,0,-4,-8.412304878,1.435546875,4.110449314,0
25,-4,12,-9.058300972,-2.454785109,1.311132789,13,0,-4,-8.417090416,1.430761695,4.110449314,0
25,-4,12,-9.043945313,-2.464355469,1.291992188,13,0,-5,-8.421875,1.435546875,4.091308594,0
25,-4,12,-9.029589653,-2.454785109,1.291992188,13,0,-5,-8.407519341,1.445117235,4.086523533,0
25,-4,12,-9.015234947,-2.445214987,1.306347728,13,0,-5,-8.402734756,1.464257836,4.072167873,0
25,-4,12,-9.000879288,-2.445214987,1.296777368,13,0,-4,-8.397949219,1.488183618,4.091308594,0
25,-5,12,-9.010449409,-2.440429688,1.291992188,13,0,-4,-8.402734756,1.488183618,4.086523533,0
25,-5,12,-9.029589653,-2.440429688,1.291992188,13,0,-4,-8.393164635,1.488183618,4.081738472,0
24,-5,12,-9.029589653,-2.445214987,1.277636766,13,0,-4,-8.393164635,1.464257836,4.081738472,0
24,-5,12,-9.015234947,-2.469140768,1.287207007,13,0,-4,-8.397949219,1.483398438,4.100879192,0
24,-4,11,-8.991309166,-2.454785109,1.253710985,13,0,-4,-8.364453316,1.473828197,4.081738472,0
24,-4,11,-9.000879288,-2.445214987,1.205859423,13,0,-4,-8.378808975,1.502539039,4.057812691,0
24,-4,12,-8.967383385,-2.430859327,1.229785204,14,0,-4,-8.412304878,1.512109399,4.072167873,0
25,-4,12,-8.962597847,-2.421289206,1.205859423,13,0,-3,-8.431445122,1.521679759,4.076953411,0
25,-4,12,-8.976953506,-2.416503906,1.220214844,13,0,-3,-8.412304878,1.492968798,4.076953411,0
24,-3,13,-8.962597847,-2.402148485,1.239355445,14,0,-3,-8.374023438,1.464257836,4.096093655,0
24,-3,13,-8.957812309,-2.435644627,1.239355445,15,0,-2,-8.345313072,1.469043016,4.096093655,0
24,-3,12,-8.953027725,-2.454785109,1.234570384,16,0,-2,-8.340527534,1.483398438,4.076953411,0
25,-3,12,-8.991309166,-2.450000048,1.220214844,15,0,-1,-8.359667778,1.473828197,4.057812691,0
25,-2,12,-9.015234947,-2.454785109,1.229785204,15,0,-1,-8.383593559,1.445117235,4.043457031,0
25,-2,12,-9.020019531,-2.454785109,1.268066406,14,0,-2,-8.407519341,1.397265673,4.057812691,0
25,-2,13,-9.020019531,-2.464355469,1.287207007,15,1,-2,-8.417090416,1.373339891,4.072167873,0
25,-2,13,-9.000879288,-2.464355469,1.315917969,16,1,-3,-8.412304878,1.387695313,4.081738472,0
25,-2,13,-8.991309166,-2.459570408,1.358984351,16,1,-3,-8.388379097,1.425976634,4.100879192,0
25,-1,13,-8.972167969,-2.445214987,1.382910132,16,1,-2,-8.364453316,1.430761695,4.124804974,0
25,-2,13,-8.967383385,-2.435644627,1.397265673,15,1,-2,-8.354883194,1.402050853,4.148730755,0
25,-2,13,-8.967383385,-2.430859327,1.421191454,15,1,-2,-8.359667778,1.358984351,4.163085938,0
26,-2,13,-8.976953506,-2.440429688,1.425976634,15,1,-3,-8.359667778,1.330273509,4.167870998,0
26,-2,13,-9.000879288,-2.445214987,1.473828197,15,1,-3,-8.369238853,1.34462893,4.201367378,0
26,-2,13,-8.986523628,-2.411718845,1.454687476,15,1,-4,-8.340527534,1.325488329,4.201367378,0
25,-3,13,-9.029589653,-2.421289206,1.425976634,15,1,-4,-8.378808975,1.33984375,4.196582317,0
25,-3,13,-9.010449409,-2.440429688,1.459472656,16,1,-5,-8.397949219,1.378125072,4.234863281,0
26,-3,13,-8.986523628,-2.445214987,1.454687476,16,1,-5,-8.383593559,1.406835914,4.234863281,0
25,-3,13,-8.957812309,-2.435644627,1.425976634,16,1,-5,-8.316601753,1.402050853,4.215722561,0
25,-4,13,-8.929101944,-2.411718845,1.416406274,16,0,-5,-8.249609947,1.406835914,4.187011719,0
25,-4,13,-8.909960747,-2.416503906,1.397265673,17,0,-4,-8.259180069,1.435546875,4.148730755,0
25,-4,13,-8.914746284,-2.411718845,1.368554711,17,0,-4,-8.302246094,1.478613257,4.115234375,0
25,-4,13,-8.953027725,-2.397363424,1.315917969,16,0,-4,-8.359667778,1.488183618,4.076953411,0
25,-4,13,-8.99609375,-2.402148485,1.291992188,15,1,-5,-8.402734756,1.473828197,4.048242092,0
24,-3,13,-8.99609375,-2.416503906,1.268066406,16,1,-5,-8.417090416,1.454687476,4.029101849,0
24,-3,13,-8.981738091,-2.430859327,1.239355445,17,2,-5,-8.407519341,1.488183618,4.009961128,0
24,-3,13,-8.967383385,-2.421289206,1.220214844,17,2,-4,-8.383593559,1.54082036,4.005176067,0
24,-2,12,-8.948242188,-2.411718845,1.215429664,17,2,-3,-8.345313072,1.550390601,4.01953125,0
23,-2,12,-8.943457603,-2.397363424,1.234570384,16,3,-3,-8.330957413,1.512109399,4.03867197,0
23,-1,12,-8.924316406,-2.387793064,1.239355445,16,3,-2,-8.345313072,1.473828197,4.043457031,0
24,-1,12,-8.929101944,-2.378222704,1.263281226,17,3,-2,-8.364453316,1.459472656,4.062597752,0
24,-1,13,-8.948242188,-2.368652344,1.277636766,17,3,-3,-8.383593559,1.440332055,4.086523533,0
24,-1,13,-8.986523628,-2.397363424,1.301562548,17,4,-3,-8.402734756,1.449902415,4.115234375,0
24,0,13,-9.005663872,-2.387793064,1.301562548,17,4,-3,-8.393164635,1.454687476,4.124804974,0
23,0,13,-9.058300972,-2.397363424,1.296777368,16,4,-3,-8.426660538,1.469043016,4.153515816,0
23,0,13,-9.034375191,-2.411718845,1.358984351,16,4,-3,-8.436230659,1.459472656,4.220508099,0
23,0,12,-9.005663872,-2.397363424,1.368554711,16,4,-3,-8.436230659,1.445117235,4.24443388,0
23,0,12,-9.010449409,-2.383007765,1.382910132,15,3,-3,-8.412304878,1.411621094,4.258789063,0
23,0,12,-9.010449409,-2.373437643,1.421191454,16,3,-3,-8.364453316,1.392480493,4.263574123,0
23,0,13,-9.010449409,-2.378222704,1.440332055,16,3,-3,-8.345313072,1.392480493,4.268359661,0
23,-1,13,-9.000879288,-2.373437643,1.449902415,16,2,-3,-8.350097656,1.402050853,4.249218941,0
22,-1,13,-9.024805069,-2.368652344,1.430761695,15,2,-3,-8.369238853,1.421191454,4.215722561,0
22,-1,13,-9.058300972,-2.392578125,1.421191454,14,2,-4,-8.402734756,1.421191454,4.206152439,0
22,-2,12,-9.053515434,-2.397363424,1.425976634,14,2,-4,-8.436230659,1.406835914,4.19179678,0
22,-2,13,-9.043945313,-2.378222704,1.402050853,14,2,-5,-8.455370903,1.411621094,4.187011719,0
22,-2,13,-9.039160728,-2.373437643,1.382910132,15,2,-5,-8.445800781,1.445117235,4.177441597,0
22,-2,13,-9.020019531,-2.373437643,1.373339891,15,1,-5,-8.426660538,1.473828197,4.158300877,0
22,-2,13,-9.000879288,-2.378222704,1.34941411,15,1,-4,-8.412304878,1.473828197,4.139160156,0
22,-2,13,-8.981738091,-2.378222704,1.33984375,15,1,-4,-8.397949219,1.464257836,4.110449314,0
22,-2,13,-8.981738091,-2.387793064,1.325488329,15,1,-4,-8.383593559,1.459472656,4.091308594,0
22,-2,13,-8.981738091,-2.402148485,1.287207007,15,1,-4,-8.383593559,1.464257836,4.067382813,0
22,-2,13,-8.99609375,-2.421289206,1.287207007,15,1,-4,-8.402734756,1.473828197,4.043457031,0
23,-2,13,-9.010449409,-2.397363424,1.248925805,15,1,-4,-8.402734756,1.469043016,4.01953125,0
22,-2,13,-9.039160728,-2.402148485,1.205859423,15,2,-4,-8.441016197,1.488183618,4.00039053,0
22,-2,13,-9.024805069,-2.416503906,1.229785204,15,2,-4,-8.436230659,1.497753978,4.03867197,0
23,-1,13,-8.991309166,-2.421289206,1.196289063,15,2,-4,-8.436230659,1.488183618,4.024316311,0
22,-1,13,-8.99609375,-2.416503906,1.196289063,15,2,-3,-8.417090416,1.473828197,4.033886909,0
22,-1,13,-9.000879288,-2.421289206,1.220214844,15,2,-3,-8.383593559,1.454687476,4.03867197,0
22,-1,13,-8.99609375,-2.435644627,1.225000024,16,2,-3,-8.369238853,1.454687476,4.043457031,0
23,-1,13,-9.000879288,-2.426074266,1.239355445,17,2,-3,-8.378808975,1.454687476,4.043457031,0
22,0,12,-9.015234947,-2.421289206,1.234570384,16,2,-2,-8.388379097,1.464257836,4.03867197,0
22,0,12,-9.039160728,-2.435644627,1.244140625,16,2,-2,-8.417090416,1.464257836,4.043457031,0
22,0,12,-9.053515434,-2.435644627,1.263281226,16,2,-3,-8.436230659,1.430761695,4.05302763,0
23,0,12,-9.06308651,-2.426074266,1.282421947,16,2,-3,-8.450586319,1.421191454,4.057812691,0
23,0,12,-9.043945313,-2.406933546,1.268066406,16,2,-3,-8.436230659,1.445117235,4.062597752,0
22,-1,12,-9.015234947,-2.406933546,1.277636766,16,2,-3,-8.421875,1.469043016,4.062597752,0
22,-1,12,-8.991309166,-2.416503906,1.291992188,16,2,-3,-8.417090416,1.473828197,4.081738472,0
22,-1,12,-9.015234947,-2.416503906,1.291992188,15,2,-3,-8.426660538,1.464257836,4.086523533,0
22,-1,12,-9.020019531,-2.402148485,1.311132789,15,2,-3,-8.431445122,1.454687476,4.091308594,0
22,-1,12,-9.024805069,-2.402148485,1.301562548,15,2,-3,-8.436230659,1.440332055,4.086523533,0
22,-1,12,-9.024805069,-2.416503906,1.311132789,15,2,-3,-8.450586319,1.445117235,4.096093655,0
22,-1,12,-9.04873085,-2.392578125,1.291992188,16,2,-3,-8.441016197,1.445117235,4.081738472,0
22,-2,12,-9.082226753,-2.397363424,1.258496165,16,2,-3,-8.469726563,1.473828197,4.067382813,0
22,-2,12,-9.04873085,-2.402148485,1.282421947,15,2,-3,-8.4745121,1.478613257,4.081738472,0
22,-2,11,-9.034375191,-2.416503906,1.248925805,15,2,-3,-8.464941978,1.478613257,4.086523533,0
23,-2,11,-9.024805069,-2.387793064,1.244140625,15,2,-3,-8.436230659,1.464257836,4.072167873,0
23,-2,12,-9.015234947,-2.363867283,1.258496165,15,2,-3,-8.417090416,1.440332055,4.076953411,0
