GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
23,-1,13,-8.900390625,-2.48828125,1.765722632,15,2,-3,-8.187402725,1.93320322,4.378417969,6
23,-2,13,-8.905176163,-2.469140768,1.780078173,15,2,-3,-8.192187309,1.937988281,4.364062786,6
23,-2,13,-8.919531822,-2.454785109,1.775292993,15,2,-3,-8.211328506,1.93320322,4.359277248,6
23,-2,13,-8.933886528,-2.469140768,1.746582031,15,2,-3,-8.201758385,1.92841804,4.340137005,6
22,-2,13,-8.953027725,-2.493066549,1.751367211,15,2,-3,-8.201758385,1.92363286,4.325781345,6
23,-2,13,-8.948242188,-2.48828125,1.746582031,15,2,-4,-8.216113091,1.92841804,4.320996284,6
23,-2,13,-8.929101944,-2.464355469,1.73701179,15,2,-4,-8.216113091,1.947558641,4.330566406,6
23,-2,13,-8.919531822,-2.450000048,1.703515649,15,2,-4,-8.201758385,1.947558641,4.330566406,6
23,-2,13,-8.890820503,-2.445214987,1.708300829,14,3,-4,-8.177832603,1.947558641,4.335351467,6
23,-2,13,-8.881250381,-2.450000048,1.72744143,14,3,-4,-8.173047066,1.947558641,4.349707127,6
23,-2,13,-8.890820503,-2.454785109,1.72744143,14,3,-4,-8.182617188,1.957129002,4.364062786,6
23,-2,14,-8.905176163,-2.454785109,1.71787107,14,2,-4,-8.201758385,1.966699243,4.38320303,6
23,-2,14,-8.914746284,-2.464355469,1.72265625,14,2,-4,-8.225684166,1.966699243,4.397558689,6
23,-2,14,-8.919531822,-2.483496189,1.72265625,15,2,-3,-8.225684166,1.966699243,4.392773628,6
23,-2,13,-8.914746284,-2.50742197,1.72265625,15,2,-3,-8.225684166,1.976269603,4.392773628,6
23,-2,13,-8.909960747,-2.516992331,1.703515649,15,2,-3,-8.23046875,1.981054783,4.38320303,6
23,-2,13,-8.909960747,-2.50742197,1.713086009,15,2,-3,-8.249609947,1.971484423,4.364062786,6
23,-2,13,-8.905176163,-2.48828125,1.713086009,15,1,-3,-8.23046875,1.952343822,4.364062786,6
24,-2,13,-8.886034966,-2.502636671,1.698730469,15,1,-3,-8.23046875,1.947558641,4.335351467,6
24,-2,13,-8.881250381,-2.50742197,1.72744143,15,1,-3,-8.220898628,1.937988281,4.340137005,6
24,-2,13,-8.890820503,-2.493066549,1.698730469,15,1,-3,-8.196972847,1.91884768,4.325781345,6
23,-2,13,-8.933886528,-2.502636671,1.689160228,15,1,-3,-8.211328506,1.904492259,4.311425686,6
23,-2,12,-8.909960747,-2.512207031,1.72744143,16,1,-3,-8.23046875,1.899707079,4.330566406,6
23,-2,12,-8.900390625,-2.502636671,1.703515649,15,1,-3,-8.216113091,1.909277439,4.335351467,6
23,-2,12,-8.905176163,-2.493066549,1.703515649,15,1,-4,-8.201758385,1.9140625,4.344922066,6
23,-2,12,-8.919531822,-2.502636671,1.72265625,15,1,-4,-8.196972847,1.92363286,4.373632908,6
23,-2,12,-8.909960747,-2.502636671,1.741796851,15,1,-4,-8.196972847,1.92841804,4.373632908,6
24,-2,12,-8.900390625,-2.48828125,1.741796851,15,1,-4,-8.216113091,1.93320322,4.373632908,6
23,-2,12,-8.929101944,-2.473925829,1.741796851,15,1,-3,-8.235254288,1.947558641,4.373632908,6
23,-3,12,-8.938672066,-2.48828125,1.73222661,15,1,-3,-8.23046875,1.942773461,4.359277248,6
23,-3,12,-8.957812309,-2.493066549,1.746582031,16,0,-3,-8.235254288,1.942773461,4.368847847,6
23,-3,12,-8.962597847,-2.435644627,1.856640697,18,0,-4,-8.378808975,1.837500095,4.732519627,6
19,-5,12,-9.024805069,-2.196386814,1.985839844,23,-5,-5,-8.718554497,1.679589868,5.598632813,6
9,-7,13,-9.120508194,-1.990625024,1.952343822,31,-18,-4,-9.091796875,1.464257836,6.483886719,6
1,-12,14,-9.383691788,-1.832714915,2.30644536,48,-35,-4,-9.508105278,0.736914098,7.474414349,6
-14,-23,16,-9.656445503,-1.201074243,3.043359518,80,-53,-1,-9.847851753,0.622070313,8.187402725,6
-55,-32,12,-9.800000191,-0.39238283,3.225195408,132,-77,6,-10.00097656,1.215429664,9.823925972,6
-131,-41,-1,-9.996191978,-0.631640613,2.694042921,194,-113,20,-10.06318378,2.387793064,12.336133,6
-216,-54,-22,-10.29765606,-3.215625048,2.866308689,255,-145,38,-10.11582088,3.191699266,13.39365292,6
-272,-67,-50,-10.70917988,-5.699120998,3.83769536,302,-172,69,-10.45078182,5.852246284,13.55634785,6
-312,-74,-90,-11.13027382,-7.541406631,4.411914349,304,-198,108,-10.54169941,9.197070122,13.38886738,6
-334,-76,-132,-11.33603573,-9.680371284,3.976464987,265,-216,150,-10.69003963,11.484375,12.40791035,6
-339,-66,-177,-11.18290997,-12.62802792,3.608007908,204,-236,198,-10.70439434,13.73818398,11.68056679,6
-306,-57,-221,-10.93408203,-14.47031307,3.469238281,148,-250,240,-9.957910538,13.51328182,10.3885746,6
-256,-50,-262,-10.20195293,-15.32207108,2.947656393,128,-248,276,-8.589355469,11.9006834,7.914648533,6
-213,-37,-296,-8.957812309,-15.76230526,1.674804688,120,-237,302,-7.072461128,10.73310566,5.541211128,6
-171,-19,-319,-7.852441788,-15.82929707,-0.177050784,116,-219,315,-5.746972561,9.326270103,3.493164063,6
-142,4,-331,-6.943261623,-15.26943398,-1.832714915,123,-195,318,-4.670312405,7.967285156,1.559960961,6
-132,32,-335,-5.53164053,-14.53730488,-3.115136862,136,-163,312,-3.684570313,7.105957031,-0.167480469,6
-138,72,-334,-3.502734423,-13.92959023,-5.134472847,141,-129,296,-2.851953268,6.369042873,-0.894824207,6
-150,106,-323,-1.813574195,-13.02041054,-6.464745998,135,-93,270,-1.603027344,4.981347561,-1.34941411,6
-135,137,-312,-0.842187524,-12.37919903,-7.239941597,113,-41,238,-0.56943363,4.249218941,-1.976269603,6
-70,161,-300,-1.000097632,-11.72841835,-7.378711224,91,-4,210,0.234472662,4.301855564,-1.34941411,6
32,161,-286,-1.612597704,-10.3550787,-7.10117197,50,19,176,0.645996094,3.933398485,1.646093726,6
135,148,-269,-2.354296923,-7.967285156,-7.072461128,13,25,157,1.646093726,3.698925972,4.148730755,6
195,128,-246,-2.842382908,-5.58427763,-6.522168159,-1,26,138,2.516992331,3.493164063,5.689550877,6
229,110,-219,-2.741894484,-3.856836081,-6.058007717,-10,11,109,3.387890577,3.880761862,6.747070313,6
248,92,-184,-2.134179831,-2.641406298,-6.713574409,-21,-10,96,4.971777439,5.043554783,7.397851944,6
255,86,-145,-1.435546875,-2.086328268,-7.330859661,-55,-36,91,5.785254002,8.23046875,6.976758003,6
278,88,-112,-1.004882813,-2.804101706,-7.728027344,-140,-60,115,6.570019722,11.42216778,4.531543255,6
326,93,-87,-0.248828128,-4.086523533,-7.546191692,-276,-65,141,6.675292969,12.09687519,-0.162695318,6
408,102,-75,0.669921875,-5.890527248,-8.268750191,-424,-66,156,6.153710842,8.589355469,-5.019629002,6
-488,112,-77,1.009667993,-4.727734566,-9.924414635,-482,-67,151,6.172851563,1.894921899,-8.307031631,6
-472,120,-81,0.143554688,-0.880468786,-10.71396542,-482,-67,118,7.302148342,-6.450390816,-6.646582127,6
-472,116,-97,-0.641210973,1.52646482,-9.780859947,-455,-78,70,8.479296684,-11.68056679,-1.358984351,6
-472,99,-113,0.272753924,6.723144531,-6.766211033,-251,-94,15,8.670702934,-10.82402325,0.799121082,6
-472,70,-107,2.985937595,15.68574238,-0.669921875,-65,-99,-29,8.431445122,-5.124902248,-1.880566478,6
424,38,-71,5.402441502,19.41337967,5.182324409,33,-87,-58,9.053515434,-1.1484375,-3.368750095,6
220,10,-27,6.861914158,16.64755821,7.378711224,82,-51,-62,10.21152401,0.732128918,-2.990722656,6
69,-14,9,7.680175781,12.23564434,6.73271513,118,-24,-51,10.51298809,2.68925786,-0.440234393,6
-26,-22,41,8.752051353,8.618066788,4.454980373,130,-9,-22,9.345410347,5.067480564,1.827929735,6
-56,-39,66,9.838281631,5.852246284,4.24443388,141,-7,5,8.61328125,5.081836224,2.804101706,6
-66,-64,72,11.00585938,2.899804831,6.933691502,199,-4,30,8.273535728,3.177343845,2.172461033,6
-58,-82,60,10.99150372,1.076660156,9.2401371,302,0,32,7.90029335,0.497656256,1.196289063,6
-86,-104,44,9.689941406,0.239257813,9.015234947,413,9,18,7.507910252,-1.574316382,1.019238353,6
-189,-121,21,8.713769913,-1.569531322,7.096386909,-488,18,-4,7.077246189,-2.397363424,1.808789134,6
-307,-129,-8,8.598925591,-2.411718845,5.287597656,496,48,-30,6.646582127,-0.971386731,1.277636766,6
-414,-130,-40,8.766406059,-2.110254049,4.096093655,410,46,-45,6.407324314,0.229687512,3.05292964,6
-472,-122,-66,8.761621475,-1.430761695,3.45488286,311,28,-58,6.833203316,1.445117235,5.029199123,6
-472,-108,-83,8.819043159,-0.311035156,3.201269627,200,25,-65,8.211328506,3.306543112,5.904882908,6
-472,-81,-92,8.369238853,0.282324225,3.63671875,128,14,-69,9.120508194,3.660644531,6.373828411,6
-472,-56,-84,7.919433594,1.114941478,4.397558689,56,9,-65,10.06796932,5.450293064,6.168066502,6
-472,-34,-37,7.823730469,2.038476706,3.675000191,-9,2,-41,10.89580059,7.684961319,5.435937405,6
-417,4,-14,7.895507813,-1.277636766,2.813671827,-88,0,-4,10.97236347,9.139648438,4.081738472,6
-197,-2,3,8.173047066,-3.866406441,3.531445265,-168,0,31,10.70917988,8.235254288,2.560058594,6
-35,-19,30,7.603613377,-2.12460947,4.220508099,-222,0,49,10.88144588,6.440820217,1.521679759,6
26,-7,65,6.727929592,-0.349316418,3.24433589,-247,-2,59,11.18290997,6.168066502,1.091015697,6
39,-9,83,6.73271513,-0.502441406,0.985742211,-278,-4,64,11.22119141,6.364257813,-0.124414064,6
69,-9,99,8.187402725,-1.808789134,-0.167480469,-329,0,63,10.87666035,4.287499905,-1.459472656,6
126,-8,118,9.479394913,-3.210839987,-0.445019543,-373,-5,68,10.57519531,0.794335961,-2.205957174,6
179,-11,117,10.67568398,-4.493261814,-0.732128918,-395,-6,70,10.21630859,-2.153320313,-2.052832127,6
243,-3,103,11.20683575,-6.306836128,-1.564746141,-368,-12,50,10.67568398,-5.39287138,-0.315820307,6
354,12,79,10.89580059,-8.149121284,-2.794531345,-300,-22,24,11.01064491,-7.991210938,2.516992331,6
496,19,50,10.66611385,-7.560546875,-4.01953125,-188,-34,4,10.44599628,-7.531836033,3.368750095,6
-472,17,21,10.58476543,-4.282714844,-4.263574123,-84,-41,-5,9.632519722,-4.981347561,1.134082079,6
-472,12,-5,10.26894569,0.928320348,-3.26347661,-15,-39,-15,8.66591835,-4.225293159,-1.373339891,6
-472,0,-15,10.17324257,9.06308651,0.081347659,37,-33,-32,8.991309166,-4.120019436,-2.981152296,6
-472,-6,-4,10.00097656,13.94394588,4.03867197,76,-18,-35,10.25459003,-1.780078173,-2.87109375,6
378,-6,24,9.091796875,14.22626972,6.010156155,116,-12,-32,10.12060547,0.148339853,-1.301562548,6
203,2,57,7.991210938,11.19726563,4.507617474,154,-7,-17,9.512890816,1.91884768,-0.478515625,6
84,9,94,7.460058689,6.48867178,3.64628911,206,1,-3,9.594238281,1.823144555,-0.033496093,6
23,9,109,8.225684166,2.665332079,5.76132822,300,17,10,9.723437309,-1.15800786,0.177050784,6
22,0,102,7.665820599,-1.1484375,8.469726563,421,30,13,9.579882622,-3.402246237,0.488085955,6
25,-11,88,7.287793159,-2.335156202,8.622851372,473,38,-1,8.627636909,-4.081738472,1.995410204,6
-21,-20,56,6.933691502,-2.674902439,7.10117197,476,36,-24,8.249609947,-3.909472704,2.292089939,6
-143,-14,19,7.043750286,-3.383105516,4.062597752,427,44,-37,7.972070694,-1.555175781,1.497753978,6
-312,-3,-17,7.88115263,-3.478808641,1.177148461,324,42,-45,7.84765625,1.239355445,2.560058594,6
-462,6,-37,8.354883194,-2.043261766,0.717773438,228,26,-56,8.192187309,2.713183641,4.292285442,6
-472,15,-45,8.689844131,-0.636425793,2.339941502,160,-3,-73,8.517578125,3.536230564,4.943066597,6
-472,17,-41,8.249609947,0.39238283,4.541113377,84,-7,-80,8.809473038,4.694238186,4.416699409,6
-472,6,-25,7.981640816,2.933300734,4.708593845,24,-21,-75,9.125292778,6.407324314,3.483593702,6
-472,0,-3,9.058300972,3.990820408,2.450000048,-48,-19,-56,10.10624981,7.943359375,2.545703173,6
-65,-16,88,7.704101563,-0.684277356,7.737597942,-490,16,-44,8.0390625,-4.311425686,2.68925786,6
-164,-12,55,8.249609947,-3.048144579,5.866601467,481,8,-70,8.268750191,-3.249121189,1.952343822,6
-256,-5,33,8.919531822,-3.981250048,4.914355755,367,15,-94,9.307128906,1.942773461,2.751464844,6
-315,-3,18,9.886133194,-3.139062643,4.665527344,264,-3,-101,10.3550787,3.976464987,4.40234375,6
-366,1,-1,10.51777363,-2.684472799,4.268359661,175,-10,-108,11.19726563,5.18710947,4.900000095,6
-434,6,-20,10.71875,-2.000195265,3.24433589,97,-14,-90,11.61835957,8.086914063,4.641601563,6
-472,12,-34,10.45078182,-1.937988281,2.933300734,-1,-11,-53,10.32158184,10.92451191,3.808984518,6
-472,10,-35,9.273633003,-0.928320348,3.804199219,-89,-9,-22,9.709082603,11.1350584,2.359081984,6
-472,3,-20,8.68027401,0.765625,3.469238281,-200,-2,16,8.240038872,11.35996151,0.57421875,6
-437,-4,9,9.278418541,-0.732128918,0.985742211,-329,0,41,7.08203125,9.110938072,-1.382910132,6
-283,14,30,9.584668159,-3.670214891,0.837402344,-430,3,48,7.431347847,4.550683498,-2.976367235,6
-137,-5,46,8.780761719,-5.019629002,1.445117235,-467,1,47,8.594141006,1.244140625,-3.684570313,6
-33,-28,54,8.211328506,-5.794824123,0.459375024,-482,10,46,9.560742378,-1.53125,-3.861621141,6
54,-27,61,8.388379097,-7.354785442,-1.555175781,-476,11,37,10.17802715,-6.622656345,-1.92841804,6
144,-30,48,8.479296684,-9.43154335,-3.311328173,-378,4,19,10.632617,-10.3024416,1.114941478,6
250,-34,35,8.455370903,-10.29287148,-4.57460928,-221,-8,0,10.59433651,-9.699511528,2.598339796,6
356,-27,29,7.742383003,-9.957910538,-5.91445303,-86,-17,-17,10.81445313,-5.53164053,1.861425877,6
463,-15,12,7.196875095,-9.800000191,-7.168164253,-11,-24,-19,10.69960976,-2.383007765,1.990625024,6
-472,0,-7,6.948047161,-7.359570503,-7.651464939,51,-34,-26,10.45556641,-1.110156298,1.91884768,6
-472,5,-19,7.129882813,-0.717773438,-6.584374905,100,-34,-27,10.632617,0.038281251,1.52646482,6
-472,6,-27,7.718457222,8.23046875,-3.823339939,144,-27,-23,10.18281269,2.024121046,2.28730464,6
-472,10,-24,8.790331841,15.6618166,-0.507226586,207,-29,-7,9.412402153,3.191699266,2.88066411,6
375,29,6,9.809570313,18.5329113,0.732128918,288,-29,6,8.8573246,2.722754002,3.005078077,6
181,37,41,9.895703316,13.33144569,2.110254049,392,-17,7,8.732910156,1.000097632,3.019433737,6
55,27,59,10.34072304,4.890429974,6.421679974,500,0,-5,8.555859566,-1.392480493,3.330468893,6
19,12,76,10.45556641,0.153125003,8.369238853,-482,22,-33,8.292675972,-3.478808641,3.08164072,6
-49,-2,64,10.12060547,-1.947558641,8.364453316,-482,43,-67,8.426660538,-3.282617331,2.028906345,6
-166,-18,37,10.22587872,-3.296972752,7.507910252,460,47,-76,8.694628716,1.454687476,2.158105612,6
-266,-25,2,10.61826229,-4.364062786,5.498144627,328,34,-67,9.216211319,5.746972561,3.450097799,6
-336,-18,-36,10.27373028,-4.196582317,4.407128811,172,35,-69,9.651659966,7.125097752,4.502831936,6
