GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
23,-1,13,-9.130078316,-2.186816454,1.215429664,16,1,-3,-8.445800781,1.167578101,4.124804974,7
23,-1,13,-9.163574219,-2.210742235,1.201074243,16,1,-3,-8.460156441,1.16279304,4.105664253,7
23,-1,12,-9.163574219,-2.215527296,1.205859423,16,1,-3,-8.469726563,1.129296899,4.086523533,7
24,-1,12,-9.144433975,-2.201171875,1.186718822,16,2,-3,-8.464941978,1.124511719,4.05302763,7
24,-1,12,-9.110938072,-2.177246094,1.181933641,15,2,-3,-8.455370903,1.134082079,4.043457031,7
24,-1,12,-9.087012291,-2.167675734,1.205859423,15,2,-4,-8.441016197,1.138867259,4.062597752,7
24,-1,12,-9.087012291,-2.158105612,1.210644603,15,2,-4,-8.436230659,1.138867259,4.072167873,7
24,-1,12,-9.091796875,-2.143749952,1.215429664,15,2,-3,-8.445800781,1.138867259,4.067382813,7
24,-1,12,-9.087012291,-2.134179831,1.215429664,15,2,-3,-8.450586319,1.129296899,4.067382813,7
24,-2,12,-9.106152534,-2.119824171,1.215429664,16,2,-3,-8.455370903,1.119726539,4.062597752,7
24,-2,12,-9.115722656,-2.11503911,1.210644603,16,2,-3,-8.450586319,1.114941478,4.057812691,7
23,-2,12,-9.115722656,-2.086328268,1.196289063,16,2,-3,-8.445800781,1.124511719,4.05302763,7
23,-2,12,-9.110938072,-2.100683689,1.167578101,15,3,-4,-8.4745121,1.15322268,4.03867197,7
23,-2,12,-9.125292778,-2.110254049,1.186718822,14,3,-4,-8.450586319,1.1484375,4.043457031,7
23,-2,12,-9.144433975,-2.081542969,1.138867259,14,3,-4,-8.455370903,1.14365232,4.057812691,7
23,-2,12,-9.139648438,-2.062402487,1.129296899,14,3,-4,-8.493652344,1.134082079,4.081738472,7
23,-2,13,-9.096582413,-2.071972609,1.124511719,14,3,-4,-8.48886776,1.129296899,4.134375095,7
23,-1,13,-9.072656631,-2.076757908,1.124511719,14,3,-4,-8.469726563,1.138867259,4.153515816,7
23,-1,13,-9.058300972,-2.091113329,1.167578101,14,2,-4,-8.464941978,1.129296899,4.182226658,7
