GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
22,-2,12,-9.134863853,-1.909277439,1.1484375,14,2,-3,-8.369238853,1.512109399,4.143945217,4
22,-2,12,-9.134863853,-1.9140625,1.16279304,14,2,-3,-8.364453316,1.507324219,4.143945217,4
22,-2,12,-9.139648438,-1.91884768,1.16279304,14,2,-3,-8.369238853,1.497753978,4.134375095,4
22,-2,13,-9.149218559,-1.92841804,1.172363281,14,1,-3,-8.378808975,1.497753978,4.148730755,4
23,-2,13,-9.158789635,-1.942773461,1.177148461,15,1,-3,-8.393164635,1.502539039,4.143945217,4
23,-2,13,-9.163574219,-1.952343822,1.205859423,15,1,-3,-8.397949219,1.497753978,4.134375095,4
23,-2,13,-9.163574219,-1.942773461,1.201074243,15,1,-3,-8.369238853,1.497753978,4.115234375,4
23,-2,13,-9.168359756,-1.93320322,1.191503882,15,1,-3,-8.354883194,1.497753978,4.086523533,4
23,-2,13,-9.173144341,-1.952343822,1.201074243,15,2,-3,-8.383593559,1.492968798,4.067382813,4
23,-2,13,-9.154004097,-1.952343822,1.205859423,15,2,-3,-8.393164635,1.492968798,4.081738472,4
23,-2,13,-9.139648438,-1.937988281,1.186718822,14,2,-3,-8.393164635,1.492968798,4.072167873,4
23,-2,13,-9.139648438,-1.942773461,1.186718822,14,2,-4,-8.393164635,1.488183618,4.081738472,4
23,-2,13,-9.130078316,-1.957129002,1.181933641,14,2,-4,-8.393164635,1.497753978,4.100879192,4
23,-2,13,-9.120508194,-1.966699243,1.196289063,15,2,-4,-8.397949219,1.521679759,4.110449314,4
23,-2,13,-9.130078316,-1.957129002,1.186718822,15,2,-3,-8.407519341,1.521679759,4.124804974,4
23,-2,13,-9.149218559,-1.971484423,1.167578101,15,2,-3,-8.412304878,1.512109399,4.139160156,4
23,-2,13,-9.144433975,-1.985839844,1.181933641,15,2,-3,-8.407519341,1.492968798,4.143945217,4
23,-2,13,-9.158789635,-1.990625024,1.167578101,15,2,-4,-8.402734756,1.492968798,4.153515816,4
23,-2,12,-9.154004097,-1.985839844,1.15800786,15,2,-4,-8.393164635,1.492968798,4.148730755,4
23,-2,12,-9.134863853,-1.985839844,1.15322268,15,2,-4,-8.383593559,1.502539039,4.153515816,4
23,-2,12,-9.139648438,-1.985839844,1.15322268,15,2,-4,-8.393164635,1.507324219,4.163085938,4
24,-2,12,-9.144433975,-1.976269603,1.167578101,15,2,-4,-8.393164635,1.512109399,4.158300877,4
24,-1,12,-9.149218559,-1.961914063,1.181933641,15,1,-4,-8.388379097,1.521679759,4.153515816,4
24,-1,12,-9.149218559,-1.957129002,1.191503882,15,1,-4,-8.383593559,1.53603518,4.139160156,4
23,-2,12,-9.154004097,-1.957129002,1.201074243,15,1,-4,-8.393164635,1.54560554,4.134375095,4
23,-2,12,-9.163574219,-1.957129002,1.210644603,15,1,-4,-8.388379097,1.54560554,4.124804974,4
23,-2,12,-9.158789635,-1.952343822,1.229785204,15,1,-4,-8.374023438,1.550390601,4.120019436,4
24,-2,12,-9.154004097,-1.952343822,1.220214844,15,1,-4,-8.374023438,1.555175781,4.115234375,4
24,-2,12,-9.149218559,-1.937988281,1.229785204,15,1,-4,-8.369238853,1.550390601,4.091308594,4
24,-2,12,-9.149218559,-1.92363286,1.225000024,15,1,-3,-8.354883194,1.54560554,4.076953411,4
24,-2,12,-9.154004097,-1.909277439,1.225000024,15,1,-3,-8.359667778,1.555175781,4.072167873,4
24,-2,12,-9.168359756,-1.909277439,1.215429664,15,1,-3,-8.364453316,1.555175781,4.067382813,4
23,-3,12,-9.163574219,-1.894921899,1.196289063,15,1,-3,-8.364453316,1.550390601,4.05302763,4
23,-3,12,-9.168359756,-1.904492259,1.201074243,15,1,-3,-8.374023438,1.559960961,4.067382813,4
23,-3,12,-9.1875,-1.904492259,1.191503882,15,1,-3,-8.388379097,1.559960961,4.076953411,4
23,-2,12,-9.168359756,-1.91884768,1.15800786,14,1,-3,-8.455370903,1.564746141,4.096093655,4
23,-2,12,-9.158789635,-1.942773461,1.16279304,15,1,-4,-8.531933784,1.559960961,4.110449314,4
24,-1,12,-9.115722656,-1.942773461,1.15800786,15,0,-4,-8.579785347,1.54082036,4.120019436,4
25,0,12,-9.082226753,-1.947558641,1.129296899,17,0,-5,-8.656348228,1.502539039,4.115234375,4
26,0,12,-9.04873085,-1.971484423,1.15800786,20,0,-5,-8.761621475,1.416406274,4.086523533,4
28,1,12,-9.015234947,-2.014550924,1.15322268,24,-1,-6,-8.814257622,1.33505857,4.029101849,4
30,2,12,-8.972167969,-2.000195265,1.119726539,28,-2,-6,-8.775977135,1.315917969,3.947753906,4
32,3,12,-8.943457603,-1.995410204,1.081445336,30,-2,-7,-8.704199791,1.325488329,3.871191502,4
33,4,11,-8.886034966,-1.981054783,1.057519555,30,-2,-8,-8.603711128,1.315917969,3.794629097,4
34,5,11,-8.828613281,-1.952343822,1.033593774,29,-2,-8,-8.517578125,1.311132789,3.703711033,4
35,6,10,-8.795117378,-1.937988281,1.014453173,27,-2,-10,-8.503222466,1.268066406,3.665429831,4
36,7,10,-8.852539063,-1.9140625,0.980957031,25,-1,-11,-8.603711128,1.191503882,3.64628911,4
36,8,9,-8.924316406,-1.9140625,0.947460949,26,-1,-13,-8.66591835,1.110156298,3.62714839,4
37,9,10,-8.972167969,-1.899707079,0.913964868,28,0,-15,-8.694628716,1.076660156,3.612792969,4
37,9,10,-8.981738091,-1.880566478,0.851757824,30,0,-17,-8.694628716,1.091015697,3.588867188,4
36,10,9,-8.924316406,-1.880566478,0.765625,31,1,-18,-8.694628716,1.129296899,3.64628911,4
36,11,9,-8.833398819,-1.890136719,0.736914098,32,1,-19,-8.632422447,1.081445336,3.703711033,4
37,12,9,-8.766406059,-1.904492259,0.751269519,32,1,-18,-8.498437881,0.995312512,3.751562595,4
39,13,10,-8.790331841,-1.9140625,0.746484399,35,1,-18,-8.359667778,0.904394567,3.761132956,4
40,12,13,-8.909960747,-1.885351658,0.698632836,38,1,-18,-8.23046875,0.818261743,3.823339939,4
41,12,15,-9.015234947,-1.880566478,0.641210973,40,1,-18,-8.149121284,0.736914098,3.990820408,4
40,11,17,-9.139648438,-1.942773461,0.559863269,43,1,-18,-8.187402725,0.655566394,4.129590034,4
40,11,21,-9.44589901,-2.038476706,0.531152368,47,1,-20,-8.378808975,0.641210973,4.349707127,4
43,9,25,-9.833496094,-2.153320313,0.535937488,53,0,-21,-8.541503906,0.593359411,4.80429697,4
47,7,30,-10.11103535,-2.249023438,0.540722668,63,-2,-21,-8.570215225,0.473730475,5.34023428,4
48,4,34,-10.21152401,-2.277734518,0.507226586,72,-6,-21,-8.445800781,0.488085955,5.852246284,4
45,0,37,-10.20195293,-2.268164158,0.406738281,75,-9,-19,-8.163476944,0.488085955,6.134570599,4
37,-2,37,-10.09667969,-2.244238377,0.296679705,68,-10,-17,-7.833301067,0.631640613,5.962304592,4
