GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
24,-2,12,-9.101366997,-2.09589839,1.268066406,15,1,-4,-8.28310585,2.143749952,4.057812691,9
24,-2,11,-9.115722656,-2.091113329,1.253710985,15,1,-4,-8.28310585,2.129394531,4.033886909,9
24,-2,11,-9.120508194,-2.076757908,1.253710985,15,1,-4,-8.28310585,2.138964891,4.029101849,9
24,-2,11,-9.125292778,-2.062402487,1.244140625,16,1,-4,-8.28310585,2.148535252,4.033886909,9
24,-2,11,-9.134863853,-2.052832127,1.239355445,16,1,-3,-8.287890434,2.153320313,4.033886909,9
24,-2,11,-9.130078316,-2.043261766,1.234570384,16,1,-3,-8.287890434,2.153320313,4.033886909,9
23,-2,11,-9.125292778,-2.038476706,1.229785204,15,1,-3,-8.287890434,2.148535252,4.03867197,9
23,-2,11,-9.125292778,-2.028906345,1.210644603,15,1,-3,-8.302246094,2.138964891,4.029101849,9
24,-2,11,-9.120508194,-2.014550924,1.244140625,15,1,-3,-8.28310585,2.11503911,4.029101849,9
24,-2,12,-9.110938072,-1.985839844,1.201074243,15,1,-3,-8.259180069,2.100683689,4.033886909,9
24,-2,12,-9.125292778,-1.985839844,1.205859423,15,1,-3,-8.28310585,2.100683689,4.01953125,9
24,-2,12,-9.120508194,-2.004980564,1.229785204,15,1,-3,-8.307031631,2.110254049,4.048242092,9
24,-2,12,-9.110938072,-2.004980564,1.215429664,15,1,-4,-8.292675972,2.110254049,4.048242092,9
24,-2,12,-9.110938072,-2.004980564,1.210644603,16,1,-4,-8.287890434,2.119824171,4.05302763,9
23,-2,13,-9.120508194,-2.014550924,1.239355445,15,2,-4,-8.29746151,2.119824171,4.076953411,9
24,-2,13,-9.115722656,-2.024121046,1.244140625,15,1,-3,-8.287890434,2.11503911,4.067382813,9
23,-2,13,-9.130078316,-2.024121046,1.239355445,16,1,-3,-8.287890434,2.11503911,4.057812691,9
23,-2,13,-9.139648438,-2.033691406,1.229785204,15,1,-3,-8.273535728,2.100683689,4.043457031,9
23,-2,13,-9.149218559,-2.062402487,1.220214844,15,2,-3,-8.273535728,2.09589839,4.01953125,9
23,-2,13,-9.139648438,-2.067187548,1.225000024,15,2,-4,-8.278320313,2.100683689,4.033886909,9
23,-2,13,-9.130078316,-2.052832127,1.215429664,15,2,-4,-8.287890434,2.119824171,4.024316311,9
23,-2,13,-9.110938072,-2.048046827,1.201074243,15,2,-4,-8.287890434,2.143749952,4.029101849,9
23,-2,13,-9.091796875,-2.048046827,1.191503882,15,2,-4,-8.292675972,2.148535252,4.033886909,9
23,-1,13,-9.091796875,-2.043261766,1.191503882,15,2,-4,-8.326171875,2.148535252,4.029101849,9
23,-1,13,-9.096582413,-2.057617188,1.186718822,15,2,-3,-8.369238853,2.148535252,4.029101849,9
24,-1,14,-9.115722656,-2.110254049,1.177148461,16,1,-3,-8.407519341,2.119824171,4.009961128,9
23,0,14,-9.125292778,-2.210742235,1.172363281,17,1,-3,-8.426660538,2.067187548,3.981250048,9
19,0,12,-9.120508194,-2.397363424,1.110156298,19,0,-2,-8.417090416,2.014550924,3.957324266,9
16,0,8,-9.110938072,-3.119921923,1.038378954,20,0,-1,-8.426660538,1.952343822,3.928613424,9
29,1,1,-9.149218559,-4.550683498,1.081445336,23,0,-1,-8.48886776,1.693945289,3.909472704,9
63,0,-10,-9.441113472,-6.258984566,1.248925805,33,0,-2,-8.584570885,1.253710985,4.115234375,9
106,-2,-28,-9.508105278,-7.589258194,1.650878906,51,-6,-5,-8.823828697,1.000097632,4.636816502,9
142,-8,-48,-9.63730526,-8.369238853,2.722754002,77,-17,-9,-8.957812309,1.052734375,5.646484375,9
149,-18,-72,-9.704297066,-8.565429688,3.875976563,115,-32,-8,-9.072656631,1.358984351,6.857129097,9
142,-38,-94,-10.05361366,-8.68027401,4.933495998,151,-50,0,-9.230566978,2.435644627,8.268750191,9
137,-59,-118,-10.65175819,-8.68027401,5.861816406,170,-68,17,-9.421973228,4.531543255,9.06308651,9
138,-84,-143,-11.484375,-8.713769913,6.866699219,148,-88,44,-9.737792969,7.450488567,10.43642616,9
150,-113,-168,-12.39355469,-8.852539063,7.842871189,118,-115,74,-9.785644531,8.876464844,12.163867,9
165,-145,-188,-13.0682621,-8.263964653,8.661132813,107,-148,103,-9.709082603,9.957910538,13.19746113,9
174,-181,-203,-13.58505917,-7.412207127,9.273633003,90,-177,137,-9.469824791,12.04423809,13.04433632,9
182,-218,-215,-13.77167988,-6.431250095,9.551172256,68,-205,176,-9.910058975,13.79560566,13.13525391,9
182,-252,-216,-13.42714882,-5.18710947,9.785644531,47,-232,223,-10.32158184,15.10195351,12.28828144,9
168,-281,-206,-12.91513729,-4.287499905,10.16367245,6,-251,262,-9.613379478,15.75273514,9.666015625,9
158,-302,-190,-12.23085976,-3.478808641,9.905273438,-43,-263,282,-8.369238853,14.65693378,7.153808594,9
145,-312,-169,-10.54648495,-1.73222661,9.134863853,-70,-270,290,-6.837988377,13.05390644,5.364160061,9
131,-306,-148,-8.493652344,-0.430664063,8.560645103,-63,-270,291,-5.502929688,11.75712872,3.708496094,9
131,-300,-124,-7.158593655,0.277539074,8.244824409,-41,-261,289,-4.646386623,10.89101601,2.10546875,9
132,-293,-97,-6.273339748,1.105371118,7.570117474,-21,-241,288,-4.043457031,9.948340416,0.76083988,9
134,-283,-72,-5.455078125,1.741796851,6.402539253,-12,-216,288,-3.450097799,8.718554497,0.143554688,9
131,-266,-42,-4.900000095,2.383007765,5.53164053,-10,-187,284,-2.531347752,7.340429783,-0.732128918,9
122,-248,-12,-4.335351467,2.985937595,4.871289253,-16,-150,273,-1.856640697,5.847461224,-1.626953125,9
111,-229,15,-3.727636814,2.799316406,4.187011719,-14,-111,258,-1.248925805,4.105664253,-2.234668016,9
104,-206,43,-3.029003859,2.459570408,3.0625,-1,-74,239,-0.851757824,2.516992331,-2.258593798,9
96,-180,66,-2.263378859,2.09589839,1.93320322,18,-37,214,-0.593359411,1.181933641,-2.062402487,9
91,-148,88,-1.406835914,1.287207007,0.866113305,39,0,186,-0.564648449,0.3828125,-1.751367211,9
90,-112,106,-0.488085955,0.751269519,0.033496093,59,34,162,-0.559863269,-0.229687512,-1.320703149,9
89,-71,122,0.39238283,0.162695318,-0.645996094,68,70,132,-0.899609387,-0.77041018,-0.559863269,9
87,-28,135,1.057519555,-0.483300805,-1.057519555,81,100,99,-0.995312512,-1.196289063,0.224902347,9
83,17,148,1.73222661,-1.272851586,-1.301562548,98,128,62,-1.067089915,-1.16279304,0.95224613,9
71,63,160,2.349511862,-2.071972609,-1.282421947,115,151,26,-1.191503882,-0.631640613,1.512109399,9
51,109,170,2.588769674,-3.727636814,-0.732128918,118,170,-12,-1.555175781,-0.220117196,2.761035204,9
32,148,178,2.392578125,-5.718261719,0.344531268,104,183,-52,-1.808789134,0.10527344,4.722949505,9
