GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
3,2,0,-8.66591835,-1.92841804,2.933300734,1,2,0,-8.015136719,3.07207036,3.995605469,11
3,2,0,-8.68027401,-1.92363286,2.918945313,1,2,0,-8.019922256,3.07207036,4.00039053,11
2,2,0,-8.68027401,-1.904492259,2.909374952,1,2,-1,-8.048632622,3.105566502,4.00039053,11
2,2,0,-8.670702934,-1.885351658,2.923730612,1,2,-1,-8.0916996,3.134277344,4.005176067,11
2,2,0,-8.651562691,-1.875781298,2.923730612,1,2,-1,-8.10605526,3.115136862,4.024316311,11
2,2,0,-8.646777153,-1.866210938,2.933300734,1,2,-1,-8.062988281,3.143847704,4.014746189,11
1,3,0,-8.641992569,-1.851855516,2.966796875,0,2,-1,-8.034277916,3.110351563,4.00039053,11
1,2,0,-8.627636909,-1.861425877,2.990722656,0,1,-1,-8.024706841,3.095996141,3.990820408,11
2,2,1,-8.627636909,-1.880566478,2.995507956,1,1,-1,-8.024706841,3.07207036,4.005176067,11
2,2,1,-8.627636909,-1.885351658,2.985937595,1,1,-1,-8.043848038,3.0625,3.981250048,11
2,2,1,-8.651562691,-1.880566478,2.981152296,2,1,-1,-8.062988281,3.057714939,3.962109566,11
1,2,1,-8.66591835,-1.890136719,2.966796875,2,1,-1,-8.072558403,3.057714939,3.966894627,11
1,2,1,-8.685058594,-1.894921899,2.942871094,2,1,-1,-8.077343941,3.07207036,3.966894627,11
1,2,1,-8.685058594,-1.909277439,2.947656393,3,1,-1,-8.082129478,3.05292964,3.986035347,11
0,2,0,-8.670702934,-1.909277439,2.928515673,3,1,-2,-8.072558403,3.057714939,4.00039053,11
0,2,0,-8.66591835,-1.92841804,2.899804831,3,1,-2,-8.062988281,3.07207036,4.01953125,11
0,2,0,-8.661132813,-1.92841804,2.875879049,3,1,-2,-8.058203697,3.095996141,4.01953125,11
0,2,0,-8.651562691,-1.91884768,2.885449171,3,1,-2,-8.043848038,3.105566502,4.014746189,11
0,2,0,-8.651562691,-1.9140625,2.899804831,3,1,-2,-8.034277916,3.110351563,4.029101849,11
0,2,0,-8.651562691,-1.9140625,2.909374952,3,0,-2,-8.019922256,3.105566502,4.009961128,11
0,2,0,-8.656348228,-1.92363286,2.914160252,3,0,-2,-8.024706841,3.124706984,4.00039053,11
0,2,0,-8.66591835,-1.9140625,2.918945313,3,0,-2,-8.029492378,3.134277344,4.005176067,11
0,2,0,-8.675488472,-1.92363286,2.928515673,3,0,-1,-8.024706841,3.143847704,3.995605469,11
0,2,0,-8.68027401,-1.9140625,2.942871094,3,1,-1,-8.019922256,3.153418064,3.995605469,11
0,2,0,-8.685058594,-1.91884768,2.942871094,2,1,-1,-8.024706841,3.143847704,4.00039053,11
0,2,0,-8.685058594,-1.91884768,2.947656393,2,1,-1,-8.034277916,3.124706984,3.995605469,11
0,2,0,-8.675488472,-1.9140625,2.962011814,2,1,-1,-8.029492378,3.115136862,3.990820408,11
0,2,0,-8.670702934,-1.909277439,2.966796875,2,1,-1,-8.029492378,3.110351563,3.995605469,11
0,2,0,-8.670702934,-1.909277439,2.966796875,2,1,-1,-8.029492378,3.08164072,4.00039053,11
0,2,1,-8.66591835,-1.9140625,2.947656393,2,1,-1,-8.043848038,3.08164072,4.014746189,11
0,2,1,-8.66591835,-1.904492259,2.966796875,2,1,-1,-8.029492378,3.067285299,4.024316311,11
0,2,1,-8.689844131,-1.909277439,2.952441454,3,1,-1,-8.000781059,3.05292964,4.01953125,11
0,2,1,-8.704199791,-1.9140625,2.938086033,4,1,-1,-8.010352135,3.0625,4.024316311,11
0,2,1,-8.68027401,-1.91884768,2.952441454,4,1,-1,-8.0390625,3.095996141,4.033886909,11
0,2,1,-8.656348228,-1.92363286,2.947656393,4,1,-1,-8.043848038,3.124706984,4.05302763,11
-1,2,1,-8.651562691,-1.93320322,2.938086033,3,1,-1,-8.015136719,3.158203125,4.048242092,11
-1,2,1,-8.656348228,-1.937988281,2.947656393,2,1,-1,-8.000781059,3.177343845,4.043457031,11
-1,2,2,-8.641992569,-1.961914063,2.971582174,2,1,-1,-7.991210938,3.162988424,4.062597752,11
-1,1,2,-8.641992569,-1.995410204,2.976367235,2,1,0,-7.995996475,3.153418064,4.067382813,11
0,1,2,-8.646777153,-2.000195265,2.990722656,2,1,0,-8.000781059,3.143847704,4.048242092,11
0,1,2,-8.66591835,-2.009765625,3.000293016,2,1,0,-8.010352135,3.162988424,4.033886909,11
0,1,2,-8.656348228,-2.019335985,2.990722656,2,1,0,-8.015136719,3.172558546,4.03867197,11
0,1,1,-8.675488472,-2.024121046,2.971582174,1,1,0,-8.019922256,3.148632765,4.043457031,11
0,1,1,-8.689844131,-2.014550924,2.962011814,1,1,0,-8.010352135,3.119921923,4.03867197,11
0,1,1,-8.675488472,-2.019335985,2.985937595,2,0,0,-8.024706841,3.091211081,4.033886909,11
0,2,1,-8.651562691,-2.024121046,3.019433737,2,0,0,-8.019922256,3.0625,4.072167873,11
1,2,1,-8.651562691,-2.019335985,3.024218798,3,0,0,-8.015136719,3.038574219,4.062597752,11
2,1,1,-8.656348228,-2.033691406,3.043359518,4,0,0,-8.024706841,3.024218798,4.048242092,11
2,1,2,-8.641992569,-2.014550924,3.07207036,5,0,0,-8.0390625,3.000293016,4.057812691,11
2,0,1,-8.632422447,-2.009765625,3.119921923,6,0,0,-8.024706841,2.985937595,4.033886909,11
2,0,1,-8.641992569,-2.014550924,3.139062643,7,0,0,-8.053418159,3.019433737,4.005176067,11
1,-1,0,-8.66591835,-2.000195265,3.119921923,7,0,0,-8.043848038,3.009863377,3.981250048,11
0,-1,0,-8.68027401,-1.981054783,3.095996141,7,0,0,-8.072558403,3.033789158,3.933398485,11
0,-2,0,-8.661132813,-1.961914063,3.05292964,8,0,0,-8.072558403,3.009863377,3.904687643,11
0,-2,0,-8.632422447,-1.947558641,2.976367235,8,1,-1,-8.053418159,3.029003859,3.895117283,11
-1,-2,0,-8.594141006,-1.92841804,2.914160252,8,1,-2,-8.024706841,3.08164072,3.904687643,11
-1,-2,0,-8.584570885,-1.92841804,2.842382908,8,2,-3,-7.995996475,3.148632765,3.919043064,11
0,-1,0,-8.574999809,-1.904492259,2.794531345,7,3,-3,-7.986425877,3.206054688,3.952539206,11
0,0,0,-8.579785347,-1.885351658,2.765820265,6,3,-4,-7.981640816,3.26347661,3.990820408,11
0,0,0,-8.598925591,-1.866210938,2.741894484,5,3,-4,-7.972070694,3.320898533,4.05302763,11
0,1,0,-8.594141006,-1.832714915,2.722754002,4,3,-4,-7.972070694,3.397460938,4.105664253,11
0,2,1,-8.598925591,-1.794433594,2.741894484,3,3,-3,-7.943359375,3.411816359,4.124804974,11
-1,3,1,-8.637207031,-1.775292993,2.761035204,2,3,-3,-7.943359375,3.411816359,4.124804974,11
-2,3,2,-8.656348228,-1.789648414,2.761035204,1,2,-2,-7.981640816,3.426172018,4.091308594,11
-3,4,2,-8.632422447,-1.794433594,2.794531345,1,2,-1,-8.024706841,3.411816359,4.062597752,11
-4,5,3,-8.622851372,-1.818359375,2.832812548,0,2,0,-8.0390625,3.392675877,4.03867197,11
-5,5,3,-8.641992569,-1.837500095,2.866308689,-1,2,0,-8.034277916,3.330468893,4.00039053,11
-5,5,4,-8.661132813,-1.870996118,2.918945313,-3,2,0,-8.010352135,3.25390625,3.957324266,11
-5,5,4,-8.670702934,-1.899707079,2.957226515,-4,3,0,-7.991210938,3.143847704,3.919043064,11
-5,5,5,-8.670702934,-1.92363286,3.009863377,-3,3,0,-7.991210938,3.043359518,3.890332222,11
-5,5,6,-8.68027401,-1.995410204,3.057714939,-2,3,0,-8.019922256,2.981152296,3.871191502,11
-4,5,6,-8.704199791,-2.024121046,3.086425781,0,4,0,-8.0390625,2.938086033,3.875976563,11
-4,5,6,-8.718554497,-2.038476706,3.129492283,1,4,-1,-8.0390625,2.918945313,3.885546923,11
-3,4,5,-8.742480278,-2.100683689,3.143847704,3,5,-1,-8.048632622,2.947656393,3.899902344,11
-2,4,5,-8.752051353,-2.119824171,3.143847704,4,5,-2,-8.053418159,3.000293016,3.933398485,11
0,4,4,-8.756835938,-2.143749952,3.153418064,5,5,-2,-8.048632622,3.07207036,3.957324266,11
0,3,3,-8.747265816,-2.134179831,3.153418064,5,5,-2,-8.0390625,3.129492283,3.952539206,11
2,3,2,-8.708984375,-2.100683689,3.100781202,5,5,-2,-8.010352135,3.167773485,3.928613424,11
2,2,2,-8.646777153,-2.038476706,3.014648438,4,5,-2,-7.976855755,3.196484327,3.880761862,11
2,2,2,-8.598925591,-1.981054783,2.962011814,4,5,-1,-7.981640816,3.210839987,3.84726572,11
