GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
-4,0,4,-8.603711128,-1.851855516,3.158203125,-2,2,-1,-7.88115263,3.359179735,4.196582317,10
-1,-1,1,-8.627636909,-1.842285156,3.08164072,-5,3,0,-7.842871189,3.311328173,4.206152439,10
-1,-1,2,-8.632422447,-1.861425877,3.07207036,-5,3,0,-7.852441788,3.306543112,4.215722561,10
-1,-1,2,-8.632422447,-1.870996118,3.086425781,-5,3,0,-7.862011909,3.296972752,4.225293159,10
-1,-1,2,-8.637207031,-1.856640697,3.086425781,-5,3,0,-7.876367569,3.301757813,4.220508099,10
-1,-1,1,-8.627636909,-1.851855516,3.08164072,-5,3,0,-7.876367569,3.306543112,4.215722561,10
-1,-1,1,-8.627636909,-1.856640697,3.076855421,-5,3,0,-7.88115263,3.296972752,4.196582317,10
-1,-1,1,-8.632422447,-1.856640697,3.086425781,-5,3,0,-7.885937691,3.292187452,4.187011719,10
-1,-1,1,-8.627636909,-1.866210938,3.08164072,-5,3,0,-7.895507813,3.316113234,4.172656536,10
-1,-1,2,-8.632422447,-1.861425877,3.067285299,-6,3,0,-7.885937691,3.311328173,4.153515816,10
-1,-1,2,-8.637207031,-1.851855516,3.0625,-7,4,0,-7.88115263,3.316113234,4.129590034,10
-1,-1,2,-8.632422447,-1.837500095,3.057714939,-7,4,0,-7.86679697,3.282617331,4.115234375,10
-1,-1,2,-8.618066788,-1.847070336,3.048144579,-6,4,0,-7.876367569,3.258691549,4.115234375,10
-1,0,2,-8.618066788,-1.842285156,3.048144579,-5,4,0,-7.88115263,3.25390625,4.105664253,10
-1,0,2,-8.637207031,-1.837500095,3.0625,-4,4,0,-7.876367569,3.268261671,4.096093655,10
-1,0,2,-8.670702934,-1.837500095,3.038574219,-4,4,0,-7.876367569,3.277832031,4.091308594,10
-1,0,2,-8.675488472,-1.813574195,3.033789158,-4,4,0,-7.90029335,3.282617331,4.105664253,10
-1,0,2,-8.651562691,-1.799218774,3.048144579,-4,4,-1,-7.929004192,3.282617331,4.129590034,10
-1,0,2,-8.656348228,-1.808789134,3.076855421,-4,5,-1,-7.909863472,3.268261671,4.148730755,10
-2,0,2,-8.641992569,-1.827929735,3.08164072,-4,5,-1,-7.88115263,3.282617331,4.143945217,10
-1,0,1,-8.661132813,-1.875781298,3.086425781,-4,5,-1,-7.842871189,3.292187452,4.163085938,10
0,0,1,-8.641992569,-1.856640697,3.08164072,-4,4,-1,-7.828516006,3.282617331,4.187011719,10
0,0,1,-8.641992569,-1.866210938,3.095996141,-4,4,-1,-7.833301067,3.287402391,4.201367378,10
1,0,1,-8.675488472,-1.866210938,3.115136862,-3,4,-1,-7.86679697,3.296972752,4.215722561,10
1,0,1,-8.641992569,-1.813574195,3.100781202,-3,4,-1,-7.88115263,3.311328173,4.201367378,10
0,0,1,-8.632422447,-1.808789134,3.05292964,-3,3,-1,-7.890722752,3.320898533,4.182226658,10
0,0,1,-8.632422447,-1.808789134,3.024218798,-3,3,-1,-7.909863472,3.325683594,4.163085938,10
-1,0,1,-8.618066788,-1.804003954,2.995507956,-3,3,0,-7.924219131,3.325683594,4.158300877,10
-2,0,2,-8.603711128,-1.799218774,2.985937595,-3,3,0,-7.924219131,3.320898533,4.148730755,10
-3,0,2,-8.570215225,-1.794433594,2.966796875,-3,3,0,-7.914648533,3.316113234,4.124804974,10
-3,0,2,-8.551074028,-1.789648414,2.957226515,-3,3,0,-7.90029335,3.306543112,4.100879192,10
-4,0,3,-8.541503906,-1.765722632,2.966796875,-3,3,0,-7.890722752,3.292187452,4.086523533,10
-4,0,3,-8.565429688,-1.751367211,2.990722656,-2,3,0,-7.890722752,3.277832031,4.096093655,10
-5,0,4,-8.603711128,-1.760937572,3.033789158,-2,3,0,-7.895507813,3.277832031,4.100879192,10
-6,-1,4,-8.637207031,-1.770507813,3.086425781,-2,3,0,-7.909863472,3.282617331,4.105664253,10
-6,-1,4,-8.656348228,-1.799218774,3.143847704,-2,3,0,-7.919433594,3.292187452,4.124804974,10
-6,-1,4,-8.651562691,-1.818359375,3.172558546,-3,3,0,-7.924219131,3.296972752,4.143945217,10
-5,-1,4,-8.656348228,-1.823144555,3.177343845,-3,3,-1,-7.919433594,3.287402391,4.158300877,10
-5,-1,3,-8.641992569,-1.827929735,3.177343845,-3,3,-1,-7.914648533,3.282617331,4.163085938,10
-4,-1,3,-8.656348228,-1.832714915,3.148632765,-3,3,-1,-7.909863472,3.282617331,4.167870998,10
-3,-1,3,-8.641992569,-1.827929735,3.110351563,-3,3,-1,-7.905078411,3.287402391,4.177441597,10
-3,-1,3,-8.641992569,-1.808789134,3.07207036,-3,3,-1,-7.919433594,3.301757813,4.19179678,10
-3,-1,3,-8.637207031,-1.808789134,3.019433737,-3,3,-1,-7.943359375,3.311328173,4.182226658,10
-3,0,3,-8.618066788,-1.837500095,3.000293016,-3,2,-1,-7.972070694,3.311328173,4.206152439,10
-3,0,3,-8.608496666,-1.92363286,3.000293016,-3,2,-1,-8.010352135,3.296972752,4.215722561,10
-1,2,3,-8.579785347,-2.086328268,3.119921923,-3,1,-1,-8.072558403,3.27304697,4.234863281,10
2,5,2,-8.541503906,-2.296875,3.483593702,-2,0,-2,-8.182617188,3.234765768,4.258789063,10
6,8,0,-8.330957413,-2.392578125,4.172656536,0,0,-2,-8.273535728,3.167773485,4.263574123,10
10,9,-1,-8.158691406,-2.550488234,4.990918159,3,-2,-2,-8.29746151,2.990722656,4.268359661,10
11,8,-4,-8.015136719,-3.024218798,6.024511814,10,-4,-3,-8.350097656,2.909374952,4.24443388,10
12,3,-9,-7.943359375,-3.751562595,7.225585938,17,-6,-3,-8.421875,2.813671827,4.24443388,10
12,-4,-14,-7.809375286,-4.110449314,8.278320313,24,-8,-3,-8.460156441,2.784960985,4.24443388,10
6,-15,-20,-7.637109756,-4.120019436,9.120508194,30,-10,-2,-8.378808975,2.770605564,4.177441597,10
-3,-27,-24,-7.49834013,-4.129590034,9.713867188,35,-12,-1,-8.211328506,2.804101706,4.143945217,10
-19,-39,-27,-7.474414349,-4.469336033,10.12539101,39,-14,1,-7.809375286,2.741894484,4.105664253,10
-36,-53,-32,-7.579687595,-5.177539349,10.48906231,42,-15,3,-7.393066406,2.713183641,4.05302763,10
-50,-67,-38,-7.766308784,-6.230273724,10.99628925,43,-14,5,-7.06289053,2.813671827,4.081738472,10
-57,-83,-47,-8.015136719,-7.747168064,11.35517597,40,-13,7,-6.847558498,2.995507956,4.201367378,10
-52,-97,-60,-8.263964653,-9.512890816,11.398242,33,-11,9,-6.804492474,3.134277344,4.340137005,10
-34,-112,-76,-9.106152534,-11.16855526,11.50830078,24,-10,10,-6.957617283,3.186914206,4.498046875,10
-14,-129,-92,-10.61826229,-12.61845684,11.77148438,15,-9,9,-7.421777725,3.225195408,4.775586128,10
7,-149,-109,-12.43183613,-14.06835938,11.68056679,9,-11,7,-8.048632622,3.196484327,5.072265625,10
36,-167,-130,-14.05878925,-15.2790041,11.21640682,7,-14,5,-8.517578125,3.05292964,5.330664158,10
60,-185,-151,-15.32207108,-15.55175781,10.72832012,11,-18,4,-8.708984375,2.86152339,5.450293064,10
66,-202,-172,-16.03505898,-15.02539063,10.26894569,19,-22,3,-8.761621475,2.727539063,5.412011623,10
57,-218,-193,-16.45136833,-14.43203163,9.618164063,30,-26,5,-8.766406059,2.612695456,5.268456936,10
37,-232,-212,-16.70976639,-13.61376953,9.067871094,43,-29,7,-8.594141006,2.627050877,5.100976467,10
6,-245,-233,-16.64755821,-12.72851563,8.153906822,52,-31,10,-8.206542969,2.746679783,4.99570322,10
-28,-254,-256,-16.43701172,-11.92460918,6.957617283,55,-33,14,-7.594043255,2.842382908,4.837792873,10
-65,-258,-280,-16.28388786,-11.02500057,5.345019817,53,-34,18,-6.995898724,2.847167969,4.555469036,10
-104,-256,-303,-16.00634766,-9.752148628,3.799414158,48,-34,22,-6.751855373,2.842382908,4.196582317,10
-146,-251,-327,-15.72402382,-8.479296684,2.866308689,41,-34,23,-7.024609566,2.918945313,4.00039053,10
