GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
-2,-1,0,-8.594141006,-1.827929735,3.091211081,1,0,0,-8.225684166,2.416503906,4.062597752,8
-2,-1,0,-8.584570885,-1.818359375,3.08164072,1,0,0,-8.225684166,2.435644627,4.048242092,8
-2,-1,0,-8.589355469,-1.808789134,3.076855421,1,0,0,-8.23046875,2.445214987,4.033886909,8
-2,-1,0,-8.589355469,-1.808789134,3.07207036,1,0,0,-8.235254288,2.445214987,4.029101849,8
-2,0,0,-8.589355469,-1.818359375,3.076855421,1,0,0,-8.240038872,2.435644627,4.029101849,8
-2,0,1,-8.603711128,-1.856640697,3.086425781,1,0,0,-8.23046875,2.426074266,4.048242092,8
-2,0,1,-8.603711128,-1.880566478,3.086425781,1,0,0,-8.23046875,2.411718845,4.062597752,8
-2,0,1,-8.618066788,-1.899707079,3.095996141,1,0,0,-8.235254288,2.406933546,4.072167873,8
-1,0,1,-8.627636909,-1.909277439,3.067285299,0,0,0,-8.244824409,2.411718845,4.081738472,8
-1,0,0,-8.641992569,-1.899707079,3.07207036,0,0,0,-8.259180069,2.416503906,4.105664253,8
-2,0,0,-8.646777153,-1.894921899,3.086425781,0,0,0,-8.273535728,2.402148485,4.110449314,8
-2,0,0,-8.637207031,-1.890136719,3.091211081,0,0,0,-8.273535728,2.378222704,4.086523533,8
-2,0,0,-8.627636909,-1.894921899,3.08164072,0,0,0,-8.273535728,2.363867283,4.076953411,8
-2,0,0,-8.603711128,-1.890136719,3.067285299,0,0,0,-8.249609947,2.354296923,4.072167873,8
-3,0,0,-8.584570885,-1.899707079,3.057714939,0,0,0,-8.240038872,2.335156202,4.05302763,8
-3,0,0,-8.579785347,-1.890136719,3.05292964,0,0,0,-8.220898628,2.335156202,4.03867197,8
-3,0,0,-8.584570885,-1.894921899,3.05292964,0,0,0,-8.225684166,2.335156202,4.03867197,8
-3,0,0,-8.589355469,-1.899707079,3.05292964,1,0,0,-8.240038872,2.330371141,4.048242092,8
-2,0,0,-8.603711128,-1.899707079,3.057714939,1,0,0,-8.254394531,2.339941502,4.043457031,8
-2,0,0,-8.618066788,-1.909277439,3.07207036,1,0,0,-8.244824409,2.354296923,4.062597752,8
-2,0,0,-8.632422447,-1.92363286,3.067285299,1,0,0,-8.244824409,2.368652344,4.086523533,8
-2,0,0,-8.632422447,-1.937988281,3.067285299,1,0,0,-8.254394531,2.373437643,4.091308594,8
-2,0,0,-8.622851372,-1.937988281,3.091211081,1,0,0,-8.259180069,2.387793064,4.081738472,8
-1,0,0,-8.637207031,-1.937988281,3.095996141,0,0,0,-8.240038872,2.373437643,4.076953411,8
-1,0,0,-8.646777153,-1.942773461,3.091211081,0,0,0,-8.23046875,2.373437643,4.086523533,8
-1,0,0,-8.632422447,-1.93320322,3.091211081,0,0,0,-8.259180069,2.373437643,4.072167873,8
-1,0,0,-8.603711128,-1.92363286,3.115136862,0,0,0,-8.273535728,2.368652344,4.067382813,8
-1,0,0,-8.594141006,-1.9140625,3.095996141,0,0,0,-8.259180069,2.359081984,4.062597752,8
-1,0,0,-8.598925591,-1.9140625,3.086425781,0,0,0,-8.23046875,2.354296923,4.057812691,8
-1,0,0,-8.608496666,-1.909277439,3.086425781,0,0,0,-8.216113091,2.335156202,4.048242092,8
0,0,0,-8.618066788,-1.942773461,3.105566502,1,0,0,-8.211328506,2.320800781,4.062597752,8
0,0,0,-8.632422447,-1.947558641,3.124706984,2,0,0,-8.220898628,2.311230421,4.072167873,8
0,0,0,-8.646777153,-1.937988281,3.119921923,2,0,0,-8.225684166,2.330371141,4.062597752,8
0,0,0,-8.651562691,-1.92841804,3.110351563,2,0,0,-8.23046875,2.354296923,4.067382813,8
0,0,0,-8.656348228,-1.937988281,3.091211081,2,0,0,-8.240038872,2.354296923,4.072167873,8
0,0,0,-8.651562691,-1.937988281,3.08164072,2,0,0,-8.240038872,2.373437643,4.072167873,8
0,0,0,-8.632422447,-1.93320322,3.057714939,2,0,0,-8.235254288,2.378222704,4.076953411,8
0,0,0,-8.618066788,-1.92363286,3.038574219,3,0,0,-8.23046875,2.387793064,4.072167873,8
1,0,0,-8.608496666,-1.92363286,3.019433737,3,0,0,-8.225684166,2.373437643,4.062597752,8
2,1,0,-8.608496666,-1.9140625,3.000293016,3,0,0,-8.196972847,2.335156202,4.03867197,8
3,2,0,-8.608496666,-1.91884768,3.019433737,4,0,0,-8.192187309,2.296875,4.005176067,8
4,2,1,-8.61328125,-1.91884768,3.091211081,5,0,0,-8.173047066,2.263378859,3.981250048,8
5,3,2,-8.61328125,-1.937988281,3.148632765,6,0,0,-8.134765625,2.244238377,3.962109566,8
6,2,2,-8.61328125,-1.966699243,3.177343845,7,0,0,-8.120409966,2.239453077,3.938183784,8
7,2,2,-8.594141006,-1.966699243,3.206054688,8,0,0,-8.139551163,2.28730464,3.952539206,8
7,1,2,-8.598925591,-1.942773461,3.277832031,8,0,0,-8.149121284,2.330371141,3.995605469,8
7,0,1,-8.579785347,-2.000195265,3.354394674,8,1,0,-8.163476944,2.392578125,4.033886909,8
8,0,0,-8.531933784,-2.052832127,3.440527439,8,1,0,-8.177832603,2.516992331,4.115234375,8
11,0,-3,-8.460156441,-2.282519579,3.536230564,6,2,0,-8.268750191,2.674902439,4.225293159,8
20,2,-8,-8.388379097,-2.603125095,3.871191502,4,3,-1,-8.383593559,2.86152339,4.373632908,8
33,3,-15,-8.28310585,-2.665332079,4.57460928,0,3,-1,-8.436230659,3.08164072,4.454980373,8
45,0,-23,-8.259180069,-2.789746046,5.660840034,-6,4,-1,-8.326171875,3.316113234,4.387988567,8
53,-7,-33,-8.431445122,-3.067285299,6.952832222,-15,7,0,-8.235254288,3.564941406,4.335351467,8
58,-18,-42,-8.689844131,-3.340039015,8.125195503,-28,11,3,-8.129981041,3.895117283,4.416699409,8
55,-34,-51,-8.8573246,-3.430957079,9.173144341,-47,15,6,-8.010352135,4.349707127,4.584179878,8
48,-52,-58,-9.015234947,-3.603222609,9.551172256,-66,18,11,-7.857226849,4.359277248,4.962207317,8
41,-69,-64,-9.024805069,-3.698925972,9.393261909,-76,18,16,-7.799804688,4.311425686,5.502929688,8
40,-83,-69,-8.847754478,-4.033886909,8.943457603,-76,13,19,-7.833301067,4.306640625,5.96709013,8
43,-96,-73,-8.694628716,-4.373632908,8.393164635,-69,7,21,-7.728027344,4.258789063,6.239843845,8
47,-107,-77,-8.637207031,-4.316211224,7.857226849,-59,0,21,-7.617969036,4.320996284,6.617871284,8
47,-116,-78,-8.388379097,-4.19179678,7.407422066,-48,-8,21,-7.546191692,4.80429697,7.239941597,8
43,-123,-78,-8.225684166,-4.100879192,7.139453411,-40,-17,23,-7.474414349,5.579492092,7.871582031,8
39,-129,-77,-8.086914063,-4.024316311,7.120312691,-35,-28,28,-7.637109756,6.311621189,8.847754478,8
36,-135,-76,-7.957715034,-4.311425686,7.172949314,-32,-41,36,-8.043848038,7.120312691,9.723437309,8
34,-140,-75,-7.799804688,-4.646386623,7.11552763,-30,-54,46,-8.618066788,7.814160347,10.36464882,8
34,-143,-74,-7.661035538,-4.794726849,6.770996094,-35,-66,60,-9.043945313,8.560645103,10.79052734,8
33,-144,-74,-7.440917969,-4.761230469,6.148925781,-49,-78,76,-9.63730526,9.101366997,11.33603573,8
32,-140,-75,-7.201660156,-4.727734566,5.34023428,-63,-91,93,-10.2498045,9.130078316,11.75234413,8
33,-133,-77,-6.861914158,-4.799511909,4.24443388,-73,-104,110,-10.73310566,8.976953506,11.99160194,8
37,-120,-79,-6.235058784,-4.694238186,2.459570408,-76,-117,126,-11.2403326,8.876464844,12.45097637,8
45,-99,-80,-5.301953316,-4.277929783,-0.023925781,-76,-132,141,-11.69970703,8.651562691,12.84335995,8
55,-67,-78,-4.110449314,-3.746777534,-2.665332079,-73,-148,153,-12.00117207,8.307031631,12.86728573,8
71,-21,-76,-2.804101706,-3.320898533,-4.378417969,-73,-162,162,-12.11123085,8.311816216,12.6328125,8
100,29,-73,-2.368652344,-2.493066549,-3.387890577,-75,-178,170,-12.13037109,8.460156441,12.87685585,8
137,72,-65,-3.100781202,-1.430761695,0.110058598,-77,-193,171,-12.65673828,7.84765625,12.61367226,8
172,99,-58,-3.708496094,-0.445019543,4.048242092,-72,-207,172,-13.18789101,7.005468845,11.19248104,8
201,111,-52,-4.029101849,0.110058598,7.665820599,-68,-217,171,-13.23574257,6.086719036,9.072656631,8
215,111,-43,-4.440625191,0.37802735,10.66611385,-63,-221,166,-12.79550838,4.708593845,7.019824505,8
206,98,-32,-5.196679592,1.062304735,13.89130878,-51,-224,157,-12.02509785,3.316113234,5.335449219,8
159,70,-17,-5.900097847,2.6796875,17.3318367,-36,-225,149,-10.99628925,2.191601515,3.852050781,8
75,30,3,-6.235058784,4.316211224,20.8297863,-16,-225,144,-9.599023819,0.909179688,2.263378859,8
-30,-18,28,-6.512597561,5.091406345,22.94960976,5,-220,141,-7.986425877,-0.363671869,0.397167981,8
-100,-61,47,-7.503125191,4.900000095,22.08828163,30,-207,135,-5.76132822,-1.555175781,-2.292089939,8
-147,-99,62,-8.708984375,3.316113234,21.08818436,49,-178,123,-3.526660204,-2.579199314,-5.407226563,8
-159,-134,64,-9.335840225,-0.267968744,20.57617188,57,-137,103,-1.665234447,-3.684570313,-8.153906822,8
-128,-169,50,-9.838281631,-3.909472704,20.09287071,57,-88,81,-0.157910153,-4.301855564,-9.704297066,8
-71,-199,28,-9.962695122,-5.603417873,18.41806602,42,-42,58,0.689062536,-3.521875143,-8.565429688,8
-27,-219,7,-9.929199219,-5.636914253,15.47519588,13,-1,39,0.253613293,-1.808789134,-5.416797161,8
5,-230,-14,-10.15888691,-5.713476658,12.19736385,-13,38,19,-0.19140625,-0.373242199,-2.48828125,8
38,-235,-31,-10.04404354,-5.450293064,9.292773247,-16,81,-1,-0.229687512,0.39238283,-0.435449213,8
72,-237,-44,-8.914746284,-5.182324409,6.33554697,8,122,-15,0.10527344,0.521582067,2.995507956,8
103,-239,-55,-7.65625,-4.560254097,4.861718655,41,142,-18,0.636425793,1.421191454,7.536621094,8
114,-244,-68,-6.235058784,-3.665429831,3.598437548,54,145,-22,1.114941478,2.784960985,12.74765682,8
119,-244,-69,-5.416797161,-1.272851586,1.358984351,40,133,-29,1.689160228,5.536426067,16.78632927,8
102,-232,-59,-4.182226658,1.119726539,-1.698730469,6,109,-33,1.875781298,7.134667873,18.72910118,8
66,-210,-41,-3.134277344,2.536132813,-4.474121094,-9,79,-35,1.081445336,6.584374905,20.58095741,8
18,-181,-22,-2.641406298,2.641406298,-6.369042873,15,45,-41,0.650781274,5.828320503,22.71992302,8
-29,-143,-9,-2.234668016,1.382910132,-7.416992188,50,8,-45,0.698632836,6.000586033,24.0645504,8
-55,-104,-7,-1.72265625,-0.234472662,-7.823730469,73,-24,-46,0.626855493,6.751855373,23.74873161,8
-50,-60,-4,-0.803906262,-0.57421875,-8.062988281,74,-51,-46,0.1866211,7.536621094,21.78203201,8
-31,-7,2,0.421093762,0.272753924,-8.000781059,50,-70,-44,-0.421093762,9.335840225,18.90136719,8
-18,48,10,1.277636766,1.397265673,-6.87148428,0,-84,-29,-0.851757824,11.80498028,16.12597656,8
-18,101,20,1.92841804,2.378222704,-4.560254097,-43,-99,-10,-1.129296899,12.04902363,13.64726543,8
-23,148,32,2.483496189,2.765820265,-1.382910132,-63,-115,8,-1.196289063,10.6852541,11.68535137,8
-12,189,50,2.49785161,3.086425781,3.612792969,-71,-126,25,-0.483300805,9.383691788,9.733008385,8
6,207,67,2.186816454,3.005078077,9.096582413,-85,-133,41,0.406738281,7.661035538,7.125097752,8
6,201,82,1.866210938,1.71787107,15.56132889,-97,-136,48,0.626855493,5.081836224,4.861718655,8
-3,170,85,1.507324219,-0.244042978,21.91123009,-86,-138,41,0.550292969,2.024121046,2.450000048,8
-46,116,80,1.583886743,-0.301464856,27.31845665,-49,-134,31,0.727343738,0.090917967,-0.602929711,8
-110,65,79,1.73222661,0.856543005,27.31845665,-11,-117,22,1.272851586,-1.000097632,-4.254004002,8
-127,32,76,1.689160228,0.277539074,24.10283279,18,-84,15,1.804003954,-1.54082036,-7.364355564,8
-106,0,54,0.368457049,-4.923925877,21.76289177,36,-46,4,1.741796851,-2.569628954,-8.780761719,8
-34,-28,22,-0.665136755,-8.187402725,20.07851601,51,-8,-11,1.172363281,-2.942871094,-8.512793541,8
33,-56,-8,-0.220117196,-7.570117474,18.38457108,50,25,-22,0.57900393,-1.497753978,-6.617871284,8
71,-89,-40,-0.277539074,-6.33554697,17.09736443,14,55,-21,0.181835935,0.909179688,-3.502734423,8
89,-116,-75,-1.105371118,-5.37851572,14.75263691,-37,87,-20,-0.220117196,1.603027344,-0.1866211,8
103,-134,-99,-1.804003954,-3.545800924,11.68056679,-57,116,-23,-1.076660156,1.076660156,3.895117283,8
100,-144,-106,-2.129394531,-1.52646482,8.890820503,-39,132,-23,-0.918750048,1.272851586,8.206542969,8
93,-149,-108,-1.775292993,-1.775292993,5.565136909,4,132,-30,0.076562501,1.617382884,13.02998066,8
105,-149,-96,-0.837402344,0.708203137,3.24433589,18,127,-36,1.626953125,3.373535156,15.97285175,8
94,-140,-82,-0.114843756,1.894921899,0.531152368,17,112,-41,3.158203125,4.895215034,20.25556755,8
71,-119,-61,0.698632836,3.411816359,-2.239453077,2,89,-44,3.957324266,6.053222656,23.21757889,8
35,-89,-31,1.684375048,4.842578411,-4.364062786,-5,63,-42,4.722949505,7.388281345,24.52871132,8
-4,-59,-1,1.52646482,4.660742283,-4.598535061,-21,34,-32,4.641601563,7.991210938,25.17949295,8
-29,-34,19,1.095800757,2.875879049,-3.899902344,-38,6,-22,3.899902344,7.378711224,24.36601639,8
-40,-10,27,0.880468786,0.296679705,-3.05292964,-43,-17,-17,3.110351563,6.464745998,22.11699295,8
-43,19,27,1.110156298,-1.378125072,-3.139062643,-27,-43,-16,2.50742197,5.842675686,20.21728516,8
-38,55,24,1.105371118,-0.880468786,-2.842382908,-5,-71,-9,1.296777368,7.120312691,18.30322266,8
-46,91,25,0.96660161,0.813476563,-1.966699243,0,-95,13,0.153125003,8.771191597,15.75751972,8
-70,128,31,0.971386731,2.119824171,-0.177050784,-7,-109,40,-0.636425793,8.814257622,12.5993166,8
-87,163,44,1.043164134,1.856640697,2.761035204,-24,-113,61,-0.890039086,7.283008099,9.555956841,8
-76,185,54,1.248925805,0.559863269,7.019824505,-29,-114,68,-0.502441406,4.971777439,7.158593655,8
-45,188,60,1.469043016,-0.3828125,13.34101582,-21,-117,67,0.320605487,3.316113234,5.263671875,8
-31,165,66,1.875781298,0.086132817,19.98759842,-9,-118,59,0.679492176,2.191601515,3.378320456,8
-50,127,79,2.641406298,1.043164134,24.01191521,7,-111,47,0.827832043,1.296777368,0.626855493,8
-75,100,93,3.483593702,1.358984351,23.46640587,24,-92,30,1.248925805,-0.110058598,-2.775390625,8
-74,72,93,2.866308689,-1.880566478,22.38017654,40,-64,11,1.751367211,-1.368554711,-5.215820313,8
-50,43,84,0.990527391,-5.431152344,21.83466911,53,-36,0,1.789648414,-1.330273509,-5.732617378,8
-22,15,75,0.717773438,-6.038867474,21.01162148,47,-10,-5,1.770507813,-0.57900393,-5.000488281,8
-7,-14,46,1.641308665,-7.268652439,20.17900467,28,18,-10,1.899707079,0.062207032,-3.507519484,8
23,-43,1,1.842285156,-8.0916996,19.39902306,12,46,-16,2.110254049,0.445019543,-1.54082036,8
61,-69,-34,1.301562548,-5.91445303,17.65244102,0,74,-21,2.196386814,0.789550781,0.602929711,8
68,-92,-57,0.57421875,-4.033886909,15.42734432,-9,96,-24,1.92363286,1.081445336,2.828027487,8
64,-110,-70,-0.220117196,-3.115136862,12.99648476,-8,112,-32,1.488183618,1.287207007,4.895215034,8
64,-123,-77,-0.722558618,-2.603125095,10.25459003,2,126,-42,1.34462893,2.296875,7.072461128,8
70,-128,-80,-1.114941478,-2.167675734,8.168261528,5,134,-50,1.315917969,3.239550829,9.76171875,8
81,-128,-76,-1.296777368,-1.15322268,6.512597561,-3,133,-57,1.665234447,3.952539206,12.75244141,8
81,-123,-65,-1.210644603,0.287109375,5.091406345,-18,122,-59,1.837500095,4.536328316,16.21689415,8
59,-114,-49,-0.880468786,1.454687476,3.665429831,-23,103,-58,2.057617188,4.852148533,19.140625,8
25,-101,-37,-0.081347659,1.885351658,2.057617188,-19,80,-50,2.49785161,5.100976467,21.56191444,8
-6,-82,-28,0.550292969,1.689160228,0.416308612,-4,57,-42,3.124706984,5.541211128,23.32763672,8
-22,-59,-24,0.95703125,1.1484375,-0.832617223,9,30,-32,3.722851753,6.627441406,25.21777344,8
-18,-35,-21,1.114941478,0.851757824,-1.679589868,10,2,-21,4.378417969,7.780664444,26.28486443,8
-1,-9,-17,0.971386731,0.689062536,-2.167675734,1,-22,-9,4.387988567,8.187402725,25.20341873,8
21,16,-13,0.636425793,0.693847656,-2.383007765,-11,-42,-2,3.588867188,7.440917969,22.48066521,8
34,42,-8,0.593359411,1.263281226,-2.167675734,-15,-60,2,2.454785109,6.574804783,19.45166016,8
30,66,-1,0.933105469,2.052832127,-1.263281226,-7,-81,8,1.507324219,6.120214939,16.79589844,8
12,85,4,1.119726539,2.071972609,0.05263672,-3,-102,24,0.837402344,6.895410061,14.40332031,8
-9,101,9,1.047949195,1.73701179,1.277636766,-11,-117,47,0.081347659,7.158593655,12.06816387,8
-28,118,17,0.899609387,1.473828197,2.636621237,-24,-125,70,-0.440234393,6.302051067,9.383691788,8
-48,138,24,1.052734375,1.052734375,4.464550972,-32,-127,84,-0.37802735,4.541113377,6.847558498,8
-59,158,31,1.373339891,0.712988317,7.455273628,-29,-126,86,-0.636425793,2.684472799,4.809082031,8
-58,171,41,1.445117235,0.598144531,11.79062557,-14,-124,81,-0.899609387,1.291992188,2.818457127,8
-50,170,52,1.382910132,0.497656256,16.74804688,7,-117,73,-0.899609387,0.588574231,0.248828128,8
-50,152,62,1.186718822,0.224902347,21.68632889,26,-98,58,-0.497656256,-0.148339853,-3.148632765,8
-64,118,66,1.234570384,-0.363671869,26.22744179,38,-67,39,0.019140625,-1.110156298,-6.148925781,8
-93,77,67,1.617382884,-0.354101568,29.18945313,48,-31,16,0.349316418,-2.158105612,-7.302148342,8
-132,32,71,1.92363286,-0.205761716,29.01718712,57,0,0,0.368457049,-1.885351658,-6.340332031,8
-152,-9,75,2.10546875,-0.722558618,26.28486443,50,24,-5,0.086132817,-0.38759765,-4.335351467,8
-133,-45,63,1.804003954,-3.794629097,22.89218712,28,48,-5,-0.124414064,0.665136755,-2.373437643,8
-66,-73,36,0.665136755,-7.172949314,20.05937576,14,74,-9,-0.224902347,1.033593774,-0.449804693,8
12,-91,4,0.19140625,-7.661035538,17.20263672,11,99,-10,-0.076562501,1.076660156,1.641308665,8
66,-106,-24,0.521582067,-6.373828411,14.40810585,16,118,-11,0.679492176,0.870898426,3.986035347,8
86,-118,-48,1.004882813,-4.718163967,12.31699276,26,128,-19,1.449902415,0.890039086,6.378613472,8
86,-131,-65,0.612500012,-3.603222609,10.39814472,23,133,-32,2.339941502,1.880566478,8.699414253,8
81,-143,-71,-0.598144531,-3.206054688,8.110839844,9,131,-47,2.516992331,2.914160252,10.59433651,8
78,-148,-72,-1.641308665,-3.100781202,5.861816406,-1,130,-61,2.229882956,3.622363329,12.6519537,8
78,-147,-73,-1.521679759,-2.636621237,4.335351467,4,129,-69,2.564843893,3.584082127,15.77187538,8
74,-141,-74,-1.009667993,-1.607812524,3.220410109,21,117,-71,3.459667921,4.143945217,20.47089958,8
61,-129,-70,-0.894824207,-0.05263672,1.670019507,32,92,-69,4.2109375,5.502929688,24.38515663,8
38,-110,-59,-0.899609387,1.287207007,-0.253613293,27,64,-65,4.603320599,7.230370998,26.55283165,8
1,-83,-43,-0.751269519,2.258593798,-2.435644627,13,37,-58,4.990918159,8.847754478,27.58642578,8
-39,-49,-25,-0.674707055,2.641406298,-4.775586128,0,12,-47,5.048339844,9.733008385,27.44287109,8
-68,-9,-8,-0.535937488,1.937988281,-6.493457317,-16,-13,-35,4.172656536,9.278418541,25.3708992,8
-69,33,1,-0.449804693,0.727343738,-6.833203316,-25,-38,-28,2.823242188,8.436230659,22.23662186,8
-34,70,3,-0.559863269,-0.234472662,-4.971777439,-26,-61,-23,2.330371141,7.756738663,19.63349724,8
17,94,0,-0.741699219,0.05263672,-2.31601572,-28,-85,-11,1.693945289,8.0390625,17.22177696,8
49,109,-3,-0.645996094,1.138867259,0.124414064,-33,-105,10,0.813476563,8.043848038,14.79091835,8
51,118,-5,-0.1866211,2.062402487,2.536132813,-35,-121,33,-0.047851563,7.153808594,12.27392578,8
32,126,-8,0.435449213,1.847070336,4.694238186,-33,-133,52,-0.464160174,6.101074219,9.512890816,8
11,134,-11,1.110156298,1.382910132,6.823632717,-32,-138,65,-0.641210973,5.129687786,7.125097752,8
-7,144,-5,1.674804688,1.54560554,9.067871094,-33,-139,70,-1.201074243,3.63671875,4.852148533,8
-24,153,8,1.804003954,1.617382884,11.83847713,-23,-134,68,-1.502539039,2.229882956,2.454785109,8
-37,158,29,1.995410204,1.454687476,15.0349617,-4,-120,57,-1.100585938,0.631640613,-0.837402344,8
-50,156,48,1.952343822,1.071874976,19.01142693,10,-93,40,-0.56943363,-0.478515625,-4.110449314,8
-72,138,60,1.894921899,0.95703125,24.03584099,24,-58,21,-0.57900393,-1.564746141,-6.168066502,8
-104,101,65,1.818359375,1.449902415,28.64394569,42,-23,0,-0.976171911,-1.942773461,-6.780566692,8
-137,51,70,1.971484423,1.72744143,31.13222694,59,7,-13,-1.167578101,-0.923535168,-5.895312786,8
-151,2,73,1.904492259,-0.124414064,31.33798981,52,36,-14,-1.129296899,0.990527391,-4.115234375,8
-127,-40,61,1.253710985,-3.842480659,28.21328163,19,65,-7,-0.851757824,2.019335985,-1.957129002,8
-79,-73,30,0.267968744,-7.196875095,23.44248009,-14,92,-2,-0.631640613,1.73701179,0.19140625,8
