GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
5,0,0,-8.742480278,-1.92841804,2.823242188,1,0,0,-8.354883194,2.205957174,3.794629097,0
6,0,0,-8.747265816,-1.92841804,2.818457127,0,0,0,-8.364453316,2.220312595,3.799414158,0
7,0,-1,-8.752051353,-1.91884768,2.804101706,0,0,0,-8.388379097,2.249023438,3.83769536,0
8,0,-1,-8.771191597,-1.894921899,2.780175924,0,0,0,-8.388379097,2.272949219,3.871191502,0
8,0,-1,-8.766406059,-1.851855516,2.741894484,0,0,0,-8.388379097,2.268164158,3.875976563,0
8,0,-1,-8.747265816,-1.808789134,2.703613281,-1,0,0,-8.369238853,2.249023438,3.890332222,0
7,0,-1,-8.756835938,-1.794433594,2.6796875,-1,0,0,-8.369238853,2.210742235,3.875976563,0
7,0,-1,-8.756835938,-1.770507813,2.6796875,0,0,0,-8.369238853,2.162890673,3.83769536,0
6,0,-1,-8.775977135,-1.73222661,2.674902439,0,0,0,-8.335741997,2.129394531,3.828125,0
5,0,-1,-8.785547256,-1.713086009,2.631835938,1,0,0,-8.340527534,2.119824171,3.828125,0
4,0,-1,-8.771191597,-1.674804688,2.622265577,2,0,0,-8.388379097,2.12460947,3.818554878,0
3,0,-1,-8.752051353,-1.631738305,2.622265577,2,0,0,-8.407519341,2.148535252,3.84726572,0
1,0,0,-8.737695694,-1.617382884,2.617480516,2,0,-1,-8.383593559,2.220312595,3.890332222,0
0,1,0,-8.742480278,-1.598242164,2.627050877,2,0,-1,-8.359667778,2.28730464,3.919043064,0
-1,1,0,-8.747265816,-1.603027344,2.660547018,1,0,-1,-8.340527534,2.320800781,3.928613424,0
-3,1,0,-8.747265816,-1.641308665,2.684472799,1,0,-1,-8.316601753,2.330371141,3.938183784,0
-3,1,1,-8.737695694,-1.703515649,2.717968702,1,0,0,-8.307031631,2.359081984,3.942968845,0
-3,1,1,-8.742480278,-1.741796851,2.737109423,0,0,0,-8.292675972,2.397363424,3.923828125,0
-3,1,1,-8.761621475,-1.775292993,2.741894484,0,0,0,-8.307031631,2.450000048,3.904687643,0
-3,1,1,-8.771191597,-1.808789134,2.756250143,-2,0,1,-8.316601753,2.47871089,3.875976563,0
-3,1,1,-8.771191597,-1.851855516,2.784960985,-5,0,1,-8.316601753,2.464355469,3.804199219,0
-3,1,1,-8.771191597,-1.880566478,2.799316406,-6,0,1,-8.335741997,2.397363424,3.789843798,0
-2,0,0,-8.756835938,-1.909277439,2.804101706,-7,0,2,-8.350097656,2.354296923,3.823339939,0
-1,0,0,-8.761621475,-1.91884768,2.780175924,-8,0,2,-8.350097656,2.28730464,3.832910299,0
0,0,0,-8.771191597,-1.904492259,2.765820265,-7,0,2,-8.364453316,2.177246094,3.842480659,0
0,0,0,-8.785547256,-1.880566478,2.765820265,-7,0,2,-8.359667778,2.129394531,3.828125,0
0,0,0,-8.790331841,-1.861425877,2.746679783,-6,0,2,-8.369238853,2.028906345,3.808984518,0
1,0,0,-8.799902916,-1.827929735,2.727539063,-5,0,1,-8.364453316,1.961914063,3.794629097,0
1,0,0,-8.799902916,-1.789648414,2.713183641,-3,0,1,-8.383593559,1.937988281,3.775488377,0
2,1,0,-8.8046875,-1.765722632,2.703613281,-2,0,0,-8.397949219,1.92841804,3.765918016,0
2,1,0,-8.814257622,-1.746582031,2.722754002,0,0,0,-8.402734756,1.952343822,3.761132956,0
2,1,1,-8.814257622,-1.73222661,2.732324362,1,0,0,-8.388379097,1.995410204,3.775488377,0
2,1,1,-8.8046875,-1.73701179,2.737109423,3,0,0,-8.388379097,2.057617188,3.785058737,0
1,1,1,-8.8046875,-1.73222661,2.732324362,4,0,0,-8.388379097,2.11503911,3.799414158,0
1,1,1,-8.795117378,-1.73222661,2.717968702,5,0,0,-8.383593559,2.182031393,3.832910299,0
0,1,1,-8.785547256,-1.73701179,2.727539063,6,0,0,-8.364453316,2.239453077,3.856836081,0
0,0,1,-8.766406059,-1.751367211,2.727539063,6,0,0,-8.369238853,2.301660299,3.871191502,0
0,0,1,-8.766406059,-1.775292993,2.722754002,5,0,0,-8.350097656,2.359081984,3.875976563,0
1,0,1,-8.752051353,-1.804003954,2.703613281,3,0,0,-8.350097656,2.359081984,3.871191502,0
1,1,1,-8.752051353,-1.827929735,2.727539063,2,0,0,-8.374023438,2.368652344,3.852050781,0
2,1,1,-8.766406059,-1.837500095,2.761035204,0,0,1,-8.364453316,2.344726563,3.83769536,0
3,1,1,-8.795117378,-1.861425877,2.737109423,0,0,1,-8.374023438,2.325586081,3.83769536,0
4,1,0,-8.790331841,-1.866210938,2.713183641,-1,0,1,-8.426660538,2.325586081,3.832910299,0
4,1,0,-8.775977135,-1.851855516,2.732324362,-2,0,1,-8.464941978,2.320800781,3.828125,0
5,1,0,-8.747265816,-1.842285156,2.703613281,-3,0,1,-8.455370903,2.301660299,3.84726572,0
5,1,0,-8.737695694,-1.818359375,2.6796875,-4,0,0,-8.426660538,2.272949219,3.823339939,0
5,1,0,-8.737695694,-1.794433594,2.694042921,-5,0,0,-8.388379097,2.244238377,3.813769579,0
5,1,0,-8.747265816,-1.775292993,2.68925786,-5,0,1,-8.359667778,2.196386814,3.794629097,0
6,2,0,-8.752051353,-1.770507813,2.674902439,-4,0,1,-8.345313072,2.143749952,3.761132956,0
6,2,0,-8.766406059,-1.760937572,2.68925786,-3,0,1,-8.359667778,2.10546875,3.751562595,0
7,2,0,-8.775977135,-1.751367211,2.708398581,-2,0,1,-8.364453316,2.100683689,3.732421875,0
7,2,0,-8.790331841,-1.751367211,2.713183641,-1,1,1,-8.374023438,2.100683689,3.703711033,0
8,2,0,-8.814257622,-1.756152391,2.708398581,-1,1,0,-8.388379097,2.091113329,3.694140673,0
8,2,0,-8.823828697,-1.746582031,2.722754002,0,1,0,-8.412304878,2.076757908,3.708496094,0
8,2,0,-8.852539063,-1.72265625,2.746679783,0,1,0,-8.436230659,2.100683689,3.722851753,0
8,2,0,-8.876464844,-1.693945289,2.770605564,1,1,0,-8.436230659,2.148535252,3.756347656,0
8,2,0,-8.866894722,-1.665234447,2.770605564,1,2,0,-8.431445122,2.205957174,3.770703316,0
7,1,0,-8.852539063,-1.641308665,2.761035204,0,2,0,-8.417090416,2.239453077,3.775488377,0
6,1,0,-8.8573246,-1.617382884,2.737109423,0,2,0,-8.388379097,2.253808737,3.775488377,0
4,0,0,-8.852539063,-1.603027344,2.722754002,0,2,0,-8.369238853,2.263378859,3.761132956,0
4,0,0,-8.8573246,-1.588671923,2.717968702,0,2,0,-8.364453316,2.292089939,3.761132956,0
3,0,0,-8.833398819,-1.583886743,2.69882822,-1,2,0,-8.393164635,2.330371141,3.741992235,0
3,0,0,-8.819043159,-1.564746141,2.6796875,-1,2,0,-8.421875,2.349511862,3.741992235,0
2,0,0,-8.809473038,-1.564746141,2.655761719,-2,2,0,-8.421875,2.349511862,3.746777534,0
2,0,0,-8.790331841,-1.569531322,2.636621237,-3,2,0,-8.417090416,2.330371141,3.746777534,0
2,0,0,-8.780761719,-1.559960961,2.617480516,-4,2,0,-8.407519341,2.320800781,3.746777534,0
2,1,1,-8.780761719,-1.564746141,2.603125095,-5,2,0,-8.407519341,2.301660299,3.751562595,0
1,1,1,-8.790331841,-1.564746141,2.593554735,-5,2,1,-8.402734756,2.282519579,3.737207174,0
1,2,1,-8.819043159,-1.559960961,2.588769674,-5,2,1,-8.412304878,2.253808737,3.737207174,0
1,2,2,-8.833398819,-1.583886743,2.598339796,-5,1,1,-8.417090416,2.220312595,3.732421875,0
1,3,2,-8.814257622,-1.612597704,2.622265577,-5,1,1,-8.450586319,2.186816454,3.722851753,0
2,3,2,-8.780761719,-1.631738305,2.646191359,-5,1,1,-8.460156441,2.167675734,3.698925972,0
2,3,2,-8.761621475,-1.641308665,2.646191359,-4,1,1,-8.431445122,2.11503911,3.665429831,0
2,4,2,-8.785547256,-1.660449266,2.650976658,-4,1,1,-8.441016197,2.071972609,3.631933689,0
3,4,2,-8.8046875,-1.655664086,2.708398581,-4,2,1,-8.493652344,2.086328268,3.63671875,0
3,4,2,-8.795117378,-1.660449266,2.765820265,-4,2,0,-8.517578125,2.100683689,3.670214891,0
3,3,2,-8.780761719,-1.650878906,2.761035204,-3,2,0,-8.479296684,2.091113329,3.660644531,0
2,2,2,-8.766406059,-1.646093726,2.746679783,-2,1,0,-8.421875,2.09589839,3.617578268,0
1,2,1,-8.756835938,-1.646093726,2.751464844,-1,1,0,-8.374023438,2.091113329,3.603222609,0
1,1,1,-8.742480278,-1.665234447,2.756250143,0,1,0,-8.359667778,2.09589839,3.598437548,0
1,1,1,-8.723340034,-1.665234447,2.746679783,0,1,0,-8.374023438,2.138964891,3.598437548,0
2,1,0,-8.728125572,-1.650878906,2.713183641,0,2,0,-8.402734756,2.182031393,3.598437548,0
2,0,0,-8.742480278,-1.617382884,2.674902439,0,2,0,-8.421875,2.220312595,3.608007908,0
1,0,0,-8.728125572,-1.593457103,2.641406298,0,1,0,-8.431445122,2.215527296,3.593652487,0
1,0,0,-8.732910156,-1.607812524,2.627050877,0,1,0,-8.445800781,2.205957174,3.593652487,0
1,0,0,-8.737695694,-1.612597704,2.622265577,0,1,0,-8.436230659,2.205957174,3.603222609,0
1,0,0,-8.732910156,-1.607812524,2.650976658,0,1,0,-8.412304878,2.201171875,3.598437548,0
1,0,0,-8.694628716,-1.598242164,2.67011714,0,1,1,-8.393164635,2.186816454,3.603222609,0
1,0,0,-8.627636909,-1.588671923,2.708398581,0,0,1,-8.350097656,2.182031393,3.603222609,0
1,0,0,-8.531933784,-1.583886743,2.751464844,1,0,1,-8.278320313,2.138964891,3.550585985,0
1,-1,0,-8.455370903,-1.603027344,2.789746046,2,0,2,-8.240038872,2.10546875,3.512304783,0
1,-2,0,-8.426660538,-1.650878906,2.818457127,3,0,1,-8.249609947,2.081542969,3.507519484,0
1,-3,-1,-8.503222466,-1.665234447,2.828027487,3,0,1,-8.330957413,2.100683689,3.536230564,0
1,-3,-1,-8.637207031,-1.679589868,2.847167969,3,0,0,-8.493652344,2.205957174,3.612792969,0
1,-3,-1,-8.866894722,-1.72265625,2.904589891,2,0,-1,-8.656348228,2.325586081,3.727636814,0
2,-3,-1,-9.087012291,-1.770507813,2.947656393,0,0,-2,-8.790331841,2.368652344,3.780273438,0
3,-2,-1,-9.216211319,-1.813574195,2.938086033,-2,0,-2,-8.809473038,2.359081984,3.799414158,0
4,-2,-1,-9.206641197,-1.808789134,2.909374952,-3,0,-2,-8.723340034,2.387793064,3.780273438,0
5,-2,-2,-9.158789635,-1.799218774,2.847167969,-4,0,-1,-8.608496666,2.383007765,3.741992235,0
6,-1,-3,-9.082226753,-1.765722632,2.770605564,-5,0,0,-8.498437881,2.373437643,3.698925972,0
6,-1,-4,-8.972167969,-1.631738305,2.674902439,-6,0,0,-8.417090416,2.344726563,3.65585947,0
6,0,-5,-8.838183403,-1.583886743,2.607910156,-7,0,0,-8.393164635,2.277734518,3.588867188,0
7,0,-5,-8.766406059,-1.464257836,2.531347752,-6,0,1,-8.378808975,2.182031393,3.545800924,0
6,1,-5,-8.723340034,-1.368554711,2.47871089,-5,0,1,-8.378808975,2.091113329,3.526660204,0
6,1,-4,-8.723340034,-1.301562548,2.47871089,-3,0,1,-8.436230659,2.024121046,3.526660204,0
4,2,-2,-8.704199791,-1.244140625,2.48828125,0,-1,1,-8.508008003,1.995410204,3.579296827,0
1,2,0,-8.685058594,-1.234570384,2.50742197,1,-1,0,-8.551074028,2.009765625,3.65585947,0
-1,2,1,-8.694628716,-1.277636766,2.545703173,2,-1,0,-8.546289444,2.048046827,3.713281393,0
-5,2,2,-8.737695694,-1.358984351,2.593554735,3,-2,0,-8.555859566,2.100683689,3.746777534,0
-8,2,2,-8.795117378,-1.497753978,2.646191359,3,-2,0,-8.531933784,2.134179831,3.751562595,0
-8,2,2,-8.833398819,-1.603027344,2.717968702,3,-3,0,-8.493652344,2.153320313,3.751562595,0
-8,1,2,-8.8573246,-1.689160228,2.780175924,3,-3,0,-8.445800781,2.191601515,3.722851753,0
-7,1,1,-8.847754478,-1.72744143,2.813671827,2,-3,0,-8.412304878,2.249023438,3.684570313,0
-7,1,0,-8.828613281,-1.713086009,2.86152339,2,-4,0,-8.397949219,2.301660299,3.63671875,0
-6,0,0,-8.814257622,-1.73222661,2.899804831,1,-4,0,-8.412304878,2.325586081,3.593652487,0
-6,0,0,-8.828613281,-1.73701179,2.918945313,0,-3,0,-8.412304878,2.335156202,3.579296827,0
-5,0,0,-8.809473038,-1.71787107,2.938086033,0,-3,1,-8.412304878,2.330371141,3.579296827,0
-5,0,0,-8.790331841,-1.72265625,2.952441454,0,-3,1,-8.431445122,2.330371141,3.598437548,0
-3,-1,0,-8.771191597,-1.73222661,2.947656393,0,-2,2,-8.431445122,2.311230421,3.63671875,0
-2,-1,0,-8.780761719,-1.741796851,2.918945313,0,-2,2,-8.431445122,2.28730464,3.684570313,0
-1,-2,0,-8.780761719,-1.760937572,2.89023447,-1,-2,2,-8.421875,2.253808737,3.708496094,0
0,-2,0,-8.780761719,-1.760937572,2.875879049,-1,-2,2,-8.407519341,2.215527296,3.722851753,0
0,-2,0,-8.780761719,-1.741796851,2.832812548,-1,-2,2,-8.388379097,2.182031393,3.727636814,0
1,-3,0,-8.785547256,-1.73701179,2.808886766,-1,-2,2,-8.364453316,2.172461033,3.722851753,0
1,-3,0,-8.785547256,-1.72265625,2.761035204,0,-3,2,-8.378808975,2.172461033,3.722851753,0
1,-2,0,-8.799902916,-1.708300829,2.722754002,0,-3,2,-8.388379097,2.205957174,3.689355612,0
0,-2,-1,-8.814257622,-1.689160228,2.703613281,0,-2,2,-8.388379097,2.205957174,3.684570313,0
0,-2,-1,-8.8046875,-1.674804688,2.694042921,0,-2,2,-8.393164635,2.253808737,3.665429831,0
0,-2,0,-8.799902916,-1.660449266,2.684472799,0,-2,2,-8.436230659,2.253808737,3.660644531,0
0,-1,0,-8.785547256,-1.650878906,2.694042921,0,-2,2,-8.441016197,2.268164158,3.670214891,0
0,-1,0,-8.780761719,-1.631738305,2.713183641,0,-1,2,-8.436230659,2.253808737,3.675000191,0
-1,-1,0,-8.771191597,-1.641308665,2.713183641,0,-1,2,-8.412304878,2.225097656,3.679785252,0
-1,0,0,-8.752051353,-1.660449266,2.732324362,0,-1,2,-8.421875,2.191601515,3.679785252,0
-1,0,0,-8.747265816,-1.674804688,2.784960985,0,0,2,-8.407519341,2.172461033,3.689355612,0
-1,0,0,-8.775977135,-1.703515649,2.818457127,0,0,1,-8.393164635,2.153320313,3.708496094,0
-1,0,0,-8.775977135,-1.708300829,2.823242188,0,0,1,-8.421875,2.138964891,3.727636814,0
-1,0,0,-8.752051353,-1.693945289,2.828027487,0,0,0,-8.445800781,2.143749952,3.741992235,0
-1,0,0,-8.728125572,-1.693945289,2.837597609,1,0,0,-8.455370903,2.162890673,3.770703316,0
-2,0,0,-8.704199791,-1.703515649,2.813671827,1,0,0,-8.426660538,2.205957174,3.794629097,0
-2,0,1,-8.689844131,-1.72265625,2.818457127,1,0,-1,-8.393164635,2.249023438,3.799414158,0
-2,0,1,-8.699414253,-1.756152391,2.818457127,1,0,-1,-8.359667778,2.277734518,3.799414158,0
-1,0,1,-8.699414253,-1.794433594,2.813671827,1,0,0,-8.354883194,2.301660299,3.813769579,0
0,0,1,-8.708984375,-1.794433594,2.823242188,1,0,0,-8.350097656,2.31601572,3.808984518,0
