GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
13,11,36,-10.86709023,-3.239550829,1.114941478,24,2,25,-9.321484566,-1.229785204,5.847461224,4
-21,-15,34,-9.938769341,0.057421878,2.071972609,5,13,13,-9.106152534,0.645996094,5.306738377,4
-34,-14,37,-10.30722713,0.095703125,2.048046827,-3,14,16,-9.795214653,0.813476563,5.311523438,4
-38,-10,38,-10.92929745,-0.196191415,2.076757908,-13,14,18,-11.05371094,0.636425793,5.593847752,4
-30,-4,34,-11.36474609,-0.320605487,2.48828125,-7,11,19,-11.95810604,0.679492176,5.770898342,4
-16,1,26,-11.13027382,-0.205761716,3.033789158,-3,7,21,-11.82890606,1.636523485,5.321094036,4
0,5,16,-10.69003963,0.129199222,3.392675877,-11,3,21,-11.52265644,2.110254049,4.651172161,4
12,7,3,-10.37900448,0.555078149,3.608007908,-22,0,20,-11.08242226,2.282519579,3.909472704,4
20,5,-8,-10.06796932,1.000097632,3.722851753,-29,-1,19,-10.60390663,2.153320313,3.134277344,4
19,2,-18,-9.847851753,1.54560554,3.775488377,-28,-2,16,-10.20195293,1.799218774,2.574414015,4
11,-3,-24,-9.718652725,2.158105612,3.756347656,-21,-1,11,-9.823925972,1.741796851,2.330371141,4
-4,-9,-25,-9.402832031,2.722754002,3.64628911,-12,0,5,-9.369336128,1.804003954,2.220312595,4
-25,-13,-23,-8.881250381,3.0625,3.521875143,-4,0,0,-8.809473038,2.043261766,2.091113329,4
-43,-16,-19,-8.263964653,3.07207036,3.363964796,-1,3,-4,-8.211328506,2.339941502,1.880566478,4
-57,-16,-15,-7.651464939,2.741894484,3.167773485,-3,6,-6,-7.617969036,2.636621237,1.674804688,4
-61,-15,-12,-7.196875095,2.282519579,3.000293016,-11,10,-5,-7.177734375,2.875879049,1.593457103,4
-55,-11,-10,-6.933691502,1.818359375,2.918945313,-22,13,-3,-7.048535347,3.005078077,1.665234447,4
-41,-7,-9,-6.895410061,1.497753978,2.923730612,-33,14,0,-7.125097752,3.057714939,1.832714915,4
-26,-2,-9,-7.038964748,1.35419929,2.981152296,-44,14,2,-7.2734375,2.957226515,2.004980564,4
-12,1,-9,-7.259082317,1.287207007,3.086425781,-49,13,5,-7.455273628,2.703613281,2.12460947,4
-1,4,-9,-7.436132908,1.282421947,3.201269627,-46,10,7,-7.584472656,2.335156202,2.239453077,4
4,6,-8,-7.51748085,1.315917969,3.27304697,-34,7,8,-7.651464939,1.904492259,2.373437643,4
6,6,-7,-7.641894817,1.34462893,3.292187452,-13,4,7,-7.704101563,1.512109399,2.47871089,4
5,6,-6,-7.790234566,1.311132789,3.26347661,11,1,6,-7.742383003,1.315917969,2.521777391,4
3,6,-5,-8.0390625,1.268066406,3.316113234,36,0,4,-7.775878906,1.382910132,2.612695456,4
1,5,-4,-8.29746151,1.258496165,3.430957079,54,1,3,-7.704101563,1.636523485,2.789746046,4
0,3,-2,-8.651562691,1.306347728,3.517089844,59,2,3,-7.68974638,2.162890673,3.009863377,4
-4,2,0,-9.053515434,1.33505857,3.541015625,48,4,6,-7.919433594,2.708398581,3.25390625,4
-7,0,2,-9.441113472,1.320703149,3.555371046,26,7,9,-8.498437881,3.029003859,3.555371046,4
-11,0,6,-9.876563072,1.296777368,3.63671875,0,8,12,-9.417187691,3.043359518,3.856836081,4
-14,0,10,-10.34072304,1.244140625,3.804199219,-22,8,14,-10.3359375,2.813671827,4.120019436,4
-16,0,14,-10.56083965,1.181933641,3.885546923,-37,7,14,-10.97714901,2.349511862,4.239648342,4
-19,0,16,-10.45556641,1.129296899,3.808984518,-39,6,13,-11.11591816,1.813574195,4.163085938,4
-21,0,18,-10.16845703,1.052734375,3.708496094,-29,4,11,-10.92929745,1.34462893,3.986035347,4
-23,0,18,-9.766504288,0.980957031,3.679785252,-11,4,10,-10.45556641,1.138867259,3.780273438,4
-22,0,17,-9.297558784,0.95224613,3.65585947,4,3,9,-9.876563072,1.234570384,3.588867188,4
-21,0,15,-8.771191597,1.009667993,3.593652487,13,3,10,-9.316699028,1.54082036,3.416601658,4
-22,-1,14,-8.259180069,1.100585938,3.526660204,12,2,10,-8.900390625,1.856640697,3.234765768,4
-23,-2,14,-7.84765625,1.16279304,3.483593702,2,2,11,-8.598925591,2.119824171,3.057714939,4
-26,-3,14,-7.560546875,1.205859423,3.43574214,-14,2,11,-8.441016197,2.143749952,2.914160252,4
-29,-4,15,-7.364355564,1.181933641,3.392675877,-28,1,10,-8.445800781,1.899707079,2.780175924,4
-32,-4,16,-7.345214844,1.086230516,3.368750095,-35,0,7,-8.555859566,1.564746141,2.674902439,4
-34,-5,18,-7.503125191,0.96181643,3.387890577,-34,0,2,-8.670702934,1.306347728,2.603125095,4
-36,-5,19,-7.723242283,0.818261743,3.397460938,-27,0,-1,-8.646777153,1.205859423,2.564843893,4
-38,-5,20,-7.933789253,0.717773438,3.397460938,-19,0,-5,-8.570215225,1.263281226,2.512207031,4
-39,-5,21,-8.129981041,0.598144531,3.416601658,-14,0,-7,-8.450586319,1.497753978,2.48828125,4
-41,-5,20,-8.259180069,0.478515625,3.4453125,-13,0,-8,-8.278320313,1.804003954,2.483496189,4
-42,-4,18,-8.23046875,0.38759765,3.459667921,-18,0,-7,-8.0916996,2.019335985,2.493066549,4
-41,-4,15,-8.086914063,0.354101568,3.488379002,-26,0,-6,-7.90029335,2.100683689,2.48828125,4
-39,-2,12,-7.809375286,0.330175787,3.502734423,-32,0,-5,-7.713672161,2.057617188,2.483496189,4
-34,-1,8,-7.479199409,0.507226586,3.584082127,-35,-1,-5,-7.546191692,1.947558641,2.493066549,4
-29,0,5,-7.153808594,0.794335961,3.718066454,-35,-1,-5,-7.488769531,1.875781298,2.521777391,4
-25,0,3,-7.015038967,1.038378954,3.875976563,-33,-3,-7,-7.560546875,1.885351658,2.583984375,4
-21,2,2,-7.08203125,1.220214844,4.120019436,-31,-5,-10,-7.799804688,1.92841804,2.694042921,4
-14,3,2,-7.330859661,1.397265673,4.397558689,-28,-8,-13,-8.096484184,1.92841804,2.851953268,4
-8,3,3,-7.756738663,1.583886743,4.675097942,-23,-12,-16,-8.579785347,1.756152391,2.985937595,4
-2,4,3,-8.407519341,1.579101563,4.78515625,-12,-16,-20,-9.177929878,1.435546875,3.08164072,4
5,5,2,-9.331054688,1.291992188,4.718163967,6,-20,-24,-9.823925972,0.971386731,3.110351563,4
14,6,0,-10.18759823,0.789550781,4.469336033,28,-21,-27,-10.20673847,0.727343738,3.115136862,4
20,7,-3,-10.67568398,0.454589844,4.196582317,45,-19,-28,-10.3885746,0.976171911,3.172558546,4
27,7,-8,-10.57519531,-0.143554688,3.665429831,40,-15,-26,-10.3024416,1.392480493,3.493164063,4
35,7,-12,-10.32636738,-0.301464856,3.148632765,17,-10,-20,-9.957910538,1.502539039,3.914258003,4
36,6,-13,-9.996191978,-0.325390637,2.756250143,-12,-4,-12,-9.393261909,1.038378954,4.105664253,4
32,5,-11,-9.785644531,-0.521582067,2.49785161,-36,0,-5,-9.005663872,0.177050784,4.340137005,4
25,4,-7,-9.847851753,-0.846972644,2.31601572,-47,2,0,-8.981738091,-0.636425793,4.789941311,4
20,3,-2,-10.3550787,-1.244140625,2.196386814,-46,2,4,-9.307128906,-1.167578101,5.172753811,4
17,3,3,-11.0680666,-1.746582031,2.062402487,-38,2,9,-9.823925972,-1.459472656,5.435937405,4
