GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
-3,0,1,-9.087012291,-1.488183618,1.847070336,-2,0,0,-8.752051353,1.971484423,2.789746046,11
-3,0,1,-9.082226753,-1.488183618,1.847070336,-2,0,0,-8.747265816,1.971484423,2.794531345,11
-3,0,1,-9.087012291,-1.488183618,1.827929735,-2,0,0,-8.752051353,1.961914063,2.794531345,11
-3,0,1,-9.077441216,-1.488183618,1.818359375,-2,0,0,-8.761621475,1.952343822,2.784960985,11
-3,0,1,-9.077441216,-1.473828197,1.832714915,-1,0,0,-8.756835938,1.952343822,2.794531345,11
-3,0,1,-9.096582413,-1.488183618,1.823144555,-1,0,0,-8.752051353,1.952343822,2.799316406,11
-3,0,1,-9.106152534,-1.497753978,1.818359375,-1,0,0,-8.742480278,1.942773461,2.794531345,11
-3,0,1,-9.110938072,-1.507324219,1.823144555,-1,0,0,-8.728125572,1.942773461,2.794531345,11
-2,0,1,-9.096582413,-1.516894579,1.808789134,-1,0,0,-8.742480278,1.947558641,2.794531345,11
-2,0,1,-9.091796875,-1.492968798,1.823144555,-1,0,0,-8.747265816,1.942773461,2.794531345,11
-2,0,1,-9.091796875,-1.464257836,1.847070336,-1,0,0,-8.761621475,1.942773461,2.804101706,11
-2,0,1,-9.096582413,-1.445117235,1.837500095,-1,0,0,-8.761621475,1.957129002,2.804101706,11
-2,0,1,-9.087012291,-1.425976634,1.827929735,-1,0,0,-8.756835938,1.971484423,2.794531345,11
-3,0,1,-9.077441216,-1.430761695,1.842285156,-2,0,0,-8.737695694,1.985839844,2.794531345,11
-3,0,1,-9.087012291,-1.435546875,1.837500095,-2,0,0,-8.732910156,1.985839844,2.813671827,11
-4,0,2,-9.101366997,-1.473828197,1.837500095,-2,0,0,-8.723340034,1.976269603,2.818457127,11
-4,0,2,-9.106152534,-1.507324219,1.837500095,-2,0,0,-8.728125572,1.971484423,2.813671827,11
-4,0,2,-9.115722656,-1.54082036,1.827929735,-2,0,0,-8.728125572,1.971484423,2.804101706,11
-4,0,1,-9.120508194,-1.54560554,1.832714915,-2,0,0,-8.737695694,1.971484423,2.813671827,11
-3,0,1,-9.115722656,-1.54082036,1.842285156,-2,0,0,-8.742480278,1.976269603,2.804101706,11
-3,0,1,-9.091796875,-1.507324219,1.837500095,-2,0,0,-8.728125572,1.981054783,2.799316406,11
-3,0,1,-9.091796875,-1.488183618,1.832714915,-2,0,0,-8.718554497,1.990625024,2.794531345,11
-4,0,1,-9.091796875,-1.469043016,1.842285156,-2,0,0,-8.713769913,1.995410204,2.789746046,11
-4,0,1,-9.096582413,-1.464257836,1.842285156,-2,0,0,-8.732910156,1.990625024,2.775390625,11
-4,0,1,-9.101366997,-1.445117235,1.827929735,-2,0,0,-8.756835938,1.990625024,2.780175924,11
-4,0,1,-9.115722656,-1.454687476,1.818359375,-3,0,0,-8.756835938,1.981054783,2.794531345,11
-4,0,1,-9.130078316,-1.464257836,1.827929735,-3,0,0,-8.742480278,1.957129002,2.804101706,11
-4,0,1,-9.134863853,-1.478613257,1.827929735,-3,0,0,-8.728125572,1.947558641,2.813671827,11
-4,0,1,-9.149218559,-1.483398438,1.827929735,-3,0,0,-8.723340034,1.952343822,2.808886766,11
-4,0,1,-9.173144341,-1.497753978,1.823144555,-3,0,0,-8.713769913,1.961914063,2.804101706,11
