GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
3,1,0,-9.144433975,-1.172363281,1.861425877,7,-3,-2,-8.713769913,1.866210938,3.033789158,3
3,1,0,-9.130078316,-1.167578101,1.851855516,7,-3,-2,-8.699414253,1.870996118,3.029003859,3
3,1,0,-9.120508194,-1.172363281,1.837500095,7,-3,-2,-8.699414253,1.890136719,3.014648438,3
3,1,0,-9.134863853,-1.167578101,1.832714915,7,-3,-3,-8.694628716,1.904492259,3.024218798,3
3,1,0,-9.173144341,-1.167578101,1.827929735,6,-3,-3,-8.689844131,1.909277439,3.024218798,3
4,1,0,-9.182715416,-1.181933641,1.823144555,6,-3,-3,-8.670702934,1.9140625,3.029003859,3
4,1,0,-9.173144341,-1.167578101,1.808789134,6,-3,-2,-8.661132813,1.904492259,3.043359518,3
4,2,0,-9.168359756,-1.15322268,1.804003954,6,-3,-2,-8.68027401,1.894921899,3.033789158,3
4,2,0,-9.158789635,-1.138867259,1.818359375,7,-3,-2,-8.708984375,1.890136719,3.024218798,3
3,2,0,-9.158789635,-1.124511719,1.823144555,7,-3,-2,-8.718554497,1.890136719,3.024218798,3
3,1,0,-9.158789635,-1.100585938,1.832714915,7,-3,-2,-8.713769913,1.890136719,3.029003859,3
3,1,0,-9.158789635,-1.110156298,1.842285156,7,-3,-2,-8.694628716,1.894921899,3.033789158,3
2,1,0,-9.149218559,-1.138867259,1.832714915,7,-3,-2,-8.661132813,1.880566478,3.043359518,3
2,1,0,-9.154004097,-1.15800786,1.818359375,7,-3,-2,-8.651562691,1.866210938,3.048144579,3
2,1,0,-9.154004097,-1.186718822,1.804003954,7,-3,-2,-8.66591835,1.870996118,3.043359518,3
2,1,0,-9.163574219,-1.210644603,1.808789134,7,-3,-2,-8.68027401,1.880566478,3.048144579,3
3,1,0,-9.173144341,-1.210644603,1.813574195,7,-3,-2,-8.699414253,1.904492259,3.043359518,3
3,1,0,-9.168359756,-1.186718822,1.818359375,7,-3,-2,-8.699414253,1.92363286,3.038574219,3
3,1,0,-9.182715416,-1.15322268,1.813574195,6,-3,-2,-8.689844131,1.93320322,3.024218798,3
2,0,0,-9.177929878,-1.124511719,1.813574195,6,-3,-2,-8.68027401,1.92841804,3.024218798,3
2,0,0,-9.173144341,-1.110156298,1.804003954,6,-2,-2,-8.685058594,1.91884768,3.014648438,3
1,0,0,-9.154004097,-1.086230516,1.804003954,6,-2,-2,-8.675488472,1.904492259,3.019433737,3
1,0,0,-9.168359756,-1.095800757,1.789648414,6,-2,-2,-8.689844131,1.894921899,3.019433737,3
