GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
-13,1,1,-9.096582413,-1.363769531,1.861425877,38,-1,-13,-8.780761719,1.483398438,3.057714939,8
-15,2,0,-9.120508194,-1.263281226,1.799218774,38,-2,-13,-8.756835938,1.387695313,2.942871094,8
-15,2,1,-9.125292778,-1.268066406,1.813574195,38,-2,-13,-8.747265816,1.378125072,2.933300734,8
-14,2,1,-9.139648438,-1.268066406,1.808789134,38,-2,-13,-8.766406059,1.373339891,2.933300734,8
-14,2,1,-9.163574219,-1.268066406,1.794433594,38,-2,-13,-8.780761719,1.373339891,2.918945313,8
-15,1,1,-9.173144341,-1.282421947,1.804003954,38,-2,-13,-8.795117378,1.373339891,2.899804831,8
-15,1,1,-9.173144341,-1.291992188,1.794433594,38,-2,-13,-8.814257622,1.368554711,2.904589891,8
-14,1,1,-9.173144341,-1.296777368,1.770507813,38,-1,-13,-8.819043159,1.363769531,2.909374952,8
-15,1,1,-9.168359756,-1.291992188,1.760937572,38,-1,-14,-8.823828697,1.358984351,2.923730612,8
-14,1,1,-9.158789635,-1.291992188,1.756152391,38,-1,-14,-8.819043159,1.368554711,2.938086033,8
-14,1,1,-9.163574219,-1.291992188,1.756152391,38,-1,-13,-8.819043159,1.368554711,2.957226515,8
-14,1,1,-9.163574219,-1.296777368,1.751367211,38,-1,-13,-8.799902916,1.368554711,2.976367235,8
-14,1,1,-9.168359756,-1.306347728,1.751367211,38,-1,-13,-8.795117378,1.368554711,2.990722656,8
-14,1,1,-9.168359756,-1.301562548,1.751367211,38,-1,-13,-8.799902916,1.35419929,2.995507956,8
-14,1,1,-9.163574219,-1.291992188,1.751367211,38,-1,-13,-8.795117378,1.34941411,3.005078077,8
-15,1,1,-9.158789635,-1.268066406,1.756152391,38,-1,-13,-8.799902916,1.33505857,2.981152296,8
-15,1,1,-9.149218559,-1.263281226,1.756152391,38,-2,-13,-8.814257622,1.330273509,2.957226515,8
-14,1,1,-9.139648438,-1.272851586,1.775292993,38,-2,-13,-8.823828697,1.325488329,2.952441454,8
-14,1,1,-9.154004097,-1.253710985,1.780078173,38,-2,-13,-8.8046875,1.33505857,2.938086033,8
-14,1,1,-9.173144341,-1.268066406,1.775292993,38,-1,-13,-8.790331841,1.320703149,2.938086033,8
-14,1,1,-9.177929878,-1.301562548,1.770507813,38,-2,-13,-8.790331841,1.315917969,2.918945313,8
-14,1,1,-9.168359756,-1.311132789,1.751367211,38,-2,-13,-8.790331841,1.311132789,2.909374952,8
-13,1,1,-9.177929878,-1.282421947,1.741796851,38,-1,-13,-8.819043159,1.320703149,2.909374952,8
-13,1,1,-9.182715416,-1.258496165,1.746582031,38,-1,-13,-8.828613281,1.325488329,2.914160252,8
-14,1,1,-9.168359756,-1.258496165,1.73222661,38,-1,-13,-8.842968941,1.315917969,2.899804831,8
-14,1,0,-9.168359756,-1.282421947,1.72744143,39,-1,-13,-8.8573246,1.311132789,2.899804831,8
-14,1,0,-9.182715416,-1.296777368,1.72265625,39,-1,-13,-8.862109184,1.33505857,2.909374952,8
-14,1,0,-9.206641197,-1.296777368,1.73701179,38,-1,-13,-8.8573246,1.33984375,2.938086033,8
-13,1,0,-9.201855659,-1.291992188,1.73222661,38,-1,-13,-8.862109184,1.330273509,2.962011814,8
-13,1,0,-9.182715416,-1.291992188,1.73701179,38,-1,-13,-8.852539063,1.325488329,2.985937595,8
-13,1,1,-9.168359756,-1.287207007,1.73222661,38,-1,-13,-8.833398819,1.315917969,3.000293016,8
-13,1,0,-9.139648438,-1.287207007,1.73222661,38,-1,-13,-8.795117378,1.315917969,3.009863377,8
-14,1,0,-9.101366997,-1.296777368,1.741796851,37,-1,-12,-8.752051353,1.315917969,3.009863377,8
-13,1,0,-9.091796875,-1.320703149,1.72744143,37,-1,-12,-8.737695694,1.320703149,2.985937595,8
-11,1,0,-9.039160728,-1.416406274,1.72744143,37,-1,-12,-8.728125572,1.33984375,2.947656393,8
-4,3,-1,-8.943457603,-1.756152391,1.823144555,36,0,-12,-8.656348228,1.483398438,2.923730612,8
9,5,-5,-8.819043159,-2.411718845,2.062402487,32,1,-12,-8.48886776,1.870996118,2.909374952,8
36,9,-13,-8.713769913,-3.296972752,2.416503906,20,5,-9,-8.307031631,2.564843893,3.08164072,8
71,12,-25,-8.852539063,-4.00039053,3.009863377,0,11,-5,-8.000781059,3.27304697,3.4453125,8
