GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
3,1,0,-9.139648438,-1.038378954,2.009765625,-4,3,2,-8.732910156,1.832714915,2.866308689,0
2,1,0,-9.144433975,-1.014453173,2.052832127,-4,3,2,-8.713769913,1.823144555,2.866308689,0
2,1,0,-9.154004097,-1.000097632,2.100683689,-3,3,1,-8.713769913,1.837500095,2.88066411,0
3,1,0,-9.149218559,-0.995312512,2.138964891,-3,3,1,-8.718554497,1.856640697,2.895019531,0
3,0,0,-9.149218559,-0.985742211,2.138964891,-2,3,1,-8.708984375,1.885351658,2.895019531,0
4,0,1,-9.130078316,-0.990527391,2.129394531,-2,3,1,-8.718554497,1.9140625,2.89023447,0
4,0,1,-9.120508194,-1.009667993,2.11503911,-2,3,1,-8.728125572,1.92841804,2.88066411,0
5,0,1,-9.115722656,-1.028808594,2.100683689,-2,3,1,-8.728125572,1.937988281,2.885449171,0
5,0,1,-9.106152534,-1.043164134,2.067187548,-2,3,1,-8.718554497,1.937988281,2.885449171,0
5,0,1,-9.101366997,-1.067089915,2.028906345,-2,3,2,-8.708984375,1.92841804,2.885449171,0
6,0,1,-9.087012291,-1.081445336,2.004980564,-2,3,1,-8.713769913,1.93320322,2.875879049,0
6,0,1,-9.101366997,-1.086230516,1.985839844,-2,3,1,-8.708984375,1.937988281,2.875879049,0
6,1,1,-9.115722656,-1.071874976,1.961914063,-2,3,1,-8.699414253,1.937988281,2.866308689,0
5,1,1,-9.130078316,-1.071874976,1.957129002,-2,3,1,-8.699414253,1.92363286,2.856738329,0
5,1,1,-9.149218559,-1.067089915,1.976269603,-2,3,1,-8.742480278,1.92841804,2.847167969,0
5,1,1,-9.139648438,-1.047949195,2.014550924,-1,3,1,-8.775977135,1.942773461,2.87109375,0
5,1,0,-9.120508194,-1.019238353,2.038476706,-2,3,1,-8.775977135,1.947558641,2.885449171,0
5,1,0,-9.096582413,-0.985742211,2.048046827,-2,3,1,-8.756835938,1.947558641,2.875879049,0
4,1,0,-9.077441216,-0.95703125,2.062402487,-2,3,1,-8.718554497,1.93320322,2.89023447,0
4,1,0,-9.06308651,-0.95224613,2.081542969,-2,3,1,-8.694628716,1.93320322,2.88066411,0
4,1,0,-9.077441216,-0.942675829,2.09589839,-2,2,1,-8.704199791,1.942773461,2.87109375,0
4,0,0,-9.115722656,-0.947460949,2.09589839,-2,2,1,-8.718554497,1.947558641,2.866308689,0
4,0,0,-9.144433975,-0.96181643,2.086328268,-2,2,1,-8.732910156,1.957129002,2.86152339,0
4,0,0,-9.168359756,-0.980957031,2.076757908,-2,2,1,-8.747265816,1.961914063,2.851953268,0
4,0,0,-9.158789635,-0.990527391,2.057617188,-2,2,1,-8.737695694,1.947558641,2.856738329,0
4,0,0,-9.139648438,-0.990527391,2.028906345,-2,3,1,-8.718554497,1.942773461,2.847167969,0
4,0,0,-9.134863853,-0.980957031,2.014550924,-1,3,1,-8.718554497,1.937988281,2.837597609,0
4,0,0,-9.125292778,-0.976171911,2.009765625,-1,3,1,-8.723340034,1.942773461,2.847167969,0
