GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
5,1,0,-9.06308651,-1.268066406,2.11503911,1,0,0,-8.728125572,1.957129002,2.918945313,2
5,1,0,-9.053515434,-1.282421947,2.12460947,1,0,0,-8.723340034,1.942773461,2.909374952,2
5,1,0,-9.053515434,-1.291992188,2.11503911,1,0,1,-8.718554497,1.9140625,2.899804831,2
5,1,0,-9.06308651,-1.301562548,2.129394531,1,0,1,-8.713769913,1.899707079,2.885449171,2
5,1,0,-9.067871094,-1.311132789,2.12460947,2,0,0,-8.718554497,1.904492259,2.88066411,2
5,1,0,-9.067871094,-1.301562548,2.110254049,2,0,0,-8.713769913,1.93320322,2.885449171,2
5,1,-1,-9.06308651,-1.291992188,2.11503911,2,0,0,-8.704199791,1.971484423,2.89023447,2
5,0,-1,-9.058300972,-1.272851586,2.110254049,2,0,0,-8.699414253,1.985839844,2.895019531,2
4,0,0,-9.06308651,-1.263281226,2.10546875,1,0,0,-8.704199791,1.990625024,2.89023447,2
4,0,0,-9.067871094,-1.268066406,2.134179831,1,0,0,-8.704199791,1.985839844,2.904589891,2
4,0,0,-9.067871094,-1.263281226,2.10546875,1,0,0,-8.713769913,1.976269603,2.909374952,2
4,0,0,-9.067871094,-1.272851586,2.110254049,1,0,1,-8.713769913,1.976269603,2.904589891,2
4,0,0,-9.067871094,-1.277636766,2.11503911,0,0,1,-8.718554497,1.957129002,2.914160252,2
4,0,0,-9.058300972,-1.277636766,2.10546875,0,0,0,-8.718554497,1.957129002,2.923730612,2
4,0,0,-9.053515434,-1.287207007,2.09589839,1,0,0,-8.728125572,1.957129002,2.918945313,2
4,0,0,-9.04873085,-1.296777368,2.12460947,1,0,0,-8.732910156,1.961914063,2.895019531,2
4,0,0,-9.043945313,-1.296777368,2.119824171,1,0,0,-8.732910156,1.961914063,2.89023447,2
4,0,0,-9.058300972,-1.306347728,2.100683689,1,0,1,-8.723340034,1.966699243,2.885449171,2
4,0,0,-9.058300972,-1.311132789,2.11503911,1,0,1,-8.694628716,1.966699243,2.88066411,2
4,0,0,-9.077441216,-1.315917969,2.12460947,1,0,1,-8.713769913,1.966699243,2.885449171,2
4,0,0,-9.072656631,-1.311132789,2.11503911,1,0,0,-8.747265816,1.966699243,2.904589891,2
4,1,0,-9.039160728,-1.296777368,2.119824171,1,0,0,-8.756835938,1.990625024,2.923730612,2
4,1,-1,-9.024805069,-1.268066406,2.11503911,1,0,0,-8.747265816,1.995410204,2.918945313,2
3,1,-1,-9.024805069,-1.268066406,2.119824171,0,0,0,-8.723340034,1.995410204,2.928515673,2
3,1,0,-9.039160728,-1.301562548,2.143749952,0,0,0,-8.694628716,1.976269603,2.923730612,2
3,0,0,-9.034375191,-1.33505857,2.138964891,0,0,0,-8.699414253,1.952343822,2.914160252,2
3,0,0,-9.043945313,-1.33984375,2.11503911,0,0,0,-8.718554497,1.947558641,2.909374952,2
3,0,-1,-9.067871094,-1.35419929,2.11503911,0,0,0,-8.728125572,1.957129002,2.895019531,2
3,0,-1,-9.072656631,-1.35419929,2.100683689,0,0,0,-8.723340034,1.976269603,2.89023447,2
3,0,-1,-9.072656631,-1.382910132,2.11503911,0,0,0,-8.704199791,1.990625024,2.895019531,2
5,1,-1,-9.082226753,-1.392480493,2.119824171,0,0,0,-8.713769913,2.028906345,2.904589891,2
7,1,-2,-9.110938072,-1.320703149,2.09589839,0,0,0,-8.752051353,2.057617188,2.895019531,2
7,1,-2,-9.1875,-1.186718822,2.09589839,0,0,0,-8.795117378,2.110254049,2.875879049,2
7,1,-2,-9.2401371,-1.052734375,2.10546875,-1,0,0,-8.833398819,2.177246094,2.904589891,2
4,0,-2,-9.225781441,-0.933105469,2.086328268,-2,1,0,-8.833398819,2.263378859,2.918945313,2
2,0,-1,-9.177929878,-0.866113305,2.071972609,-3,1,0,-8.780761719,2.339941502,2.952441454,2
0,0,-1,-9.091796875,-0.803906262,2.052832127,-4,1,0,-8.689844131,2.454785109,3.024218798,2
-4,0,0,-9.029589653,-0.794335961,2.052832127,-7,1,2,-8.579785347,2.617480516,3.100781202,2
-8,0,0,-9.053515434,-0.846972644,2.110254049,-12,1,6,-8.48886776,3.239550829,3.206054688,2
-12,0,0,-9.244921684,-0.894824207,2.244238377,-22,5,17,-8.464941978,4.861718655,3.340039015,2
-15,0,0,-9.469824791,-0.928320348,2.464355469,-29,7,38,-9.139648438,6.761425972,3.990820408,2
-18,0,0,-9.795214653,-0.913964868,2.727539063,-23,6,62,-9.900488853,8.196972847,4.756445408,2
-21,-2,-1,-10.13974667,-0.837402344,3.009863377,-21,2,91,-10.63740253,10.3024416,4.852148533,2
-25,-5,-2,-10.33115292,-0.641210973,3.129492283,-25,0,123,-10.71396542,12.52275372,4.57460928,2
-31,-10,-4,-10.20673847,-0.411523432,3.177343845,-35,-3,155,-10.44121075,13.867383,4.521972656,2
-33,-16,-8,-9.733008385,-0.425878912,3.153418064,-43,-8,188,-9.938769341,14.11142635,4.569824219,2
-29,-23,-12,-9.077441216,-0.315820307,3.143847704,-50,-14,217,-9.201855659,13.867383,4.454980373,2
-23,-30,-15,-8.441016197,0.033496093,3.215625048,-55,-20,244,-8.651562691,13.06347656,4.24443388,2
-23,-35,-18,-7.914648533,0.535937488,3.201269627,-55,-26,265,-8.28310585,12.18779278,3.962109566,2
-34,-37,-17,-7.51748085,1.067089915,3.105566502,-51,-34,281,-8.364453316,11.47959042,3.732421875,2
-55,-37,-15,-7.431347847,1.34462893,2.832812548,-44,-42,292,-8.622851372,11.0154295,3.550585985,2
-82,-32,-10,-7.704101563,1.091015697,2.469140768,-30,-51,301,-8.953027725,10.89580059,3.210839987,2
-107,-26,-6,-8.110839844,0.512011707,2.138964891,-12,-59,306,-9.469824791,10.83837891,2.976367235,2
-123,-20,-1,-8.340527534,-0.215332031,1.894921899,9,-65,309,-9.685156822,10.88623047,2.899804831,2
-125,-14,3,-8.292675972,-0.96660161,1.804003954,35,-70,312,-9.642089844,11.25947285,2.914160252,2
-117,-11,7,-8.421875,-1.258496165,1.92363286,52,-72,317,-9.417187691,11.85761738,2.875879049,2
-110,-12,13,-8.780761719,-1.655664086,2.612695456,66,-73,323,-8.866894722,12.03466797,2.847167969,2
-112,-16,18,-9.058300972,-2.009765625,3.713281393,87,-74,328,-7.924219131,11.42695332,2.895019531,2
-120,-22,22,-8.866894722,-2.464355469,4.182226658,115,-71,332,-6.627441406,10.80009747,3.057714939,2
-115,-25,26,-8.460156441,-2.660547018,3.521875143,141,-68,340,-5.225390911,10.78095722,3.201269627,2
-97,-25,28,-8.287890434,-2.775390625,2.354296923,164,-63,347,-3.675000191,10.4220705,3.029003859,2
-66,-19,30,-8.464941978,-2.823242188,1.425976634,180,-57,349,-2.363867283,9.876563072,2.746679783,2
-34,-13,32,-8.862109184,-2.68925786,1.177148461,188,-50,349,-1.34462893,9.120508194,2.440429688,2
-7,-6,34,-8.900390625,-2.521777391,1.33984375,189,-45,341,-0.502441406,8.168261528,2.282519579,2
13,0,36,-8.670702934,-2.421289206,1.492968798,192,-41,330,0.277539074,6.928906441,2.344726563,2
30,5,39,-8.828613281,-2.426074266,1.521679759,194,-38,313,1.038378954,5.608203411,2.201171875,2
44,7,42,-9.594238281,-2.483496189,1.607812524,200,-36,292,1.832714915,4.498046875,1.827929735,2
54,7,46,-10.57519531,-2.440429688,1.760937572,201,-33,265,2.765820265,3.086425781,1.15800786,2
60,5,51,-11.1876955,-2.239453077,1.832714915,202,-28,235,3.708496094,1.780078173,0.39238283,2
56,1,55,-11.33125019,-1.851855516,1.756152391,197,-19,202,4.502831936,0.751269519,-0.468945324,2
41,-2,59,-11.1541996,-1.593457103,1.507324219,187,-8,167,5.14882803,-0.148339853,-1.057519555,2
19,-3,61,-10.82880878,-1.296777368,1.129296899,164,2,131,5.522070408,-0.779980481,-1.516894579,2
-8,-2,61,-10.60869122,-1.095800757,0.851757824,139,12,94,5.708691597,-1.593457103,-2.215527296,2
-33,0,59,-10.39814472,-1.272851586,0.827832043,119,23,56,5.871387005,-2.392578125,-3.134277344,2
-51,3,56,-10.09667969,-1.622167945,0.976171911,101,35,16,6.062793255,-2.775390625,-3.842480659,2
-57,5,51,-9.661231041,-1.995410204,1.100585938,81,49,-21,6.168066502,-2.612695456,-4.096093655,2
-52,6,45,-9.139648438,-2.349511862,1.081445336,61,62,-54,6.072363377,-2.253808737,-4.01953125,2
-38,8,37,-8.574999809,-2.569628954,0.980957031,42,75,-85,5.818749905,-1.92363286,-3.741992235,2
-20,10,29,-8.082129478,-2.564843893,0.904394567,25,88,-114,5.383300781,-1.569531322,-3.387890577,2
-4,11,22,-7.713672161,-2.416503906,0.923535168,4,103,-139,4.856933594,-1.114941478,-2.794531345,2
6,12,16,-7.431347847,-2.229882956,0.976171911,-19,117,-161,4.153515816,-0.622070313,-2.043261766,2
10,11,11,-7.30693388,-2.038476706,1.047949195,-47,130,-178,3.411816359,-0.157910153,-1.449902415,2
8,10,7,-7.335644722,-1.875781298,1.114941478,-74,144,-192,2.789746046,0.1866211,-1.047949195,2
3,8,4,-7.488769531,-1.73222661,1.196289063,-93,158,-203,2.182031393,0.411523432,-0.861328125,2
-6,5,1,-7.771093845,-1.617382884,1.263281226,-104,175,-215,1.564746141,0.512011707,-0.789550781,2
-19,1,0,-8.129981041,-1.521679759,1.296777368,-103,193,-227,0.899609387,1.186718822,-0.277539074,2
-35,-1,-3,-8.407519341,-1.459472656,1.277636766,-97,207,-236,0.368457049,2.588769674,1.129296899,2
-50,-3,-7,-8.508008003,-1.478613257,1.220214844,-96,217,-238,-0.019140625,4.464550972,2.756250143,2
-63,-4,-12,-8.412304878,-1.564746141,1.172363281,-108,219,-229,-0.339746088,7.402637005,4.670312405,2
-71,-3,-18,-8.244824409,-1.665234447,1.167578101,-130,209,-201,-0.602929711,10.68046856,6.632226467,2
-74,-1,-25,-8.082129478,-1.765722632,1.258496165,-146,193,-160,-0.358886719,12.56103516,8.163476944,2
-72,2,-33,-8.010352135,-1.880566478,1.435546875,-138,177,-121,-0.449804693,13.28359413,9.642089844,2
-64,7,-40,-8.019922256,-2.009765625,1.698730469,-85,157,-92,-0.732128918,13.79082012,11.91503906,2
-51,11,-46,-8.273535728,-2.11503911,1.92841804,-6,125,-60,-0.827832043,16.00634766,14.86748123,2
