GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
-1,1,-4,-9.216211319,-0.947460949,1.583886743,-2,0,-2,-9.417187691,1.33984375,0,4
-1,1,-4,-9.225781441,-0.913964868,1.583886743,-2,-1,-2,-9.417187691,1.225000024,0.047851563,4
0,1,-4,-9.235351563,-0.894824207,1.564746141,-1,0,-2,-9.484179497,1.234570384,0.023925781,4
0,1,-4,-9.249707222,-0.870898426,1.569531322,-1,0,-1,-9.484179497,1.229785204,0.038281251,4
0,1,-4,-9.249707222,-0.827832043,1.574316382,-2,1,-1,-9.493750572,1.225000024,0,4
-1,1,-4,-9.220995903,-0.808691442,1.564746141,-2,1,-1,-9.493750572,1.330273509,0.033496093,4
-2,1,-4,-9.211425781,-0.803906262,1.555175781,-4,0,0,-9.484179497,1.301562548,0.306250006,4
-2,1,-3,-9.235351563,-0.827832043,1.559960961,-5,0,1,-9.493750572,1.234570384,0.315820307,4
-3,1,-3,-9.2401371,-0.846972644,1.574316382,-4,0,1,-9.474609375,0.373242199,0.311035156,4
-3,1,-3,-9.220995903,-0.875683606,1.593457103,-4,0,1,-9.417187691,0.306250006,0.306250006,4
-3,1,-3,-9.220995903,-0.909179688,1.598242164,-4,1,1,-9.417187691,0.315820307,0.344531268,4
-3,1,-2,-9.216211319,-0.933105469,1.603027344,-4,1,2,-9.417187691,0.19140625,0.339746088,4
-3,1,-2,-9.216211319,-0.942675829,1.612597704,-4,0,1,-9.417187691,0.234472662,0.3828125,4
-2,1,-2,-9.225781441,-0.947460949,1.622167945,-4,0,1,-9.455469131,0.277539074,0.38759765,4
-2,1,-3,-9.225781441,-0.942675829,1.631738305,-4,0,1,-9.450683594,1.263281226,0.306250006,4
-1,1,-3,-9.216211319,-0.918750048,1.636523485,-2,0,1,-9.44589901,1.225000024,0.306250006,4
-1,1,-3,-9.216211319,-0.899609387,1.617382884,-2,0,1,-9.44589901,1.244140625,0.39238283,4
-1,0,-3,-9.225781441,-0.890039086,1.598242164,-2,0,1,-9.455469131,1.239355445,0.325390637,4
-1,0,-3,-9.230566978,-0.885253906,1.588671923,-2,1,1,-9.460253716,1.253710985,0.344531268,4
-1,0,-3,-9.235351563,-0.885253906,1.569531322,-2,1,1,-9.417187691,1.225000024,0.344531268,4
-1,0,-2,-9.2401371,-0.894824207,1.555175781,-2,1,2,-9.469824791,1.244140625,0.311035156,4
-1,0,-2,-9.235351563,-0.904394567,1.555175781,-2,1,2,-9.460253716,1.229785204,0.325390637,4
-1,0,-2,-9.220995903,-0.904394567,1.54560554,-4,1,2,-9.450683594,1.244140625,0.311035156,4
-2,0,-2,-9.225781441,-0.885253906,1.555175781,-4,0,2,-9.455469131,1.229785204,0.306250006,4
-2,0,-2,-9.230566978,-0.885253906,1.555175781,-4,0,2,-9.455469131,1.248925805,0.325390637,4
-2,0,-2,-9.220995903,-0.875683606,1.54560554,-4,0,2,-9.455469131,1.263281226,0.306250006,4
-2,0,-2,-9.216211319,-0.885253906,1.569531322,-5,0,2,-9.455469131,1.244140625,0.344531268,4
-2,1,-2,-9.220995903,-0.894824207,1.559960961,-5,0,2,-9.488965034,1.225000024,0.334960938,4
-3,1,-2,-9.216211319,-0.899609387,1.564746141,-6,0,2,-9.493750572,1.229785204,0.315820307,4
-3,1,-2,-9.225781441,-0.913964868,1.550390601,-6,0,2,-9.493750572,1.229785204,0.306250006,4
-3,0,-2,-9.225781441,-0.913964868,1.555175781,-5,0,2,-9.455469131,1.229785204,0.330175787,4
-2,0,-2,-9.225781441,-0.909179688,1.559960961,-6,0,1,-9.484179497,1.225000024,0.306250006,4
-2,1,-2,-9.235351563,-0.913964868,1.564746141,-6,0,1,-9.493750572,1.225000024,0.306250006,4
-2,1,-2,-9.206641197,-0.894824207,1.579101563,-6,0,1,-9.474609375,1.253710985,0.349316418,4
-2,1,-2,-9.197070122,-0.870898426,1.574316382,-6,0,0,-9.474609375,1.272851586,0.344531268,4
-3,1,-2,-9.197070122,-0.866113305,1.564746141,-6,0,2,-9.474609375,1.234570384,0.306250006,4
-3,1,-2,-9.197070122,-0.866113305,1.583886743,-6,0,2,-9.455469131,1.239355445,0.306250006,4
-3,1,-2,-9.201855659,-0.875683606,1.598242164,-6,0,2,-9.450683594,1.225000024,0.306250006,4
-3,0,-2,-9.1875,-0.904394567,1.588671923,-6,1,2,-9.1875,1.225000024,0.306250006,4
-4,0,-2,-9.192285538,-0.923535168,1.579101563,-6,1,2,-9.1875,1.291992188,0.315820307,4
-4,0,-2,-9.1875,-0.942675829,1.588671923,-6,1,1,-9.1875,1.272851586,0.349316418,4
-4,0,-2,-9.197070122,-0.95703125,1.588671923,-6,1,1,-9.44589901,1.263281226,0.363671869,4
-3,0,-2,-9.206641197,-0.95224613,1.593457103,-6,1,1,-9.469824791,1.229785204,0.363671869,4
-3,0,-3,-9.197070122,-0.942675829,1.607812524,-6,1,1,-9.469824791,1.244140625,0.3828125,4
-3,0,-3,-9.211425781,-0.904394567,1.617382884,-6,1,0,-9.493750572,1.234570384,0.38759765,4
-3,0,-3,-9.235351563,-0.885253906,1.598242164,-6,1,1,-9.474609375,1.225000024,0.354101568,4
-3,0,-3,-9.244921684,-0.880468786,1.603027344,-6,1,1,-9.493750572,1.225000024,0.3828125,4
-3,0,-3,-9.244921684,-0.885253906,1.598242164,-4,1,1,-9.551172256,1.253710985,0.334960938,4
-3,0,-3,-9.259277344,-0.885253906,1.593457103,-4,1,1,-9.565527916,1.253710985,0.325390637,4
-3,1,-3,-9.273633003,-0.904394567,1.598242164,-4,0,1,-9.589453697,1.229785204,0.306250006,4
-2,1,-2,-9.273633003,-0.913964868,1.588671923,-3,0,0,-9.594238281,1.229785204,0.325390637,4
-1,1,-2,-9.259277344,-0.937890649,1.564746141,-6,0,1,-9.560742378,1.311132789,0.330175787,4
0,1,-2,-9.278418541,-0.990527391,1.516894579,-5,1,1,-9.589453697,1.301562548,0.114843756,4
0,2,-2,-9.326270103,-1.024023414,1.478613257,-5,2,1,-9.790430069,1.272851586,0.095703125,4
0,3,-2,-9.374121666,-1.057519555,1.445117235,-4,0,1,-9.76171875,1.229785204,0.153125003,4
1,4,-3,-9.383691788,-1.047949195,1.430761695,-3,0,1,-9.37890625,1.253710985,0.153125003,4
0,4,-3,-9.354980469,-0.985742211,1.392480493,-4,1,0,-9.417187691,1.277636766,0.157910153,4
0,5,-3,-9.335840225,-1.033593774,1.34941411,-6,2,0,-9.340624809,1.225000024,0.081347659,4
0,5,-4,-9.311914444,-1.091015697,1.287207007,-8,3,-2,-9.340624809,1.320703149,0.009570313,4
0,6,-4,-9.201855659,-0.96181643,1.210644603,-14,1,-2,-9.800000191,1.382910132,0.689062536,4
-2,7,-4,-9.000879288,-1.052734375,1.138867259,-21,4,-2,-9.1875,1.378125072,0.765625,4
-3,8,-5,-8.594141006,-1.095800757,1.014453173,-22,5,0,-9.800000191,1.34941411,0.622070313,4
-4,9,-6,-8.096484184,-1.047949195,0.95703125,-29,4,0,-8.192187309,1.397265673,0.641210973,4
-5,9,-8,-7.522265911,-1.067089915,0.95703125,-37,5,3,-7.46484375,1.229785204,0.612500012,4
-4,8,-10,-7.058105469,-1.047949195,1.033593774,-36,4,10,-7.015038967,0.172265634,0.995312512,4
-2,7,-11,-6.876269817,-1.014453173,1.000097632,-37,1,16,-7.034179688,0.162695318,0.942675829,4
0,6,-11,-7.134667873,-1.028808594,0.866113305,-37,1,17,-7.196875095,0.019140625,0,4
2,5,-9,-7.981640816,-1.038378954,0.779980481,1,2,16,-9.752148628,-1.186718822,0.617285192,4
2,5,-6,-9.44589901,-1.004882813,0.784765661,-17,2,5,-9.800000191,-1.210644603,0.631640613,4
-1,4,0,-10.98671913,-1.019238353,0.803906262,-2,2,4,-19.42773438,-1.024023414,0.765625,4
-5,4,7,-12.29306698,-1.239355445,0.899609387,20,1,5,-13.32187557,-1.492968798,0,4
