GyX 1,GyY 1,GyZ 1,AcX 1,AcY 1,AcZ 1,GyX 2,GyY 2,GyZ 2,AcX 2,AcY 2,AcZ 2,activity
1,0,-1,-9.130078316,-0.751269519,2.110254049,0,0,0,-8.866894722,1.033593774,2.722754002,1
0,0,-1,-9.125292778,-0.779980481,2.119824171,1,0,0,-8.886034966,1.114941478,2.741894484,1
0,0,-1,-9.130078316,-0.799121082,2.10546875,1,0,0,-8.881250381,1.124511719,2.741894484,1
-1,0,-1,-9.134863853,-0.832617223,2.11503911,1,0,0,-8.881250381,1.134082079,2.756250143,1
0,0,-1,-9.134863853,-0.870898426,2.12460947,1,0,0,-8.881250381,1.134082079,2.751464844,1
0,0,0,-9.125292778,-0.899609387,2.143749952,1,0,0,-8.881250381,1.134082079,2.761035204,1
0,0,0,-9.115722656,-0.904394567,2.148535252,1,0,0,-8.886034966,1.134082079,2.761035204,1
0,0,-1,-9.115722656,-0.904394567,2.162890673,1,0,0,-8.900390625,1.138867259,2.761035204,1
1,0,-1,-9.115722656,-0.899609387,2.162890673,1,0,0,-8.905176163,1.138867259,2.761035204,1
1,0,-1,-9.101366997,-0.885253906,2.158105612,1,0,0,-8.900390625,1.134082079,2.761035204,1
1,0,-1,-9.096582413,-0.851757824,2.148535252,1,0,0,-8.895606041,1.134082079,2.765820265,1
1,0,-1,-9.096582413,-0.823046863,2.12460947,0,0,0,-8.895606041,1.134082079,2.770605564,1
1,0,-1,-9.101366997,-0.799121082,2.11503911,0,0,0,-8.900390625,1.134082079,2.756250143,1
0,0,-1,-9.106152534,-0.799121082,2.110254049,0,0,0,-8.895606041,1.124511719,2.770605564,1
0,0,-1,-9.106152534,-0.818261743,2.110254049,0,0,0,-8.895606041,1.119726539,2.765820265,1
0,0,0,-9.096582413,-0.837402344,2.12460947,1,0,0,-8.881250381,1.110156298,2.770605564,1
0,0,0,-9.096582413,-0.875683606,2.138964891,1,0,0,-8.881250381,1.105371118,2.770605564,1
0,0,0,-9.101366997,-0.890039086,2.153320313,1,0,0,-8.881250381,1.110156298,2.770605564,1
0,0,-1,-9.101366997,-0.899609387,2.167675734,1,0,0,-8.886034966,1.124511719,2.775390625,1
0,0,-1,-9.110938072,-0.894824207,2.177246094,1,0,0,-8.890820503,1.1484375,2.784960985,1
1,0,-1,-9.106152534,-0.875683606,2.167675734,1,0,0,-8.895606041,1.177148461,2.770605564,1
1,0,-1,-9.096582413,-0.861328125,2.158105612,1,0,0,-8.895606041,1.191503882,2.765820265,1
1,0,-1,-9.101366997,-0.837402344,2.148535252,0,0,0,-8.886034966,1.196289063,2.770605564,1
1,0,-1,-9.096582413,-0.823046863,2.138964891,0,0,0,-8.881250381,1.191503882,2.775390625,1
0,0,-1,-9.101366997,-0.818261743,2.12460947,0,0,0,-8.876464844,1.172363281,2.770605564,1
0,0,-1,-9.101366997,-0.837402344,2.12460947,0,0,0,-8.890820503,1.15322268,2.765820265,1
0,0,-1,-9.106152534,-0.851757824,2.129394531,0,0,0,-8.890820503,1.134082079,2.756250143,1
0,0,-1,-9.120508194,-0.870898426,2.134179831,0,0,0,-8.881250381,1.129296899,2.756250143,1
0,0,-1,-9.125292778,-0.875683606,2.138964891,0,0,0,-8.866894722,1.119726539,2.765820265,1
0,0,-1,-9.115722656,-0.880468786,2.138964891,1,0,0,-8.866894722,1.114941478,2.761035204,1
0,0,-1,-9.110938072,-0.861328125,2.148535252,1,0,0,-8.886034966,1.134082079,2.751464844,1
1,0,-1,-9.091796875,-0.818261743,2.148535252,1,0,0,-8.895606041,1.16279304,2.770605564,1
0,0,-1,-9.072656631,-0.765625,2.177246094,1,0,0,-8.909960747,1.191503882,2.784960985,1
0,0,-2,-9.082226753,-0.732128918,2.210742235,0,0,0,-8.914746284,1.220214844,2.784960985,1
-2,0,-3,-9.072656631,-0.655566394,2.31601572,0,0,0,-8.914746284,1.244140625,2.784960985,1
-5,1,-4,-8.962597847,-0.598144531,2.473925829,0,0,0,-8.909960747,1.301562548,2.828027487,1
-9,2,-6,-8.646777153,-0.636425793,2.737109423,-1,0,1,-8.819043159,1.497753978,3.000293016,1
-19,3,-10,-8.316601753,-0.765625,3.397460938,-6,0,4,-8.685058594,1.971484423,3.282617331,1
-38,0,-16,-8.512793541,-1.291992188,4.340137005,-12,0,10,-8.66591835,2.607910156,3.569726706,1
-56,-5,-23,-9.067871094,-2.062402487,4.933495998,-19,1,19,-8.8573246,3.4453125,3.995605469,1
-69,-12,-33,-9.651659966,-2.751464844,5.234961033,-26,0,31,-9.292773247,4.335351467,4.502831936,1
-79,-20,-46,-10.02968788,-3.684570313,5.416797161,-26,-1,47,-9.718652725,5.239746094,4.742089748,1
-87,-26,-62,-10.40771484,-4.565039158,5.445508003,-26,-5,64,-10.02011776,6.038867474,5.038769722,1
-94,-32,-80,-10.65175819,-5.541211128,5.694335938,-25,-11,83,-10.20195293,6.823632717,5.464648724,1
-102,-38,-102,-10.81445313,-6.445605755,5.95273447,-21,-20,101,-10.24023438,7.522265911,5.76132822,1
-119,-42,-126,-11.02500057,-7.158593655,5.790039063,-11,-29,118,-10.23544979,8.067773819,5.842675686,1
-142,-42,-149,-11.06328106,-7.876367569,5.354589939,2,-38,136,-10.22587872,8.823828697,6.034081936,1
-163,-40,-173,-11.0680666,-8.881250381,4.852148533,16,-48,155,-10.39814472,9.469824791,6.148925781,1
-181,-37,-196,-10.99628925,-9.819140434,4.354492188,34,-56,175,-10.66611385,10.04404354,6.115429878,1
-197,-31,-219,-10.67568398,-10.65175819,3.526660204,54,-63,196,-10.99150372,10.66132832,5.833105564,1
-211,-21,-241,-10.34072304,-11.37431622,2.512207031,74,-66,218,-11.35039043,11.17333984,5.39287138,1
-220,-6,-261,-9.981836319,-11.82890606,1.559960961,90,-66,241,-11.60878944,11.51308632,4.866504192,1
-218,12,-280,-9.565527916,-12.24521542,0.56943363,106,-64,262,-11.66142559,11.5035162,4.2109375,1
-205,30,-296,-9.158789635,-12.67587948,-0.344531268,126,-58,280,-11.62792969,11.43173885,3.378320456,1
-187,50,-310,-8.87168026,-12.73330116,-1.693945289,148,-50,295,-11.570508,11.36953163,2.569628954,1
-173,73,-321,-8.560645103,-12.32177734,-3.139062643,174,-38,308,-11.29775429,11.30732441,1.650878906,1
-169,99,-327,-8.096484184,-11.69970703,-4.057812691,200,-22,319,-10.79531288,11.0154295,0.870898426,1
-168,125,-328,-7.29257822,-11.04414082,-4.478906155,225,-3,327,-9.905273438,10.33115292,0.248828128,1
-168,149,-327,-6.325976849,-10.3024416,-4.809082031,254,18,331,-8.708984375,9.235351563,-0.401953131,1
-166,172,-324,-5.330664158,-9.532031059,-4.842578411,275,42,334,-7.436132908,8.747265816,-0.885253906,1
-157,191,-321,-4.301855564,-8.704199791,-4.789941311,280,63,337,-6.163281441,8.618066788,-0.741699219,1
-142,206,-316,-3.301757813,-7.550976753,-4.378417969,262,74,339,-5.024414063,8.072558403,-0.229687512,1
-125,211,-306,-2.205957174,-6.120214939,-4.043457031,234,73,337,-4.00039053,6.857129097,-0.047851563,1
-117,211,-290,-1.268066406,-4.689453125,-4.129590034,207,67,326,-2.990722656,5.158398628,-0.320605487,1
-117,211,-267,-0.464160174,-3.306543112,-3.890332222,190,61,308,-1.93320322,3.564941406,-0.890039086,1
-116,210,-241,0.540722668,-2.339941502,-3.416601658,182,58,283,-0.712988317,2.162890673,-1.363769531,1
-112,205,-215,1.454687476,-1.765722632,-3.296972752,175,55,255,0.57421875,1.397265673,-1.832714915,1
-106,194,-186,2.325586081,-1.134082079,-3.46445322,167,52,220,1.71787107,0.727343738,-2.397363424,1
-99,180,-154,3.258691549,-0.330175787,-3.947753906,152,48,179,2.756250143,0.076562501,-3.105566502,1
-100,167,-117,3.84726572,0.526367188,-4.617675781,132,48,134,3.679785252,-0.559863269,-3.928613424,1
-101,155,-78,4.172656536,0.674707055,-4.799511909,112,52,84,4.426269531,-0.913964868,-4.608105659,1
-95,145,-40,4.167870998,0.445019543,-4.359277248,90,59,32,4.837792873,-0.95703125,-4.933495998,1
-82,135,-3,4.00039053,0.267968744,-3.722851753,58,67,-15,4.947851658,-0.708203137,-4.81865263,1
-65,128,29,3.794629097,0.224902347,-3.110351563,17,75,-58,4.770801067,-0.177050784,-4.464550972,1
-48,123,63,3.45488286,0.421093762,-2.593554735,-27,82,-92,4.344922066,0.521582067,-3.990820408,1
-40,122,97,2.751464844,0.507226586,-1.93320322,-76,91,-118,3.65585947,1.277636766,-3.521875143,1
-36,121,129,1.784863353,0.258398443,-1.100585938,-124,101,-135,2.765820265,1.832714915,-3.110351563,1
-36,118,159,0.756054699,0.038281251,-0.502441406,-162,114,-146,1.794433594,1.799218774,-2.799316406,1
-44,112,187,-0.009570313,-0.124414064,-0.339746088,-181,129,-157,0.928320348,1.325488329,-2.564843893,1
-58,104,212,-0.468945324,-0.622070313,-0.406738281,-181,146,-168,0.148339853,1.110156298,-2.196386814,1
-69,94,231,-0.846972644,-1.72265625,-0.234472662,-177,161,-175,-0.445019543,2.10546875,-1.067089915,1
-74,79,242,-1.210644603,-3.83769536,0.277539074,-165,169,-178,-0.669921875,3.076855421,0.665136755,1
