gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
0,0,0,-9.091796875,-1.9762696027755737,1.416406273841858,0,1,0,-8.63720703125,1.847070336341858,3.029003858566284
0,0,1,-9.13486385345459,-1.9332032203674316,1.4833984375,-2,1,-1,-8.694628715515137,1.8279297351837158,3.0577149391174316
0,0,2,-9.144433975219727,-2.024121046066284,1.550390601158142,-1,0,-1,-8.723340034484863,1.818359375,3.000293016433716
0,0,1,-9.072656631469727,-2.071972608566284,1.536035180091858,-2,0,-2,-8.73291015625,1.7800781726837158,2.8998048305511475
-1,-1,2,-9.096582412719727,-1.9954102039337158,1.45947265625,-2,0,-2,-8.742480278015137,1.8279297351837158,2.837597608566284
-4,-1,3,-9.106152534484863,-2.0289063453674316,1.4259766340255737,-3,0,-2,-8.72812557220459,1.799218773841858,2.8519532680511475
-4,-1,2,-9.101366996765137,-2.1533203125,1.454687476158142,-2,1,-1,-8.77597713470459,1.8327149152755737,2.813671827316284
-1,-3,3,-9.13486385345459,-1.966699242591858,1.536035180091858,-4,2,-1,-8.809473037719727,1.69873046875,2.737109422683716
-1,-3,6,-8.957812309265137,-1.79443359375,1.488183617591858,-1,4,-1,-8.73291015625,1.646093726158142,2.6796875
-3,0,6,-9.082226753234863,-1.942773461341858,1.5456055402755737,-4,5,-2,-8.6611328125,1.789648413658142,2.808886766433716
2,1,4,-9.23056697845459,-2.311230421066284,1.5408203601837158,-3,3,-2,-8.72812557220459,1.9044922590255737,3.100781202316284
9,1,0,-9.077441215515137,-2.282519578933716,1.646093726158142,-1,1,0,-8.862109184265137,2.0049805641174316,3.143847703933716
7,0,-1,-9.125292778015137,-2.2298829555511475,1.583886742591858,-2,0,2,-8.78076171875,2.019335985183716,3.0433595180511475
3,0,-4,-9.13486385345459,-2.119824171066284,1.4929687976837158,-2,0,4,-8.7568359375,1.8614258766174316,2.933300733566284
2,0,-6,-9.130078315734863,-2.0767579078674316,1.4020508527755737,-1,-2,4,-8.708984375,1.7083008289337158,2.7083985805511475
7,0,-6,-9.077441215515137,-1.7561523914337158,1.45947265625,1,-2,1,-8.785547256469727,1.622167944908142,2.670117139816284
4,0,-1,-9.11093807220459,-1.6413086652755737,1.50732421875,-1,0,0,-8.881250381469727,1.7800781726837158,2.7275390625
3,0,1,-9.06308650970459,-1.765722632408142,1.53125,-2,0,0,-8.63720703125,1.751367211341858,2.9141602516174316
-1,0,3,-9.077441215515137,-1.9619140625,1.512109398841858,-2,-1,-1,-8.63242244720459,1.89013671875,3.0098633766174316
-2,0,2,-9.144433975219727,-2.162890672683716,1.45947265625,0,-3,-1,-8.795117378234863,1.8614258766174316,3.03857421875
0,0,1,-9.106152534484863,-2.201171875,1.430761694908142,-2,-3,-1,-8.761621475219727,1.9714844226837158,2.933300733566284
0,0,0,-9.101366996765137,-2.143749952316284,1.4211914539337158,-2,-2,0,-8.699414253234863,1.870996117591858,2.909374952316284
1,0,0,-9.072656631469727,-2.1006836891174316,1.464257836341858,-1,-2,0,-8.641992568969727,1.8566406965255737,2.808886766433716
1,0,-1,-9.048730850219727,-2.0049805641174316,1.488183617591858,-1,-2,0,-8.670702934265137,1.8853516578674316,2.765820264816284
-1,-1,-1,-9.06787109375,-1.8614258766174316,1.478613257408142,-1,0,0,-8.646777153015137,1.8518555164337158,2.7083985805511475
-5,-2,0,-9.125292778015137,-1.8566406965255737,1.440332055091858,-2,1,0,-8.814257621765137,1.9332032203674316,2.8184571266174316
-5,-1,1,-9.06308650970459,-2.1102540493011475,1.440332055091858,-2,3,1,-8.689844131469727,1.818359375,2.8998048305511475
-2,0,1,-9.053515434265137,-2.1102540493011475,1.526464819908142,-1,3,1,-8.699414253234863,1.84228515625,2.9859375953674316
-3,-1,1,-9.091796875,-2.1724610328674316,1.574316382408142,-2,3,0,-8.699414253234863,1.870996117591858,3.03857421875
-3,-2,0,-9.072656631469727,-2.1485352516174316,1.55517578125,-4,2,0,-8.708984375,1.870996117591858,3.0816407203674316
-1,-1,0,-9.120508193969727,-2.1006836891174316,1.53125,-1,0,0,-8.742480278015137,1.8518555164337158,3.048144578933716
-2,-1,0,-9.06308650970459,-2.0384767055511475,1.50732421875,-2,0,0,-8.708984375,1.9523438215255737,2.957226514816284
-3,-1,1,-9.03916072845459,-2.10546875,1.502539038658142,-2,0,0,-8.689844131469727,1.870996117591858,2.904589891433716
