gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
0,0,0,-8.498437881469727,-4.311425685882568,1.7370117902755737,0,0,0,-9.11093807220459,3.0194337368011475,-0.8326172232627869
0,0,0,-8.49365234375,-4.301855564117432,1.741796851158142,0,0,0,-9.072656631469727,2.933300733566284,-0.78955078125
0,0,0,-8.474512100219727,-4.397558689117432,1.7705078125,0,0,0,-9.120508193969727,2.9620118141174316,-0.846972644329071
1,0,0,-8.503222465515137,-4.311425685882568,1.7561523914337158,0,0,0,-9.101366996765137,2.928515672683716,-0.8326172232627869
0,0,0,-8.479296684265137,-4.249218940734863,1.72265625,0,0,0,-9.144433975219727,2.9620118141174316,-0.8086914420127869
-1,0,0,-8.4697265625,-4.301855564117432,1.727441430091858,0,0,0,-9.096582412719727,2.952441453933716,-0.7847656607627869
0,0,0,-8.48886775970459,-4.411914348602295,1.7609375715255737,0,0,0,-9.125292778015137,2.94287109375,-0.851757824420929
0,0,0,-8.49365234375,-4.306640625,1.7609375715255737,0,0,0,-9.08701229095459,2.9476563930511475,-0.8134765625
0,0,0,-8.527148246765137,-4.287499904632568,1.7609375715255737,0,0,0,-9.106152534484863,3.029003858566284,-0.8182617425918579
-1,0,0,-8.551074028015137,-4.373632907867432,1.6891602277755737,-2,0,0,-9.3310546875,3.0672852993011475,-0.5694336295127869
0,1,0,-8.407519340515137,-4.598535060882568,1.55517578125,-2,-8,2,-9.78085994720459,2.622265577316284,0.6029297113418579
11,5,-1,-7.857226848602295,-4.670312404632568,1.3541992902755737,13,-16,6,-9.11093807220459,2.775390625,0.5694336295127869
24,5,1,-8.36923885345459,-4.536328315734863,1.12451171875,6,-3,7,-8.77597713470459,2.837597608566284,-0.44501954317092896
15,-6,7,-8.981738090515137,-4.387988567352295,1.2297852039337158,-3,8,7,-8.87646484375,2.9955079555511475,-0.83740234375
-19,-20,11,-9.029589653015137,-4.4501953125,1.239355444908142,3,13,9,-8.708984375,3.4405274391174316,-1.0144531726837158
-34,-18,9,-8.41709041595459,-4.555469036102295,1.4211914539337158,-2,14,17,-8.546289443969727,3.813769578933716,-1.009667992591858
-19,-6,2,-8.115625381469727,-4.148730754852295,1.9571290016174316,-17,11,23,-8.460156440734863,2.7562501430511475,-0.03349609300494194
11,-1,4,-8.68505859375,-4.689453125,2.2538087368011475,6,0,26,-8.92431640625,3.4883790016174316,0.18183593451976776
25,-1,12,-9.359766006469727,-4.866504192352295,1.7083008289337158,0,10,7,-9.465039253234863,3.909472703933716,-0.7847656607627869
4,-5,14,-8.957812309265137,-4.201367378234863,1.5168945789337158,-23,15,-5,-9.173144340515137,4.311425685882568,-1.5456055402755737
-32,-6,6,-8.56064510345459,-4.081738471984863,1.870996117591858,-29,16,-16,-9.35498046875,3.349609375,-1.9714844226837158
-32,-1,-4,-8.82861328125,-4.435840129852295,3.22998046875,-9,10,-21,-9.11572265625,3.7037110328674316,-2.526562452316284
-4,-2,-15,-8.311816215515137,-3.9142580032348633,4.129590034484863,-2,13,-15,-8.359667778015137,3.9764649868011475,-2.46435546875
10,3,-20,-7.555761814117432,-3.13427734375,2.789746046066284,-20,17,-10,-8.005566596984863,3.6319336891174316,-1.478613257408142
4,5,-18,-7.5126953125,-2.7227540016174316,2.08154296875,-8,9,-6,-7.914648532867432,3.2491211891174316,-1.2537109851837158
-4,4,-10,-8.024706840515137,-2.885449171066284,1.9044922590255737,6,0,-2,-8.139551162719727,3.741992235183716,-1.8375000953674316
-25,5,-2,-8.96738338470459,-3.7850587368011475,1.8279297351837158,2,-3,-2,-9.23056697845459,4.115234375,-2.7706055641174316
-18,8,3,-9.56552791595459,-4.383203029632568,2.191601514816284,2,0,-7,-10.230664253234863,3.8807618618011475,-2.8423829078674316
9,-1,3,-19.56171989440918,1.3015625476837158,2.1485352516174316,8,9,0,-9.484179496765137,4.072167873382568,-2.5791993141174316
-35,-32,22,-8.287890434265137,-2.22509765625,4.2587890625,-21,19,7,-8.75205135345459,3.555371046066284,-1.8805664777755737
-39,-29,16,-7.866796970367432,-4.167870998382568,2.861523389816284,-42,12,3,-8.713769912719727,3.22998046875,-1.741796851158142
-23,-21,-1,-7.598828315734863,-5.100976467132568,1.9714844226837158,-17,0,0,-8.474512100219727,3.63671875,-2.08154296875
14,-1,-14,-7.330859661102295,-4.756445407867432,1.813574194908142,-3,-7,-1,-8.292675971984863,4.407128810882568,-2.4595704078674316
12,13,-28,-7.072461128234863,-4.335351467132568,2.48828125,-11,-11,-2,-8.326171875,3.981250047683716,-2.832812547683716
21,25,-28,-6.785351753234863,-3.9716796875,2.713183641433716,0,-17,-6,-8.05820369720459,3.340039014816284,-2.7323243618011475
11,33,-29,-7.718457221984863,-4.18701171875,3.0672852993011475,8,-27,-14,-9.120508193969727,2.8519532680511475,-2.569628953933716
22,38,-23,-9.857421875,-3.9286134243011475,4.632031440734863,34,-38,-16,-10.771387100219727,2.789746046066284,-2.378222703933716
-51,17,-10,-11.302538871765137,-6.665722846984863,2.48828125,37,-39,-21,-11.331250190734863,3.813769578933716,-0.823046863079071
-1,26,-9,-7.172949314117432,-5.842675685882568,-1.5695313215255737,25,-39,-15,-9.13486385345459,2.65576171875,-0.19140625
