gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
20,7,-9,-7.914648532867432,-3.3448243141174316,4.038671970367432,16,-18,-5,-8.15869140625,3.7467775344848633,3.0577149391174316
31,10,-11,-7.957715034484863,-3.2012696266174316,3.9142580032348633,23,-18,-6,-7.96728515625,3.6175782680511475,3.0146484375
36,10,-12,-8.06298828125,-3.0816407203674316,3.7515625953674316,24,-16,-9,-7.790234565734863,3.7037110328674316,2.904589891433716
30,5,-11,-8.216113090515137,-2.7275390625,3.6654298305511475,20,-13,-17,-7.63232421875,3.7037110328674316,2.904589891433716
13,0,-10,-8.192187309265137,-2.8280274868011475,3.51708984375,16,-10,-27,-7.68017578125,3.9286134243011475,2.976367235183716
9,-1,-8,-8.168261528015137,-2.8998048305511475,3.407031297683716,7,-6,-33,-7.766308784484863,4.18701171875,3.1629884243011475
8,0,-8,-8.096484184265137,-2.813671827316284,3.287402391433716,0,-3,-33,-7.885937690734863,4.383203029632568,3.383105516433716
8,0,-7,-8.17783260345459,-2.8184571266174316,3.335253953933716,-1,-2,-28,-7.986425876617432,4.483691692352295,3.4979493618011475
7,1,-4,-8.244824409484863,-2.75146484375,3.316113233566284,-2,-2,-22,-7.876367568969727,4.536328315734863,3.4883790016174316
3,2,-1,-8.2783203125,-2.761035203933716,3.37353515625,0,-2,-16,-7.732812881469727,4.421484470367432,3.3974609375
2,3,0,-8.187402725219727,-2.7801759243011475,3.435742139816284,-1,-2,-11,-7.77587890625,4.531543254852295,3.335253953933716
1,1,3,-8.20175838470459,-2.765820264816284,3.5888671875,-4,-1,-6,-7.818945407867432,4.397558689117432,3.263476610183716
-2,0,5,-8.268750190734863,-2.8232421875,3.694140672683716,-4,0,0,-7.818945407867432,4.292285442352295,3.2060546875
-5,-4,6,-8.23046875,-2.861523389816284,3.6319336891174316,-5,1,4,-7.87158203125,4.134375095367432,3.143847703933716
-5,-6,7,-8.15390682220459,-2.8758790493011475,3.6654298305511475,-6,3,6,-8.043848037719727,4.100879192352295,3.100781202316284
-8,-9,9,-8.2783203125,-2.837597608566284,3.6893556118011475,-14,7,6,-7.866796970367432,4.009961128234863,3.048144578933716
-18,-15,10,-8.24960994720459,-2.7945313453674316,3.526660203933716,-21,10,3,-7.87158203125,3.9908204078674316,3.158203125
-24,-18,10,-8.340527534484863,-2.9141602516174316,3.541015625,-29,12,-1,-7.838086128234863,3.9668946266174316,3.1869142055511475
-24,-18,10,-8.292675971984863,-2.8280274868011475,3.4740235805511475,-33,11,-4,-7.900293350219727,4.120019435882568,3.2586915493011475
-29,-20,10,-8.187402725219727,-2.6318359375,3.37353515625,-36,10,-4,-8.024706840515137,4.18701171875,3.2586915493011475
-34,-18,13,-8.029492378234863,-2.665332078933716,3.340039014816284,-37,9,-2,-7.9912109375,4.177441596984863,3.13427734375
-32,-11,19,-7.795019626617432,-2.765820264816284,3.311328172683716,-35,7,0,-8.072558403015137,4.182226657867432,3.052929639816284
-24,-4,23,-7.756738662719727,-2.8519532680511475,3.4931640625,-31,5,3,-8.067773818969727,3.9764649868011475,2.880664110183716
-17,2,25,-7.876367568969727,-2.957226514816284,3.765918016433716,-24,2,5,-8.139551162719727,3.9286134243011475,2.7227540016174316
-26,0,26,-8.144335746765137,-2.9141602516174316,4.325781345367432,-18,2,4,-8.23046875,3.7802734375,2.641406297683716
-36,-6,21,-7.87158203125,-3.4166016578674316,4.541113376617432,-10,3,4,-8.125195503234863,3.6558594703674316,2.569628953933716
-16,-6,12,-7.723242282867432,-3.5936524868011475,4.268359661102295,-9,5,2,-8.072558403015137,3.6989259719848633,2.5887696743011475
-5,-6,5,-7.780664443969727,-3.158203125,3.9860353469848633,-12,8,-3,-8.03427791595459,3.627148389816284,2.741894483566284
-4,-7,3,-7.909863471984863,-2.904589891433716,3.7372071743011475,-11,7,-9,-7.976855754852295,3.765918016433716,2.94287109375
-10,-9,2,-8.072558403015137,-2.808886766433716,3.574511766433716,-15,7,-13,-8.043848037719727,3.9860353469848633,3.148632764816284
-12,-6,2,-8.0869140625,-2.79931640625,3.5458009243011475,-16,6,-14,-8.029492378234863,4.01953125,3.2826173305511475
-8,-2,2,-8.120409965515137,-2.641406297683716,3.75634765625,-12,1,-13,-8.216113090515137,3.99560546875,3.3974609375
-7,-1,3,-7.91943359375,-2.60791015625,3.9860353469848633,-3,-3,-10,-8.17783260345459,3.9142580032348633,3.268261671066284
-2,0,2,-7.857226848602295,-2.99072265625,3.85205078125,-2,-6,-10,-8.03427791595459,3.909472703933716,3.000293016433716
6,2,0,-8.096484184265137,-3.048144578933716,3.8233399391174316,-4,-6,-13,-8.187402725219727,3.7707033157348633,2.8758790493011475
5,1,-1,-8.168261528015137,-3.024218797683716,3.7276368141174316,0,-7,-13,-8.220898628234863,3.8233399391174316,2.8184571266174316
6,0,-3,-8.029492378234863,-2.8232421875,3.622363328933716,4,-7,-12,-7.981640815734863,3.8089845180511475,2.761035203933716
3,-2,-3,-8.388379096984863,-2.856738328933716,3.6654298305511475,4,-7,-12,-7.9912109375,3.8903322219848633,2.8758790493011475
1,-4,-2,-8.235254287719727,-2.775390625,3.555371046066284,6,-6,-11,-7.976855754852295,3.8472657203674316,2.9189453125
0,-5,-3,-8.12998104095459,-2.79931640625,3.4405274391174316,6,-4,-9,-8.01035213470459,4.014746189117432,2.9476563930511475
1,-3,-2,-7.9912109375,-2.8280274868011475,3.3304688930511475,0,-1,-8,-8.03427791595459,3.9286134243011475,3.052929639816284
2,-1,0,-8.196972846984863,-2.880664110183716,3.4166016578674316,-2,-1,-7,-8.15869140625,3.8903322219848633,3.1629884243011475
1,0,1,-8.163476943969727,-2.8998048305511475,3.407031297683716,-3,-1,-7,-8.01035213470459,3.8089845180511475,3.2012696266174316
0,0,0,-8.1826171875,-2.928515672683716,3.502734422683716,-2,-2,-7,-8.029492378234863,3.828125,3.148632764816284
2,1,0,-8.139551162719727,-2.89501953125,3.5936524868011475,-3,-3,-9,-7.995996475219727,3.813769578933716,3.1151368618011475
1,0,0,-8.163476943969727,-2.832812547683716,3.7467775344848633,-2,-4,-9,-8.125195503234863,3.933398485183716,3.024218797683716
0,-2,1,-8.11083984375,-2.789746046066284,3.7754883766174316,-4,-3,-10,-7.981640815734863,3.933398485183716,2.9859375953674316
-1,-3,1,-8.120409965515137,-2.8041017055511475,3.718066453933716,-3,-3,-10,-8.0390625,3.981250047683716,2.9620118141174316
0,-4,2,-8.11083984375,-2.8280274868011475,3.622363328933716,-4,-3,-9,-8.0390625,3.9621095657348633,2.9859375953674316
-1,-4,1,-8.134765625,-2.8423829078674316,3.5362305641174316,-2,-3,-8,-7.995996475219727,3.9908204078674316,2.952441453933716
-1,-3,1,-8.101269721984863,-2.87109375,3.46923828125,-4,-2,-7,-7.981640815734863,3.9860353469848633,2.957226514816284
-1,-2,1,-8.120409965515137,-2.8184571266174316,3.4740235805511475,-4,-2,-7,-8.01513671875,3.909472703933716,2.9380860328674316
0,-1,2,-8.11083984375,-2.8184571266174316,3.541015625,-3,-2,-6,-8.067773818969727,3.909472703933716,2.9620118141174316
-2,-1,2,-8.08212947845459,-2.7706055641174316,3.627148389816284,-4,-1,-6,-8.024706840515137,3.813769578933716,2.957226514816284
-4,-2,3,-8.120409965515137,-2.8758790493011475,3.7754883766174316,-3,-1,-7,-8.096484184265137,3.828125,3.0146484375
-3,-3,2,-8.03427791595459,-2.928515672683716,3.789843797683716,-4,-1,-8,-8.053418159484863,3.828125,3.029003858566284
0,-2,1,-8.000781059265137,-2.976367235183716,3.75634765625,-2,-2,-9,-8.259180068969727,3.789843797683716,3.119921922683716
2,-1,0,-8.03427791595459,-2.9141602516174316,3.7372071743011475,2,-6,-8,-8.311816215515137,3.5362305641174316,3.095996141433716
5,5,-1,-7.838086128234863,-3.0625,3.5840821266174316,6,-13,-11,-8.866894721984863,2.952441453933716,3.0146484375
20,23,-7,-7.29736328125,-3.8185548782348633,3.7946290969848633,29,-26,-21,-9.005663871765137,1.79443359375,2.8663086891174316
40,34,-18,-7.689746379852295,-4.584179878234863,4.110449314117432,65,-38,-29,-9.369336128234863,1.5216797590255737,2.861523389816284
54,34,-24,-6.469531536102295,-4.971777439117432,4.574609279632568,93,-45,-24,-8.53671932220459,1.5791015625,2.4595704078674316
81,33,-38,-6.876269817352295,-5.852246284484863,4.751660346984863,104,-44,-15,-8.91953182220459,1.942773461341858,2.2298829555511475
115,24,-37,-7.316504001617432,-5.679980754852295,5.110547065734863,126,-46,-15,-8.340527534484863,2.813671827316284,2.1485352516174316
107,12,-38,-7.187304973602295,-6.7470703125,3.8711915016174316,96,-48,-22,-8.03427791595459,5.134472846984863,1.2297852039337158
114,15,-60,-7.024609565734863,-6.881054878234863,2.9859375953674316,59,-67,-30,-8.986523628234863,4.469336032867432,0.9666016101837158
135,26,-81,-6.737500190734863,-6.876269817352295,2.1533203125,155,-89,-32,-8.58457088470459,3.6750001907348633,0.08613281697034836
175,45,-101,-8.024706840515137,-7.522265911102295,2.239453077316284,184,-99,-30,-8.809473037719727,5.809179782867432,-0.9139648675918579
201,67,-113,-7.766308784484863,-6.804492473602295,0.765625,154,-106,-41,-8.450586318969727,5.837890625,-1.071874976158142
190,84,-118,-7.622754096984863,-6.503027439117432,-0.14833985269069672,187,-119,-52,-8.39316463470459,5.412011623382568,-1.2824219465255737
229,106,-122,-7.909863471984863,-6.837988376617432,0.01435546949505806,187,-129,-61,-8.570215225219727,6.153710842132568,-2.000195264816284
223,105,-122,-7.77587890625,-5.545996189117432,-0.02871093899011612,193,-143,-69,-8.651562690734863,5.254101753234863,-2.03369140625
212,106,-106,-8.20175838470459,-4.95263671875,-0.21054688096046448,219,-159,-79,-8.531933784484863,5.699120998382568,-3.2491211891174316
214,105,-77,-9.388476371765137,-5.43115234375,-0.2583984434604645,200,-156,-90,-8.75205135345459,6.249413967132568,-3.2969727516174316
218,114,-64,-9.58945369720459,-5.857031345367432,-0.899609386920929,211,-147,-94,-8.22568416595459,5.876172065734863,-2.583984375
196,98,-58,-9.46982479095459,-5.823535442352295,0.21054688096046448,214,-132,-83,-8.101269721984863,6.560449123382568,-2.191601514816284
